"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T17:46:21Z"
"Version","20250522174621"
"OfferCode","ElasticMapReduce"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","usageType","operation","Compute","ComputeProvider","MeterUnit","Region Code","serviceName","Software Type"
"2RYH83EDVVZ2QSFV","JRTCKXETXF","2RYH83EDVVZ2QSFV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.36 per hour for EMR c1.xlarge with Karma","2025-05-01","0","Inf","Hrs","0.3600000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c1.xlarge","Compute optimized","KarmaBoxUsage:c1.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","Karmasphere"
"2T529B4M64Z78TAM","JRTCKXETXF","2T529B4M64Z78TAM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.417 per hour for EMR x1e.2xlarge","2025-05-01","0","Inf","Hrs","0.4170000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","x1e.2xlarge","Memory optimized","BoxUsage:x1e.2xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2T96M3D9K28MZAA3","JRTCKXETXF","2T96M3D9K28MZAA3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.053 per hour for EMR c3.xlarge with M3","2025-05-01","0","Inf","Hrs","0.0530000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c3.xlarge","Compute optimized","M3BoxUsage:c3.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M3"
"2TDQNVBYASU7F7A2","JRTCKXETXF","2TDQNVBYASU7F7A2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.018 per hour for EMR m3.medium with Karma","2025-05-01","0","Inf","Hrs","0.0180000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m3.medium","General purpose","KarmaBoxUsage:m3.medium","",,,,"us-east-1","Amazon Elastic MapReduce","Karmasphere"
"2TUAYF7MK8WZB94K","JRTCKXETXF","2TUAYF7MK8WZB94K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0567  per hour for EMR r6a.xlarge","2025-05-01","0","Inf","Hrs","0.0567000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r6a.xlarge","Memory optimized","BoxUsage:r6a.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2UZC6V4FSX38AECK","JRTCKXETXF","2UZC6V4FSX38AECK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.6912 per hour for EMR r6gd.12xlarge","2025-05-01","0","Inf","Hrs","0.6912000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r6gd.12xlarge","Memory optimized","BoxUsage:r6gd.12xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2VSB6JTT4P45P8VY","JRTCKXETXF","2VSB6JTT4P45P8VY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.15952 per hour for EMR c8g.4xlarge","2025-05-01","0","Inf","Hrs","0.1595200000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c8g.4xlarge","Compute optimized","BoxUsage:c8g.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2WW8DS2PZTGG7HQ8","JRTCKXETXF","2WW8DS2PZTGG7HQ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per hour for EMR r3.xlarge","2025-05-01","0","Inf","Hrs","0.0900000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r3.xlarge","Memory optimized","BoxUsage:r3.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2WWT4XSHFJ6B8TNE","JRTCKXETXF","2WWT4XSHFJ6B8TNE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.4536 per hour for EMR c6in.8xlarge","2025-05-01","0","Inf","Hrs","0.4536000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c6in.8xlarge","Compute optimized","BoxUsage:c6in.8xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2XQFDS8UJAKSHUTD","JRTCKXETXF","2XQFDS8UJAKSHUTD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.022 per hour for EMR m1.medium with Karma","2025-05-01","0","Inf","Hrs","0.0220000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m1.medium","General purpose","KarmaBoxUsage:m1.medium","",,,,"us-east-1","Amazon Elastic MapReduce","Karmasphere"
"2XZXBR65DRMWVNTY","JRTCKXETXF","2XZXBR65DRMWVNTY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.33915 per hour for EMR c7i-flex.8xlarge","2025-05-01","0","Inf","Hrs","0.3391500000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c7i-flex.8xlarge","Compute optimized","BoxUsage:c7i-flex.8xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2YMH75W89D8Z52CB","JRTCKXETXF","2YMH75W89D8Z52CB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.1752 per hour for EMR r7i.48xlarge","2025-05-01","0","Inf","Hrs","3.1752000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r7i.48xlarge","Memory optimized","BoxUsage:r7i.48xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"332CZUYV6HJFAXBB","JRTCKXETXF","332CZUYV6HJFAXBB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.794 per hour for EMR m1.large with Hunk","2025-05-01","0","Inf","Hrs","0.7940000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m1.large","General purpose","HunkBoxUsage:m1.large","",,,,"us-east-1","Amazon Elastic MapReduce","Hunk"
"334N32RT5EHR8VNV","JRTCKXETXF","334N32RT5EHR8VNV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.178 per hour for EMR c3.2xlarge with M5","2025-05-01","0","Inf","Hrs","0.1780000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c3.2xlarge","Compute optimized","M5BoxUsage:c3.2xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M5"
