"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-14T17:46:14Z"
"Version","20250514174614"
"OfferCode","awswaf"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"65DQAPFGHZ8MHAES","JRTCKXETXF","65DQAPFGHZ8MHAES.JRTCKXETXF.Q8U7ERQMFZ","OnDemand","$1.00 per thousand requests (Tier 1) processed by Fraud Control AMR","2025-05-01","10000","2000000","Request","0.0010000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request","AMR Fraud Control request processed","USE1-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"65DQAPFGHZ8MHAES","JRTCKXETXF","65DQAPFGHZ8MHAES.JRTCKXETXF.4KF9HH2TZ4","OnDemand","$0.70 per thousand requests (Tier 2) processed by Fraud Control AMR","2025-05-01","2000000","5000000","Request","0.0007000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request","AMR Fraud Control request processed","USE1-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"65DQAPFGHZ8MHAES","JRTCKXETXF","65DQAPFGHZ8MHAES.JRTCKXETXF.7UCCNN4NE8","OnDemand","$0.40 per thousand requests (Tier 3) processed by Fraud Control AMR","2025-05-01","5000000","15000000","Request","0.0004000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request","AMR Fraud Control request processed","USE1-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"65DQAPFGHZ8MHAES","JRTCKXETXF","65DQAPFGHZ8MHAES.JRTCKXETXF.KCDPB7BUTC","OnDemand","$0.20 per thousand requests (Tier 4) processed by Fraud Control AMR","2025-05-01","15000000","30000000","Request","0.0002000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request","AMR Fraud Control request processed","USE1-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"65DQAPFGHZ8MHAES","JRTCKXETXF","65DQAPFGHZ8MHAES.JRTCKXETXF.FNBKGN7CAD","OnDemand","$0.05 per thousand requests (Tier 5) processed by Fraud Control AMR","2025-05-01","30000000","Inf","Request","0.0000500000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request","AMR Fraud Control request processed","USE1-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"7NYZR4J2BFYVUSND","JRTCKXETXF","7NYZR4J2BFYVUSND.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.00 per month for each Bot Control managed rule group enabled (prorated hourly)","2025-05-01","0","Inf","Month","10.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Entity","AMR Bot Control Activated","USE1-AMR-BotControl","","us-east-1","AWS WAF"
"94S3KGQ8C7XGQFSJ","JRTCKXETXF","94S3KGQ8C7XGQFSJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.60 per million requests processed","2025-05-01","0","Inf","Request","0.0000006000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Request Processed Tier1","USE1-RequestV2-Tier1","","us-east-1","AWS WAF"
"9VJ4TY8GR3DDPAGS","JRTCKXETXF","9VJ4TY8GR3DDPAGS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.00 per month for each Account Takeover Prevention managed rule group enabled (prorated hourly)","2025-05-01","0","Inf","Month","10.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR ATP Entity","AMR ATP Activated","USE1-AMR-ATP","","us-east-1","AWS WAF"
"ANMHSNQ3DA3Z29W4","JRTCKXETXF","ANMHSNQ3DA3Z29W4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.30 per million requests processed (32KB)","2025-05-01","0","Inf","Request","0.0000003000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Requests Processed 32KB","USE1-RequestV2-32KB","","us-east-1","AWS WAF"
"AUECWW9NB9VQAX5W","JRTCKXETXF","AUECWW9NB9VQAX5W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.4 per Million Request  for ShieldProtected-ChallengeServed in US East (N. Virginia)","2025-05-01","0","Inf","Request","0.0000004000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Challenge Served (Shield Protected)","Challenge Served processed (Shield Protected)","USE1-ShieldProtected-ChallengeServed","","us-east-1","AWS WAF"
"BMU3RH27WZ5UW9G3","JRTCKXETXF","BMU3RH27WZ5UW9G3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per rule created (Shield Protected)","2025-05-01","0","Inf","Month","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Rule (Shield Protected)","Rule Activated (Shield Protected)","USE1-ShieldProtected-RuleV2","","us-east-1","AWS WAF"
"BPNC6M7HWHDA3ZBR","JRTCKXETXF","BPNC6M7HWHDA3ZBR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Price per HTTP request (Shield Protected)","2025-05-01","0","Inf","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Number of Web Requests received (Shield Protected)","USE1-ShieldProtected-Request","","us-east-1","AWS WAF"
"C342DJPGVP5ZXQCT","JRTCKXETXF","C342DJPGVP5ZXQCT.JRTCKXETXF.6YS6EN2CT7","OnDemand","Price per HTTP request","2025-05-01","0","Inf","Request","0.0000006000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Number of Web Requests received","USE1-Request","","us-east-1","AWS WAF"
"DCB7VHMWTQDWT3KK","JRTCKXETXF","DCB7VHMWTQDWT3KK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.20 per million requests processed (Shield Protected)","2025-05-01","0","Inf","Request","0.0000002000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier2 2000WCU (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier2-2000WCU","","us-east-1","AWS WAF"
"E6VDBNGHVCSV4N5D","JRTCKXETXF","E6VDBNGHVCSV4N5D.JRTCKXETXF.HWDSBTNJX9","OnDemand","$0 per million requests processed by Bot Control","2025-05-01","0","10000000","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Request","AMR Bot Control Request Processed","USE1-AMR-BotControl-Request","","us-east-1","AWS WAF"
"E6VDBNGHVCSV4N5D","JRTCKXETXF","E6VDBNGHVCSV4N5D.JRTCKXETXF.EFRCQPS26J","OnDemand","$1.00 per million requests processed by Bot Control","2025-05-01","10000000","Inf","Request","0.0000010000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Request","AMR Bot Control Request Processed","USE1-AMR-BotControl-Request","","us-east-1","AWS WAF"
"E8BH6HFBUKF3DW3A","JRTCKXETXF","E8BH6HFBUKF3DW3A.JRTCKXETXF.6YS6EN2CT7","OnDemand","Price per Rule (Shield Protected)","2025-05-01","0","Inf","Month","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Rule (Shield Protected)","Number of Rules added per Web Access Control Lists (Shield Protected)","USE1-ShieldProtected-Rule","","us-east-1","AWS WAF"
