"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T15:09:03Z"
"Version","20250521150903"
"OfferCode","AmazonBedrock"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Architecture","Architecture Name","Custom Model Unit Version","Feature","Feature Type","Inference Type","Model","Model Unit","Policy Type","Provider","Region Code","serviceName","Titan Model","Titan Model Unit"
"44TRDQ7J9BB94NMQ","JRTCKXETXF","44TRDQ7J9BB94NMQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.4 per hour for TitanEmbeddingsG1-Text-ProvisionedThroughput-1month-ModelUnit in US East (N. Virginia)","2025-05-01","0","Inf","hour","6.4000000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanEmbeddingsG1-Text-ProvisionedThroughput-1month-ModelUnits","",,,,"Provisioned Throughput Inference - 1 month",,,,,,,"us-east-1","Amazon Bedrock",,"Titan Embeddings G1 Text"
"46BCPSFY57NVQ3DW","JRTCKXETXF","46BCPSFY57NVQ3DW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per 1K input tokens for Pixtral Large 25.02 in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0020000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-PixtralLarge2502-input-tokens","",,,,"On-demand Inference",,"Input tokens","Pixtral Large 25.02",,,"Mistral","us-east-1","Amazon Bedrock",,
"49XK3TDNJEEGFWQP","JRTCKXETXF","49XK3TDNJEEGFWQP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0785 per Custom Model Unit/Minute Inference for Mistral architecture models in US East (N. Virginia)","2025-05-01","0","Inf","Custom Model Unit per Min","0.0785000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Mistral-CustomModelImport-Inference-v1:0","","Mistral","Mistral","v1.0","Custom Model Import","Inference",,,,,,"us-east-1","Amazon Bedrock",,
"4ASTT45AZWG9YMNY","JRTCKXETXF","4ASTT45AZWG9YMNY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$32.25 per hour for TitanTextG1-Premier-ProvisionedThroughput-custom-NoCommit-ModelUnits in US East (N. Virginia)","2025-05-01","0","Inf","hour","32.2500000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanText-Premier-ProvisionedThroughput-Custom-NoCommit-ModelUnits","",,,,"Provisioned Throughput Inference - Custom - no commit",,,,,,,"us-east-1","Amazon Bedrock",,"titan text g1 premier"
"4FARTY2XXRKKGU8C","JRTCKXETXF","4FARTY2XXRKKGU8C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$54.08 per hour for NovaLite-ProvisionedThroughput-6month-ModelUnits in US East (N. Virginia)","2025-05-01","0","Inf","hour","54.0800000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaLite-ProvisionedThroughput-6months-ModelUnits","",,,,"Provisioned Throughput Inference - 6 months",,,"Nova Lite","Nova Lite",,,"us-east-1","Amazon Bedrock",,
"4GSM2HNMJEMXJEDM","JRTCKXETXF","4GSM2HNMJEMXJEDM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0002 per 1K cache read input tokens of Nova Pro in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0002000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaPro-cache-read-input-token-count","",,,,"On-demand Inference",,"Prompt cache read input tokens","Nova Pro",,,,"us-east-1","Amazon Bedrock",,
"4JGB54U6JUKURPCS","JRTCKXETXF","4JGB54U6JUKURPCS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.004 per 1K tokens for Mistral Large input tokens in US East (N.Virginia)","2025-05-01","0","Inf","1K tokens","0.0040000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-MistralLarge-input-tokens","",,,,"On-demand Inference",,"Input tokens","Mistral Large",,,"Mistral","us-east-1","Amazon Bedrock",,
"4M8KSACVHJP5MAYQ","JRTCKXETXF","4M8KSACVHJP5MAYQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.75 per hour for TitanEmbeddingsG1-Image-ProvisionedThroughput-6months-ModelUnit in US East (N. Virginia)","2025-05-01","0","Inf","hour","6.7500000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanEmbeddingsG1-Image-ProvisionedThroughput-6months-ModelUnits","",,,,"Provisioned Throughput Inference - 6 months",,,,,,,"us-east-1","Amazon Bedrock",,"Titan Embeddings G1 Image"
"4MM3J6SFWQG77BS6","JRTCKXETXF","4MM3J6SFWQG77BS6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00066 per 1K output tokens for Llama 4 Scout 17B in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0006600000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama4-Scout-17B-output-tokens","",,,,"On-demand Inference",,"Output tokens","Llama 4 Scout 17B",,,"Meta","us-east-1","Amazon Bedrock",,
"4R7MWPY63QRE4D7N","JRTCKXETXF","4R7MWPY63QRE4D7N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$16.2 per hour for TitanImageGeneratorG1-ProvisionedThroughput-1month-ModelUnit in US East (N. Virginia)","2025-05-01","0","Inf","hour","16.2000000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanImageGeneratorG1-ProvisionedThroughput-1month-ModelUnits","",,,,"Provisioned Throughput Inference - 1 month",,,,,,,"us-east-1","Amazon Bedrock",,"Titan Image Generator G1"
