"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-14T19:14:44Z"
"Version","20250314191444"
"OfferCode","AmazonECR"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Region Code","serviceName","Storage Type"
"KJC988R4J65BDMTQ","JRTCKXETXF","KJC988R4J65BDMTQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB-month of data storage","2025-03-01","0","Inf","GB-Mo","0.1000000000","USD","EC2 Container Registry","AmazonECR","US East (N. Virginia)","AWS Region","TimedStorage-ByteHrs","","us-east-1","Amazon EC2 Container Registry (ECR)","S3"
