"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-13T21:15:38Z"
"Version","20250313211538"
"OfferCode","AWSCloudMap"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Region Code","serviceName","Type"
"4ZC2BWYQG6Y56KXA","JRTCKXETXF","4ZC2BWYQG6Y56KXA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per million API calls","2025-03-01","0","Inf","CloudMapAPICall","0.0000010000","USD","AWS Cloud Map","AWSCloudMap","US East (N. Virginia)","AWS Region","USE1-Cloud-Map-API-Calls","","us-east-1","AWS Cloud Map","API calls"
"M9AJYZKUF3TBMKSZ","JRTCKXETXF","M9AJYZKUF3TBMKSZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per million API calls","2025-03-01","0","Inf","CloudMapAPICall","0.0000010000","USD","AWS Cloud Map","AWSCloudMap","US East (N. Virginia)","AWS Region","USE1-Cloud-Map-DIR-API-Calls","","us-east-1","AWS Cloud Map","DIR-API-Calls"
"WE3HMQYAX2JZ2QM6","JRTCKXETXF","WE3HMQYAX2JZ2QM6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per resource-month","2025-03-01","0","Inf","CloudMapResource","0.1000000000","USD","AWS Cloud Map","AWSCloudMap","US East (N. Virginia)","AWS Region","USE1-Cloud-Map-Resources","","us-east-1","AWS Cloud Map","Resource-Month"
