"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-11-27T00:12:36Z"
"Version","20231127001236"
"OfferCode","AmazonWorkSpacesThinClient"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Region Code","serviceName"
"6V8X67MNK8UPEJ76","JRTCKXETXF","6V8X67MNK8UPEJ76.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6 per month per managed thin client device in US East (N. Virginia)","2023-11-01","0","Inf","Devices","6.0000000000","USD","Enterprise Applications","AmazonWorkSpacesThinClient","US East (N. Virginia)","AWS Region","USE1-Amazon-WorkSpaces-Thin-Client-service","","us-east-1","Amazon WorkSpaces Thin Client"
