"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-11-07T08:46:24Z"
"Version","20241107084624"
"OfferCode","AWSElasticDisasterRecovery"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Region Code","Replication Type","serviceName"
"PADN2F22KRKAVRAZ","JRTCKXETXF","PADN2F22KRKAVRAZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Normal-Replication Replication-hour in US East (N. Virginia)","2024-11-01","0","Inf","Replication-hour","0.0280000000","USD","Server DR","AWSElasticDisasterRecovery","US East (N. Virginia)","AWS Region","USE1-DRS-Replication","Normal-Replication","us-east-1","Normal","AWS Elastic Disaster Recovery"
