"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-10T16:15:06Z"
"Version","20230110161506"
"OfferCode","AWSIoTThingsGraph"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","usageType","operation","Region Code","serviceName"
"9DGPYQ9FCZV6WA5F","JRTCKXETXF","9DGPYQ9FCZV6WA5F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000045 per StepExecuted after free tier US East (N. Virginia)","2019-05-01","0","Inf","Steps","0.0000450000","USD","AWSIoT","AWSIoTThingsGraph","US East (N. Virginia)","AWS Region","Steps Executed","USE1-Cloud-Workflows","StepExecuted","us-east-1","AWS IoT Things Graph"
"BV7778V3NQCCYHDM","JRTCKXETXF","BV7778V3NQCCYHDM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0095 per flow deployed in US East (N. Virginia)","2019-05-01","0","Inf","Deployments","0.0095000000","USD","AWSIoT","AWSIoTThingsGraph","US East (N. Virginia)","AWS Region","Deployments","USE1-Edge-Deployment","Deployment","us-east-1","AWS IoT Things Graph"
