"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-01-13T11:11:33Z"
"Version","20250113111133"
"OfferCode","VMwareCloudOnAWS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","BrioProductId","ChargeId","Instance","IsCommitCPSKU","ProductGroupId","ProductSubGroup","Region Code","serviceName","VMWareProductId","VMwareRegion"
"54AZXRHQ7TN52S6T","JRTCKXETXF","54AZXRHQ7TN52S6T.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to COLM3","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to COLM3","US East (N. Virginia)","AWS Region","USE1-COLM3-DataXfer-In","VMC-CreatePrivateVlan","4A2169E6BAA34ACA","VOD-OB-XYW",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"56WGR7C4FPYVCYVE","JRTCKXETXF","56WGR7C4FPYVCYVE.JRTCKXETXF.6YS6EN2CT7","OnDemand","VMware Cloud on AWS - US East (N. Virginia) data transfer to APAC (Hyderabad) - 1 GB","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","VMware Cloud on AWS - US East (N. Virginia) data transfer to APAC (Hyderabad) - 1 GB","US East (N. Virginia)","AWS Region","USE1-APS5-AWS-Out-Bytes","VMC-DataTransfer","798C5CF4FBB14EB5",,,"N/A",,"Data Transfer","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"5JCM3GQ8FK86XRAZ","JRTCKXETXF","5JCM3GQ8FK86XRAZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to SNAP","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to SNAP","US East (N. Virginia)","AWS Region","USE1-SNAP-DataXfer-In","VMC-CreatePrivateVlan","2FA4767C3786495A","VOD-OB-XXY",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"5JXTG73CHFP7BFCP","JRTCKXETXF","5JXTG73CHFP7BFCP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to TNDB","2024-12-01","0","Inf","GB","0.1107000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to TNDB","US East (N. Virginia)","AWS Region","USE1-TNDB-DataXfer-In","VMC-CreatePrivateVlan","CC6B53B2BE2F4B39","VOD-OB-XZC",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"5Q2XX55Z96BM598R","JRTCKXETXF","5Q2XX55Z96BM598R.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to NDCM1","2024-12-01","0","Inf","GB","0.0600000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to NDCM1","US East (N. Virginia)","AWS Region","USE1-NDCM1-DataXfer-In","VMC-CreatePrivateVlan","6C6C4EC20E934BD9","VOD-OB-XXP",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6724ECRRUMFT74FN","JRTCKXETXF","6724ECRRUMFT74FN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - data transfer to EU (London)","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - data transfer to EU (London)","US East (N. Virginia)","AWS Region","USE1-EUW2-AWS-Out-Bytes","VMC-DataTransfer","91B2FA310D9F4150","VOD-BW-DJ",,"N/A","VMWARE-VMC-AWS","Data Transfer","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6D4YGHUH37J97SRS","JRTCKXETXF","6D4YGHUH37J97SRS.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS Managed Transit Gateway for VPC attachments","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS Managed Transit Gateway for VPC attachments","US East (N. Virginia)","AWS Region","USE1-TransitGateway-DataProcessed","TransitGatewayVPC","66F7B29F28DF4C3C","VOD-TGW-GV",,"N/A","VMWARE-VMC-AWS","TransitGateway","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6G7A8DW8WJ2BZMV5","JRTCKXETXF","6G7A8DW8WJ2BZMV5.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqWA1","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqWA1","US East (N. Virginia)","AWS Region","USE1-EqWA1-DataXfer-In","VMC-CreatePrivateVlan","A9E707AB2C95418B","VOD-OB-XZT",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6JSRW55WJ8RREMVZ","JRTCKXETXF","6JSRW55WJ8RREMVZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EQDX1","2024-12-01","0","Inf","GB","0.1100000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EQDX1","US East (N. Virginia)","AWS Region","USE1-EQDX1-DataXfer-In","VMC-CreatePrivateVlan","A9923C44915A40A2","VOD-OB-XZS",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6JY4VXMU9GQ2JY36","JRTCKXETXF","6JY4VXMU9GQ2JY36.JRTCKXETXF.6YS6EN2CT7","OnDemand","VMware Cloud on AWS - Core Service - Per i3en Host","2024-12-01","0","Inf","Host-hour","13.8201600000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","VMware Cloud on AWS - Core Service - Per i3en Host","US East (N. Virginia)","AWS Region","USE1-CoreService:i3en","VMC-RunHost","809718D379744D9F","VOD-HS-I3EN",,"false","VMWARE-VMC-AWS","CoreService","us-east-1","VMware Cloud on AWS","VMC_AWS_I3EN_CP","A2"
