"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:35:43Z"
"Version","20250521033543"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Attachment Type","From Region Code","Region Code","serviceName","To Region Code"
"9N2FHGMMCZBKDCGH","JRTCKXETXF","9N2FHGMMCZBKDCGH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per Transit Gateway VPC Attachment Hour","2025-05-01","0","Inf","hour","0.0500000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Hourly charge for Transit Gateway VPC Attachments",,,,,,"USE1-TransitGateway-Hours","TransitGatewayVPC","VPC",,"us-east-1","Amazon Virtual Private Cloud",
"AK5AFB32HAKBFRSV","JRTCKXETXF","AK5AFB32HAKBFRSV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0000001 per Connection per hour processed by VPC Lattice Service (N. Virginia)","2025-05-01","0","Inf","Connections","0.0000001000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcLattice","Charge per Connection per hour processed by VPC Lattice Service",,,,,,"USE1-VPCLattice-ConnectionCount-Charged","VpcLattice",,,"us-east-1","Amazon Virtual Private Cloud",
"BJ5T77AX98TZRG6J","JRTCKXETXF","BJ5T77AX98TZRG6J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per hour for TransitGateway-Hours:TransitGatewayConnect in US East (N. Virginia)","2025-05-01","0","Inf","hour","0.0500000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Hourly charge for Transit Gateway Connect attachments",,,,,,"USE1-TransitGateway-Hours","TransitGatewayConnect","Transit Gateway Connect",,"us-east-1","Amazon Virtual Private Cloud",
"CGTM7UBZH2TVW4HH","JRTCKXETXF","CGTM7UBZH2TVW4HH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per Hrs for VpcEndpoint-GWLBE-Hours:VpcEndpoint in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.0100000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Gateway Load Balancer Endpoint","VPCE:VpcEndpoint","Hourly charge for AWS Gateway Load Balancer VPC Endpoint",,,,,,"USE1-VpcEndpoint-GWLBE-Hours","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"CJWGHHWNZBJQ72FC","JRTCKXETXF","CJWGHHWNZBJQ72FC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1 per hour per VPC resource in a service-network in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.1000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcResources","Hourly charge to access VPC Resource through service-network",,,,,,"USE1-VpcLattice-Service-Network-Resource-Hours","VpcResourceConsumer",,,"us-east-1","Amazon Virtual Private Cloud",
"CUP7BB8T9H2HZPVT","JRTCKXETXF","CUP7BB8T9H2HZPVT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per Transit Gateway VPN Attachment Hour","2025-05-01","0","Inf","hour","0.0500000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Hourly charge for Transit Gateway Site-to-Site VPN attachments",,,,,,"USE1-TransitGateway-Hours","TransitGatewayVPN","AWS Site-to-Site VPN",,"us-east-1","Amazon Virtual Private Cloud",
"DJR6RVPWHDN423JY","JRTCKXETXF","DJR6RVPWHDN423JY.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.001 per Hourly for VerifiedAccess-ConnectionHours:VerifiedAccessConnection in US East (N. Virginia)","2025-05-01","0","Inf","Hourly","0.0010000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVerifiedAccess","Hourly charge for Verified Access connections",,,,,,"USE1-VerifiedAccess-ConnectionHours","VerifiedAccessConnection",,,"us-east-1","Amazon Virtual Private Cloud",
"DJUV5YF82V6MHHV2","JRTCKXETXF","DJUV5YF82V6MHHV2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0000001 per Request per hour processed by VPC Lattice Service (N. Virginia)","2025-05-01","0","Inf","Requests","0.0000001000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcLattice","Charge per Request per hour processed by VPC Lattice Service",,,,,,"USE1-VPCLattice-RequestCount-Charged","VpcLattice",,,"us-east-1","Amazon Virtual Private Cloud",
"DQCNPSF4YK7XKQW8","JRTCKXETXF","DQCNPSF4YK7XKQW8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 for the first 300,000 Requests per hour processed by VPC Lattice Service (N. Virginia)","2025-05-01","0","Inf","Requests","0.0000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcLattice","Free for the first 300,000 Requests per hour processed by VPC Lattice Service",,,,,,"USE1-VPCLattice-RequestCount-Free","VpcLattice",,,"us-east-1","Amazon Virtual Private Cloud",
"DQYYEZBCWSW5XS2R","JRTCKXETXF","DQYYEZBCWSW5XS2R.JRTCKXETXF.D7RZ6WCPVW","OnDemand","$0.01 per GB for upto 1 PB monthly data processed by VPC Endpoints","2025-05-01","0","1048576","GB","0.0100000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","PrivateLink","VPCE:VpcEndpoint","Charge for per GB data processed by VPC Endpoints",,,,,,"USE1-VpcEndpoint-Bytes","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
