"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-16T23:51:21Z"
"Version","20250416235121"
"OfferCode","AWSEndUserMessaging3pFees"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Conversation Type","ISO","Message Fee","Message Type","Region Code","serviceName"
"28YCNHRE28NEHV3A","JRTCKXETXF","28YCNHRE28NEHV3A.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Guadeloupe using Marketing template","2025-04-01","0","Inf","Messages","0.0604000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GP-ConversationFee-Marketing","","Marketing","GP","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2A2Z3XZHXSFFQTG8","JRTCKXETXF","2A2Z3XZHXSFFQTG8.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to United Kingdom using Marketing template","2025-04-01","0","Inf","Messages","0.0529000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GB-ConversationFee-Marketing","","Marketing","GB","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2BA6GHNAREQR8567","JRTCKXETXF","2BA6GHNAREQR8567.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Guatemala using Authentication template","2025-04-01","0","Inf","Messages","0.0445000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GT-ConversationFee-Authentication","","Authentication","GT","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2BSE83W59D9FHXXJ","JRTCKXETXF","2BSE83W59D9FHXXJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Belgium using Marketing template","2025-04-01","0","Inf","Messages","0.0592000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-BE-ConversationFee-Marketing","","Marketing","BE","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2E5KTHVCJMMERQTJ","JRTCKXETXF","2E5KTHVCJMMERQTJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Aland Islands using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-AX-ConversationFee-Authentication","","Authentication","AX","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2EQGRAT3S2X4EN37","JRTCKXETXF","2EQGRAT3S2X4EN37.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Nicaragua using Marketing template","2025-04-01","0","Inf","Messages","0.0740000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-NI-ConversationFee-Marketing","","Marketing","NI","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2FG7XF4UF2CV3JKC","JRTCKXETXF","2FG7XF4UF2CV3JKC.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Bahamas using Marketing template","2025-04-01","0","Inf","Messages","0.0604000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-BS-ConversationFee-Marketing","","Marketing","BS","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2HFNQSWD4CD56V4N","JRTCKXETXF","2HFNQSWD4CD56V4N.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Liberia using Marketing template","2025-04-01","0","Inf","Messages","0.0225000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-LR-ConversationFee-Marketing","","Marketing","LR","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2J5AMFCEMG2QH5NW","JRTCKXETXF","2J5AMFCEMG2QH5NW.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Greece using Utility template","2025-04-01","0","Inf","Messages","0.0353000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GR-ConversationFee-Utility","","Utility","GR","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2KK3NCZEMJ4PDW3P","JRTCKXETXF","2KK3NCZEMJ4PDW3P.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to San Marino using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-SM-ConversationFee-Authentication","","Authentication","SM","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
