"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-10-29T16:40:50Z"
"Version","20241029164050"
"OfferCode","AmazonTextract"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","API Type","Entity Type","PlatoPageDataType","PricingUnit","Region Code","serviceName"
"8KB775J8FC6QZC7M","JRTCKXETXF","8KB775J8FC6QZC7M.JRTCKXETXF.SB2VSFF4TP","OnDemand","AsyncPagesProcessed: 0 - 1M AnalyzeLending pages processed per month, 70 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0700000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze Lending API Requests","Number of pages processed using AnalyzeLending","USE1-AsyncLendingPagesProcessed","","Async","Lending","AsyncLendingPagesProcessed",,"us-east-1","Amazon Textract"
"8KB775J8FC6QZC7M","JRTCKXETXF","8KB775J8FC6QZC7M.JRTCKXETXF.VNJQCFJPS4","OnDemand","AsyncPagesProcessed: 1M+ AnalyzeLending pages processed per month, 55 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0550000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze Lending API Requests","Number of pages processed using AnalyzeLending","USE1-AsyncLendingPagesProcessed","","Async","Lending","AsyncLendingPagesProcessed",,"us-east-1","Amazon Textract"
"9XEVKMSU6UZUX3NB","JRTCKXETXF","9XEVKMSU6UZUX3NB.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.01 per API Requests for AsyncExpensePagesProcessed in US East (N. Virginia)","2024-10-01","0","1000000","Pages","0.0100000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze Expense API Requests","Number of pages processed using AnalyzeExpense","USE1-AsyncExpensePagesProcessed","","Async","Expense","AsyncExpensePagesProcessed",,"us-east-1","Amazon Textract"
"9XEVKMSU6UZUX3NB","JRTCKXETXF","9XEVKMSU6UZUX3NB.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.008 per API Requests for AsyncExpensePagesProcessed in US East (N. Virginia)","2024-10-01","1000000","Inf","Pages","0.0080000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze Expense API Requests","Number of pages processed using AnalyzeExpense","USE1-AsyncExpensePagesProcessed","","Async","Expense","AsyncExpensePagesProcessed",,"us-east-1","Amazon Textract"
"A88UYT297TDCR4KQ","JRTCKXETXF","A88UYT297TDCR4KQ.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.01 per Pages for SyncExpensePagesProcessed in US East (N. Virginia)","2024-10-01","0","1000000","Pages","0.0100000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze Expense API Requests","Number of pages processed using AnalyzeExpense","USE1-SyncExpensePagesProcessed","","Sync AnalyzeExpense","Expense","SyncExpensePagesProcessed",,"us-east-1","Amazon Textract"
"A88UYT297TDCR4KQ","JRTCKXETXF","A88UYT297TDCR4KQ.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.008 per Pages for SyncExpensePagesProcessed in US East (N. Virginia)","2024-10-01","1000000","Inf","Pages","0.0080000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze Expense API Requests","Number of pages processed using AnalyzeExpense","USE1-SyncExpensePagesProcessed","","Sync AnalyzeExpense","Expense","SyncExpensePagesProcessed",,"us-east-1","Amazon Textract"
"A9TNAGWQ34USJP26","JRTCKXETXF","A9TNAGWQ34USJP26.JRTCKXETXF.SB2VSFF4TP","OnDemand","SyncPagesProcessed: 0 - 1M Signatures pages processed per month, 3.5 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0035000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument Signatures","USE1-SyncSignaturesPagesProcessed","","Sync","Signatures","SyncSignaturesPagesProcessed",,"us-east-1","Amazon Textract"
"A9TNAGWQ34USJP26","JRTCKXETXF","A9TNAGWQ34USJP26.JRTCKXETXF.VNJQCFJPS4","OnDemand","SyncPagesProcessed: 1M+ Signatures pages processed per month, 1.4 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0014000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument Signatures","USE1-SyncSignaturesPagesProcessed","","Sync","Signatures","SyncSignaturesPagesProcessed",,"us-east-1","Amazon Textract"
"B2TF6MVSVF57QXDE","JRTCKXETXF","B2TF6MVSVF57QXDE.JRTCKXETXF.SB2VSFF4TP","OnDemand","SyncPagesProcessed: 0-1M pages of AnalyzeDocument Tables, $15 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0150000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncTablesPagesProcessed","","Sync","Tables","SyncTablesPagesProcessed",,"us-east-1","Amazon Textract"
"B2TF6MVSVF57QXDE","JRTCKXETXF","B2TF6MVSVF57QXDE.JRTCKXETXF.VNJQCFJPS4","OnDemand","SyncPagesProcessed: 1M+ pages of AnalyzeDocument Tables, $10 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0100000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncTablesPagesProcessed","","Sync","Tables","SyncTablesPagesProcessed",,"us-east-1","Amazon Textract"
"B46VY7E9SHE767XJ","JRTCKXETXF","B46VY7E9SHE767XJ.JRTCKXETXF.SB2VSFF4TP","OnDemand","AsyncPagesProcessed: 0 - 1M DetectDocumentText pages processed USD per month, $1.50 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0015000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract DocumentText API Requests","Number of pages processed using DocumentTextDetection APIs","USE1-AsyncTextPagesProcessed","","Async","Text","AsyncTextPagesProcessed",,"us-east-1","Amazon Textract"
"B46VY7E9SHE767XJ","JRTCKXETXF","B46VY7E9SHE767XJ.JRTCKXETXF.VNJQCFJPS4","OnDemand","AsyncPagesProcessed: 1M+ DetectDocumentText pages processed USD per month, $0.60 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0006000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract DocumentText API Requests","Number of pages processed using DocumentTextDetection APIs","USE1-AsyncTextPagesProcessed","","Async","Text","AsyncTextPagesProcessed",,"us-east-1","Amazon Textract"
"CV77QFZTMB7ERWTZ","JRTCKXETXF","CV77QFZTMB7ERWTZ.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.015 per page for SyncQueriesPagesProcessed in US East (N. Virginia); [0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0150000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncQueriesPagesProcessed","","Sync","Queries","SyncQueriesPagesProcessed",,"us-east-1","Amazon Textract"
"CV77QFZTMB7ERWTZ","JRTCKXETXF","CV77QFZTMB7ERWTZ.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.01 per page for SyncQueriesPagesProcessed in US East (N. Virginia); [1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0100000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncQueriesPagesProcessed","","Sync","Queries","SyncQueriesPagesProcessed",,"us-east-1","Amazon Textract"
"DSWYVCQ9QNW9CY2N","JRTCKXETXF","DSWYVCQ9QNW9CY2N.JRTCKXETXF.SB2VSFF4TP","OnDemand","SyncPagesProcessed: 0-1M pages of AnalyzeDocument Forms, $50 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0500000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncFormsPagesProcessed","","Sync","Forms","SyncFormsPagesProcessed",,"us-east-1","Amazon Textract"
"DSWYVCQ9QNW9CY2N","JRTCKXETXF","DSWYVCQ9QNW9CY2N.JRTCKXETXF.VNJQCFJPS4","OnDemand","SyncPagesProcessed: 1M+ pages of AnalyzeDocument Forms, $40 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0400000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncFormsPagesProcessed","","Sync","Forms","SyncFormsPagesProcessed",,"us-east-1","Amazon Textract"
"E7GKQXTN22TKKDQX","JRTCKXETXF","E7GKQXTN22TKKDQX.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.07 per page for SyncFormsQueriesTablesPagesProcessed in US East (N. Virginia); [0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0700000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncFormsQueriesTablesPagesProcessed","","Sync","Forms+Tables+Queries","SyncFormsQueriesTablesPagesProcessed",,"us-east-1","Amazon Textract"
"E7GKQXTN22TKKDQX","JRTCKXETXF","E7GKQXTN22TKKDQX.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.055 per page for SyncFormsQueriesTablesPagesProcessed in US East (N. Virginia); [1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0550000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncFormsQueriesTablesPagesProcessed","","Sync","Forms+Tables+Queries","SyncFormsQueriesTablesPagesProcessed",,"us-east-1","Amazon Textract"
