"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-05-29T20:40:19Z"
"Version","20240529204019"
"OfferCode","AmazonConnectCases"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Connect_CaseManagement","Region Code","serviceName"
"VN5NH6XWHD65TY5Y","JRTCKXETXF","VN5NH6XWHD65TY5Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","You will be billed per case created.","2024-05-01","0","Inf","cases","0.1200000000","USD","AmazonConnect","AmazonConnectCases","US East (N. Virginia)","AWS Region","us-east-1-case-created","","0","us-east-1","AmazonConnectCases"
