"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-12-17T13:58:17Z"
"Version","20241217135817"
"OfferCode","CustomerProfiles"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Locke-Profiles","Region Code","serviceName"
"7QUP2HWPUY4UVR3H","JRTCKXETXF","7QUP2HWPUY4UVR3H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Profiles for USE1-ConnectBaseProfilesUtilizedDaily:ConnectBaseProfilesUtilized in US East (N. Virginia)","2024-12-01","0","Inf","Profiles","0.0000000000","USD","AmazonConnect","CustomerProfiles","US East (N. Virginia)","AWS Region","USE1-ConnectBaseProfilesUtilizedDaily","ConnectBaseProfilesUtilized","ConnectBaseProfilesUtilizedDaily","us-east-1","Amazon Connect Customer Profiles"
"RV8K6QCP324PNS4Y","JRTCKXETXF","RV8K6QCP324PNS4Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per Profiles for USE1-CustomerProfilesUtilizedDaily:CustomerProfilesUtilized in US East (N. Virginia)","2024-12-01","0","Inf","Profiles","0.0050000000","USD","AmazonConnect","CustomerProfiles","US East (N. Virginia)","AWS Region","USE1-CustomerProfilesUtilizedDaily","CustomerProfilesUtilized","CustomerProfilesUtilizedDaily","us-east-1","Amazon Connect Customer Profiles"
