"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-08-29T17:20:11Z"
"Version","20240829172011"
"OfferCode","AmazonFinSpace"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","vCPU","Memory","usageType","operation","ComputeSize","ComputeType","Details","Node","Region Code","serviceName","StorageType","UserType"
"85SQK7CZ6GE5WC4B","JRTCKXETXF","85SQK7CZ6GE5WC4B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.26 USD per hour for kx.sg.2xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","1.2600000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","8","54","USE1-KdbScalingGroupHost:kx.sg.2xlarge","RunClusterSingleAz",,,"kx.sg.2xlarge","kx.sg.2xlarge","us-east-1","Amazon FinSpace",,
"8UN3CZSMNRATNC4K","JRTCKXETXF","8UN3CZSMNRATNC4K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per minutes for Clusters:Large:RunCluster in US East (N. Virginia)","2024-08-01","0","Inf","minutes","0.5000000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-Clusters:Large","RunCluster","Large","Cluster",,,"us-east-1","Amazon FinSpace",,
"9BT782F9RZVAC2UF","JRTCKXETXF","9BT782F9RZVAC2UF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.52 USD per hour for kx.sg.4xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","2.5200000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","16","108","USE1-KdbScalingGroupHost:kx.sg.4xlarge","RunClusterSingleAz",,,"kx.sg.4xlarge","kx.sg.4xlarge","us-east-1","Amazon FinSpace",,
"BG84DVD73NVM6ZDY","JRTCKXETXF","BG84DVD73NVM6ZDY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.52 per Node-hour for KdbNode:kx.s.4xlarge:RunClusterMultiAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","2.5200000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","16","108","USE1-KdbNode:kx.s.4xlarge","RunClusterMultiAz",,,"MAZ-kx.s.4xlarge","kx.s.4xlarge","us-east-1","Amazon FinSpace",,
"BPMXC3FC8XJHJ5NA","JRTCKXETXF","BPMXC3FC8XJHJ5NA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$33.345 USD per hour for kx.sg1.16xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","33.3450000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","64","1949","USE1-KdbScalingGroupHost:kx.sg1.16xlarge","RunClusterSingleAz",,,"kx.sg1.16xlarge","kx.sg1.16xlarge","us-east-1","Amazon FinSpace",,
"CCE2GK6K4S8B9EAN","JRTCKXETXF","CCE2GK6K4S8B9EAN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.21 per GB-month for KdbCluster:dbcache250:StorageProvisioned in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.2100000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbCluster:dbcache250","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","DBCache250",
"CHJUHCKDYJ7DYRAR","JRTCKXETXF","CHJUHCKDYJ7DYRAR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.04 per Node-hour for KdbNode:kx.s.8xlarge:RunClusterMultiAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","5.0400000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","32","216","USE1-KdbNode:kx.s.8xlarge","RunClusterMultiAz",,,"MAZ-kx.s.8xlarge","kx.s.8xlarge","us-east-1","Amazon FinSpace",,
"DBRXWQVS427EN5M7","JRTCKXETXF","DBRXWQVS427EN5M7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$20.16 per Node-hour for KdbNode:kx.s.32xlarge:RunClusterMultiAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","20.1600000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","128","864","USE1-KdbNode:kx.s.32xlarge","RunClusterMultiAz",,,"MAZ-kx.s.32xlarge","kx.s.32xlarge","us-east-1","Amazon FinSpace",,
"DD9WVEXRN7V8TX3X","JRTCKXETXF","DD9WVEXRN7V8TX3X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.26 per Node-hour for KdbNode:kx.s.2xlarge:RunClusterMultiAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","1.2600000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","8","54","USE1-KdbNode:kx.s.2xlarge","RunClusterMultiAz",,,"MAZ-kx.s.2xlarge","kx.s.2xlarge","us-east-1","Amazon FinSpace",,
"ETU7TAP9QJXJ3JND","JRTCKXETXF","ETU7TAP9QJXJ3JND.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.63 per Node-hour for KdbNode:kx.s.xlarge:RunClusterMultiAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","0.6300000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","4","27","USE1-KdbNode:kx.s.xlarge","RunClusterMultiAz",,,"MAZ-kx.s.xlarge","kx.s.xlarge","us-east-1","Amazon FinSpace",,
