"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-10T16:15:39Z"
"Version","20230110161539"
"OfferCode","AmazonWorkMail"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Free Tier","Mailbox Storage","Region Code","serviceName"
"8PKFR8SGFERTRYG2","JRTCKXETXF","8PKFR8SGFERTRYG2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per user per month under the free tier in the USE1 region","2016-03-01","0","Inf","User-Mo","0.0000000000","USD","Enterprise Applications","AmazonWorkMail","US East (N. Virginia)","AWS Region","USE1-WorkMail-FreeTier-UserHrs","","Y","50GB","us-east-1","AmazonWorkMail"
"GJ2WD77XFX753GMU","JRTCKXETXF","GJ2WD77XFX753GMU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4 per user per month in the USE1 region","2016-03-01","0","Inf","User-Mo","4.0000000000","USD","Enterprise Applications","AmazonWorkMail","US East (N. Virginia)","AWS Region","USE1-WorkMail-NormalTier-UserHrs","","N","50GB","us-east-1","AmazonWorkMail"
