"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-10T16:17:42Z"
"Version","20230110161742"
"OfferCode","AWSCostExplorer"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Granularity","Region Code","Request Type","serviceName"
"BX68HKNBJP73AFBV","JRTCKXETXF","BX68HKNBJP73AFBV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per API Request","2019-11-01","0","Inf","Request","0.0100000000","USD","API Request","AWSCostExplorer","US East (N. Virginia)","AWS Region","USE1-APIRequest","",,"us-east-1","Reporting","AWS Cost Explorer"
"JBUNT4MSRCD5R5P5","JRTCKXETXF","JBUNT4MSRCD5R5P5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 UsageRecord-month of stored Granular Cost Data Usage-records","2019-11-01","0","Inf","UsageRecord-month","0.0000100000","USD","Storage","AWSCostExplorer","US East (N. Virginia)","AWS Region","USE1-CostDataStorage","CostDataStorage","All","us-east-1",,"AWS Cost Explorer"
