"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-18T19:05:44Z"
"Version","20250318190544"
"OfferCode","AmazonSNS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Endpoint Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"9XWXSU28J97DCHXS","JRTCKXETXF","9XWXSU28J97DCHXS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Passbook",,,"DeliveryAttempts-AP_PB","","us-east-1","Amazon Simple Notification Service"
"B2HVK8TAS4H8RJ8U","JRTCKXETXF","B2HVK8TAS4H8RJ8U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000,000 SNS FIFO Messages for Subscribers in US East (N. Virginia)","2025-03-01","0","Inf","Messages","0.0000000100","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-Subscription-Messages","Amazon SNS FIFO Subscription Messages","F-DA-SQS","","us-east-1","Amazon Simple Notification Service"
"BZ4UZ2ERDQACBPJ4","JRTCKXETXF","BZ4UZ2ERDQACBPJ4.JRTCKXETXF.JXGPBPHWFF","OnDemand","First 1,000 Amazon SNS Email/Email-JSON Notifications per month are free","2025-03-01","0","1000","Notifications","0.0000000000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","SMTP",,,"DeliveryAttempts-SMTP","","us-east-1","Amazon Simple Notification Service"
"BZ4UZ2ERDQACBPJ4","JRTCKXETXF","BZ4UZ2ERDQACBPJ4.JRTCKXETXF.MUBTP6UPGZ","OnDemand","$2.00 per 100,000 Amazon SNS Email/Email-JSON Notifications thereafter","2025-03-01","1000","Inf","Notifications","0.0000200000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","SMTP",,,"DeliveryAttempts-SMTP","","us-east-1","Amazon Simple Notification Service"
"CPC8KYP9QDG68MUP","JRTCKXETXF","CPC8KYP9QDG68MUP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Push Notification Service (APNS) - iOS",,,"DeliveryAttempts-APNS","","us-east-1","Amazon Simple Notification Service"
"CT2KS3UK2VVZNU7J","JRTCKXETXF","CT2KS3UK2VVZNU7J.JRTCKXETXF.6YS6EN2CT7","OnDemand","There is no charge for Lambda Notifications","2025-03-01","0","Inf","Notifications","0.0000000000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","AWS Lambda",,,"DeliveryAttempts-LAMBDA","","us-east-1","Amazon Simple Notification Service"
"E2MCTP8HN3D5YZZZ","JRTCKXETXF","E2MCTP8HN3D5YZZZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB for F-PL-Filter-Matched in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0900000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-Payload-MessageFiltering-Filter-Matched","Amazon SNS FIFO Payload Scanned & Matched","F-PL-Filter-Matched","","us-east-1","Amazon Simple Notification Service"
"E3EKE9PTQWY22R5R","JRTCKXETXF","E3EKE9PTQWY22R5R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Push Notification Service (APNS) VOIP Sandbox",,,"DeliveryAttempts-AP_V_SB","","us-east-1","Amazon Simple Notification Service"
"EPBYSB65V2JYSVAY","JRTCKXETXF","EPBYSB65V2JYSVAY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.001 per GB of SNS FIFO Messages for Subscribers in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0010000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-Subscription-Messages-Payload","Amazon SNS FIFO Subscription Messages Payload","F-Egress-SQS","","us-east-1","Amazon Simple Notification Service"
"FTTMKKE7TJYZKPMN","JRTCKXETXF","FTTMKKE7TJYZKPMN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB of SNS FIFO Topics Archive Processing in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.1000000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-ArchiveProcessing","Amazon SNS FIFO Topics Archive Processing","USE1-F-ArchiveProcessing","","us-east-1","Amazon Simple Notification Service"
