"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-15T19:29:29Z"
"Version","20250515192929"
"OfferCode","AWSIAMAccessAnalyzer"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Check Type","Finding Type","Region Code","serviceName"
"6SJJX6D7QDDZUWZH","JRTCKXETXF","6SJJX6D7QDDZUWZH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per API Request in US East (N. Virginia)","2025-05-01","0","Inf","API Requests","0.0020000000","USD","Checks","AWSIAMAccessAnalyzer","US East (N. Virginia)","AWS Region","USE1-CustomCheck-API-Requests","AccessCheck","Automated Reasoning Checks",,"us-east-1","AWS Identity and Access Management Access Analyzer"
"E85EKK7SDEFQTSZF","JRTCKXETXF","E85EKK7SDEFQTSZF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2 per number of monitored resources in US East (N. Virginia)","2025-05-01","0","Inf","Number of Monitored resources","0.2000000000","USD","Findings","AWSIAMAccessAnalyzer","US East (N. Virginia)","AWS Region","USE1-AccessFinding-Monitored-IAM-Resources","UnusedAccessAnalysis",,"Unused Access Finding","us-east-1","AWS Identity and Access Management Access Analyzer"
