"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:19:38Z"
"Version","20250521031938"
"OfferCode","AWSBackup"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","To Location","To Location Type","usageType","operation","Backup Evaluations","Backup_Service","IndexType","Region Code","SearchType","serviceName","Storage Type","StorageType","To Region Code","VaultType"
"2APWCNK7YDD6FVNK","JRTCKXETXF","2APWCNK7YDD6FVNK.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for cross-Region backup data transfer for S3 to AWS GovCloud (US-East)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","AWS GovCloud (US-East)","AWS Region","USE1-UGE1-CrossRegion-WarmBytes-S3","DataTransfer",,"S3",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-gov-east-1","BackupVault"
"2BQ6N7RXVARWUEF5","JRTCKXETXF","2BQ6N7RXVARWUEF5.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.08 per GB for cross-Region backup data transfer for DynamoDB to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0800000000","USD","AWS Backup Storage","AWSBackup","Asia Pacific (Malaysia)","AWS Region","US East (N. Virginia)","AWS Region","APS7-USE1-CrossRegion-WarmBytes-DynamoDB","DataTransfer",,"DDB",,"ap-southeast-5",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"2CR3QJRC7QHTYHV5","JRTCKXETXF","2CR3QJRC7QHTYHV5.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.147 per GB for data transfer from logically air-gapped vault for EBS to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.1470000000","USD","AWS Backup Storage","AWSBackup","Africa (Cape Town)","AWS Region","US East (N. Virginia)","AWS Region","AFS1-USE1-CrossRegion-WarmBytes-EBS","DataTransfer",,"EBS",,"af-south-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
"2F7JH7PWTGVSS6VY","JRTCKXETXF","2F7JH7PWTGVSS6VY.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for Neptune to Asia Pacific (Sydney)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Sydney)","AWS Region","USE1-APS2-CrossRegion-WarmBytes-Neptune","DataTransfer",,"Neptune",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-southeast-2","LAGVault"
"2GZV6K85MV4RM7TV","JRTCKXETXF","2GZV6K85MV4RM7TV.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for Aurora to Europe (Zurich)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Europe (Zurich)","AWS Region","USE1-EUC2-CrossRegion-WarmBytes-Aurora","DataTransfer",,"Aurora",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-central-2","LAGVault"
"2H5Q6QZJ33HYD9CT","JRTCKXETXF","2H5Q6QZJ33HYD9CT.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for DynamoDB to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","Mexico (Central)","AWS Region","US East (N. Virginia)","AWS Region","MXC1-USE1-CrossRegion-WarmBytes-DynamoDB","DataTransfer",,"DDB",,"mx-central-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","Any"
"2HD2Z56RQZRUVQ4J","JRTCKXETXF","2HD2Z56RQZRUVQ4J.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.1 per GB for cross-Region backup data transfer for EFS to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.1000000000","USD","AWS Backup Storage","AWSBackup","Israel (Tel Aviv)","AWS Region","US East (N. Virginia)","AWS Region","ILC1-USE1-CrossRegion-WarmBytes-EFS","DataTransfer",,"EFS",,"il-central-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"2HNCEFZNGZ7FGZYZ","JRTCKXETXF","2HNCEFZNGZ7FGZYZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for EBS to Canada (Central)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Canada (Central)","AWS Region","USE1-CAN1-CrossRegion-WarmBytes-EBS","DataTransfer",,"EBS",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ca-central-1","LAGVault"
"2J7WCKHW963WNCCC","JRTCKXETXF","2J7WCKHW963WNCCC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for cross-Region backup data transfer for S3 to Asia Pacific (Hong Kong)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Hong Kong)","AWS Region","USE1-APE1-CrossRegion-WarmBytes-S3","DataTransfer",,"S3",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-east-1","BackupVault"
"2JR3XAQBJ3W7A74A","JRTCKXETXF","2JR3XAQBJ3W7A74A.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.08 per GB for cross-Region backup data transfer for EFS to Asia Pacific (Thailand)","2025-05-01","0","Inf","GB","0.0800000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Thailand)","AWS Region","USE1-APS9-CrossRegion-WarmBytes-EFS","DataTransfer",,"EFS",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-southeast-7","Any"
"2M8576HZ4JBE2SSK","JRTCKXETXF","2M8576HZ4JBE2SSK.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for FSx to Africa (Cape Town)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Africa (Cape Town)","AWS Region","USE1-AFS1-CrossRegion-WarmBytes-FSx","DataTransfer",,"FSx",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"af-south-1","LAGVault"
"2P6J3HHEEZVR7ZK8","JRTCKXETXF","2P6J3HHEEZVR7ZK8.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.115 per GB-month for warm backup storage in logically air-gapped vault for DynamoDB","2025-05-01","0","Inf","GB-month","0.1150000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region",,,"USE1-WarmStorage-ByteHrs-DynamoDB-LAGV","Storage",,"DDB",,"us-east-1",,"AWS Backup",,"Warm",,"LAGVault"
