"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-09-06T17:25:11Z"
"Version","20220906172511"
"OfferCode","AmazonDevOpsGuru"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","API Calls","Region Code","Resource Price Group","serviceName"
"8NQ9VE9475DSJMX9","JRTCKXETXF","8NQ9VE9475DSJMX9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-NetworkELB-LoadBalancer-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-NetworkELB-LoadBalancer-GroupB","",,"us-east-1","Network ELB-LoadBalancer-GroupB","Amazon DevOps Guru"
"94AK9AG3VPQGGB2Y","JRTCKXETXF","94AK9AG3VPQGGB2Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-StepFunctions-Activity-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","StepFunctions-Activity-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"9JZJNFPVAU4Y74R4","JRTCKXETXF","9JZJNFPVAU4Y74R4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-SageMaker-InvocationEndpoint-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SageMaker-InvocationEndpoint-GroupB","",,"us-east-1","SageMaker-InvocationEndpoint-GroupB","Amazon DevOps Guru"
"A7PJP37JKU24GXRN","JRTCKXETXF","A7PJP37JKU24GXRN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-SQS-Queue-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SQS-Queue-GroupB","",,"us-east-1","SQS-Queue-GroupB","Amazon DevOps Guru"
"A7U3QZ8B5FNT4FSB","JRTCKXETXF","A7U3QZ8B5FNT4FSB.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-DynamoDB-Table-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","DynamoDB-Table-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"ADAUW96VRJFE9CV2","JRTCKXETXF","ADAUW96VRJFE9CV2.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-OpenSearchService-Node-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","OpenSearchService-Node-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"ASXGM85NPBBQWU48","JRTCKXETXF","ASXGM85NPBBQWU48.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-Application-ELB-LoadBalancer-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Application-ELB-LoadBalancer-GroupB","",,"us-east-1","Application-ELB-LoadBalancer-GroupB","Amazon DevOps Guru"
"B79S9S9JGVNPUZZN","JRTCKXETXF","B79S9S9JGVNPUZZN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-RedShift-Cluster-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-RedShift-Cluster-GroupB","",,"us-east-1","RedShift-Cluster-GroupB","Amazon DevOps Guru"
"C7DNZJF2GG3KQWPM","JRTCKXETXF","C7DNZJF2GG3KQWPM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-NetworkELB-LoadBalancer-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","Network ELB-LoadBalancer-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"CHYE8XVWN64AC73A","JRTCKXETXF","CHYE8XVWN64AC73A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-EKS-Service-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-EKS-Service-GroupB","",,"us-east-1","EKS-Service-GroupB","Amazon DevOps Guru"
