"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-16T18:45:58Z"
"Version","20250516184558"
"OfferCode","AmazonDeadline"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Memory","Operating System","usageType","operation","Instance","Licensed Product","Region Code","serviceName","Worker Location"
"2SZ5ZW7ZJKMM3C3F","JRTCKXETXF","2SZ5ZW7ZJKMM3C3F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.42816 per On Demand Windows m6a.xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.4281600000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6a.xlarge",,"4","16 GiB","Windows","BoxUsage:m6a.xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"2U7J5JYGRHGQASTR","JRTCKXETXF","2U7J5JYGRHGQASTR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.418392 per On Demand Linux r6in.xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.4183920000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6in.xlarge",,"4","32 GiB","Linux","BoxUsage:r6in.xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"2UYNN639AXNHZUY9","JRTCKXETXF","2UYNN639AXNHZUY9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.5824 per On Demand Linux r5n.24xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","8.5824000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r5n.24xlarge",,"96","768 GiB","Linux","BoxUsage:r5n.24xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"2VKNDWBVE2TJMUNF","JRTCKXETXF","2VKNDWBVE2TJMUNF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.668304 per On Demand Linux m6in.2xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.6683040000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6in.2xlarge",,"8","32 GiB","Linux","BoxUsage:m6in.2xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"2XPCFJ73S7Q55QX9","JRTCKXETXF","2XPCFJ73S7Q55QX9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.61472 per On Demand Windows g6.2xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","1.6147200000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6.2xlarge","GPU instance",,,"Windows","BoxUsage:g6.2xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"32A8N847RD2PBDQJ","JRTCKXETXF","32A8N847RD2PBDQJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.70912 per On Demand Linux c6in.metal instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","8.7091200000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c6in.metal",,"128","256 GiB","Linux","BoxUsage:c6in.metal","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"33CVJUWCY89CVWYG","JRTCKXETXF","33CVJUWCY89CVWYG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.17312 per On Demand Linux g6.2xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","1.1731200000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6.2xlarge","GPU instance",,,"Linux","BoxUsage:g6.2xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"34F3RYUZHHKRXUH6","JRTCKXETXF","34F3RYUZHHKRXUH6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.93568 per On Demand Linux gr6.8xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.9356800000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","gr6.8xlarge","GPU instance",,,"Linux","BoxUsage:gr6.8xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"377XXU3EWEHPBNET","JRTCKXETXF","377XXU3EWEHPBNET.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.7648 per On Demand Linux m6i.12xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.7648000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6i.12xlarge",,"48","192 GiB","Linux","BoxUsage:m6i.12xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"37BFNKPM3KAWVFYK","JRTCKXETXF","37BFNKPM3KAWVFYK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.95328 per On Demand Linux m6a.metal instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","9.9532800000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6a.metal",,"192","768 GiB","Linux","BoxUsage:m6a.metal","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"3AEDX3H9Q6THQS4U","JRTCKXETXF","3AEDX3H9Q6THQS4U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.4056 per On Demand Windows c5a.xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.4056000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c5a.xlarge",,"4","8 GiB","Windows","BoxUsage:c5a.xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3AZQEWYN8H8HM5ZC","JRTCKXETXF","3AZQEWYN8H8HM5ZC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.690496 per On Demand Linux g6e.2xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.6904960000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6e.2xlarge","GPU instance",,,"Linux","BoxUsage:g6e.2xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"3B94DKQEQXCPCZCR","JRTCKXETXF","3B94DKQEQXCPCZCR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.692864 per On Demand Linux m6in.metal instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","10.6928640000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6in.metal",,"128","512 GiB","Linux","BoxUsage:m6in.metal","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"3DUYXRX8FZB9X7VK","JRTCKXETXF","3DUYXRX8FZB9X7VK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.17152 per On Demand Windows g6.12xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","8.1715200000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6.12xlarge","GPU instance",,,"Windows","BoxUsage:g6.12xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3ED49B6438K9NK44","JRTCKXETXF","3ED49B6438K9NK44.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.48 per On Demand Windows c5n.xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.4800000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c5n.xlarge",,"4","10.5 GiB","Windows","BoxUsage:c5n.xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3FD3CURCNC46HDBH","JRTCKXETXF","3FD3CURCNC46HDBH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.3712 per On Demand Windows r5.16xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","8.3712000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r5.16xlarge",,"64","512 GiB","Windows","BoxUsage:r5.16xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3FKJM6D6DBS6EJPX","JRTCKXETXF","3FKJM6D6DBS6EJPX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.7648 per On Demand Linux m5.12xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.7648000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m5.12xlarge",,"48","192 GiB","Linux","BoxUsage:m5.12xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"3JGXVS5ZG9MVDNJQ","JRTCKXETXF","3JGXVS5ZG9MVDNJQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.448 per On Demand Linux c6i.12xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.4480000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c6i.12xlarge",,"48","96 GiB","Linux","BoxUsage:c6i.12xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"3UT8RH3DQSSU9GTP","JRTCKXETXF","3UT8RH3DQSSU9GTP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.47104 per On Demand Windows g6.4xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.4710400000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6.4xlarge","GPU instance",,,"Windows","BoxUsage:g6.4xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3VHU6DMRFKW49GX9","JRTCKXETXF","3VHU6DMRFKW49GX9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.1568 per On Demand Windows r5n.2xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","1.1568000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r5n.2xlarge",,"8","64 GiB","Windows","BoxUsage:r5n.2xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3XDVEQQ7U27888NM","JRTCKXETXF","3XDVEQQ7U27888NM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.2784 per On Demand Windows r6i.12xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","6.2784000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6i.12xlarge",,"48","384 GiB","Windows","BoxUsage:r6i.12xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"3XQ8ED37SRBY3DJG","JRTCKXETXF","3XQ8ED37SRBY3DJG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.53184 per On Demand Linux r6a.24xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","6.5318400000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6a.24xlarge",,"96","768 GiB","Linux","BoxUsage:r6a.24xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"427HQN2V8SGC5RBV","JRTCKXETXF","427HQN2V8SGC5RBV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.6096 per On Demand Windows m6i.8xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","3.6096000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6i.8xlarge",,"32","128 GiB","Windows","BoxUsage:m6i.8xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"42R89XWHG26RUSX8","JRTCKXETXF","42R89XWHG26RUSX8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.2332 per On Demand Linux g6e.xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.2332000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6e.xlarge","GPU instance",,,"Linux","BoxUsage:g6e.xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
