"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-07-21T17:32:05Z"
"Version","20220721173205"
"OfferCode","AmazonWorkLink"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Deployment Model","Region Code","serviceName"
"AY6P25EV4WMKN9N2","JRTCKXETXF","AY6P25EV4WMKN9N2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5 per monthly active user (MAU) in the USE1 region","2019-01-01","0","Inf","MAU","5.0000000000","USD","Enterprise Applications","AmazonWorkLink","US East (N. Virginia)","AWS Region","USE1-WorkLink-MAU","","No User Limit","us-east-1","Amazon WorkLink"
