"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-17T21:48:48Z"
"Version","20250417214848"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","usageType","operation","API Category","Content Type","Recipient","Region Code","serviceName"
"A4WBKCXWCSH7B85P","JRTCKXETXF","A4WBKCXWCSH7B85P.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per mail chunk received in USE1","2025-04-01","0","Inf","ReceivedChunk","0.0000900000","USD",,"Receiving Email","AmazonSES","Charged for chunks of 256 KB, applicable to incoming mail","US East (N. Virginia)","AWS Region","Other",,,"ReceivedChunk","Receive",,"Full Message","Amazon SES","us-east-1","Amazon Simple Email Service"
"B9TW7FXDGDFA7U9P","A429C66SYZ","B9TW7FXDGDFA7U9P.A429C66SYZ.RRH5GFDVRN","OnDemand","Free queries for Virtual Deliverability Manager","2025-04-01","0","5000","Count","0.0000000000","USD",,,"AmazonSES",,"Any","AWS Region",,,,"Global-VirtDelivMgr","Query","Query",,,"","Amazon Simple Email Service"
"CFYFHZG8VWWG6RJP","JRTCKXETXF","CFYFHZG8VWWG6RJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2","2025-04-01","0","Inf","Count","0.0001000000","USD",,"Sending Email","AmazonSES","Charged for each email sent from AmazonEC2 to an external recipient","US East (N. Virginia)","AWS Region","Amazon EC2",,,"Recipients-EC2","Send",,"Message Body","Other","us-east-1","Amazon Simple Email Service"
"DWHMJ4MCRQ9VB6RK","JRTCKXETXF","DWHMJ4MCRQ9VB6RK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per GB of attachments","2025-04-01","0","Inf","GB","0.1200000000","USD",,"Sending Attachments","AmazonSES","Charged for attachments sent","US East (N. Virginia)","AWS Region","Any",,,"AttachmentsSize-Bytes","Send",,"Mail Attachment","Any","us-east-1","Amazon Simple Email Service"
"EB5W44UX7JPDV73S","JRTCKXETXF","EB5W44UX7JPDV73S.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0001875 per Count for Message scanned by Trend Micro in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0001875000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-AddOnExecution-TRENDMICRO_VSAPI","Processing",,"Full Message Trend Micro",,"us-east-1","Amazon Simple Email Service"
"EJFZYT3J9R728AH6","JRTCKXETXF","EJFZYT3J9R728AH6.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD50 per dedicated ingress endpoint subscription in US East (N. Virginia)","2025-04-01","0","Inf","Mo","50.0000000000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-IngressPoint-Subscription","IngressPoint",,"Ingress Endpoint",,"us-east-1","Amazon Simple Email Service"
"GWPY8BHJGXRYYEFC","JRTCKXETXF","GWPY8BHJGXRYYEFC.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per dedicated IP in US-East-1","2025-04-01","0","Inf","Mo","24.9500000000","USD",,"Sending Email","AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"USE1-DIP-Hours","Lease",,"Dedicated IPs","Any","us-east-1","Amazon Simple Email Service"
"HYCYGTXDACGUG3XS","JRTCKXETXF","HYCYGTXDACGUG3XS.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.19 per GB per Mo for archive storage in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1900000000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-ArchiveStorageSize-ByteHrs","ArchiveStorage",,"Archive Storage",,"us-east-1","Amazon Simple Email Service"
"M97RRB7872PQBDUC","JRTCKXETXF","M97RRB7872PQBDUC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00015 per Count for emails with single recipient sent by Mail Manager in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0001500000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"Recipients-MailManager","Send",,"Full Message Send",,"us-east-1","Amazon Simple Email Service"
"MAGJ6YJPFRA57W8B","JRTCKXETXF","MAGJ6YJPFRA57W8B.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2 sent to the Mailbox Simulator","2025-04-01","0","Inf","Count","0.0001000000","USD","24XQKQBWBYENKRGB","Sending Email","AmazonSES","Charged for each email sent from AmazonEC2 to SES Mailbox Simulator","US East (N. Virginia)","AWS Region","Amazon EC2",,,"Recipients-MailboxSim-EC2","Send",,"Message Body","Amazon SES Mailbox Simulator","us-east-1","Amazon Simple Email Service"
"NXT893XHS83DV8BF","JRTCKXETXF","NXT893XHS83DV8BF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Queries for Virtual Deliverability Manager in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0000005000","USD","B9TW7FXDGDFA7U9P",,"AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"VirtDelivMgr","Query","Query",,,"us-east-1","Amazon Simple Email Service"
"P3QQE7WDZQXMW6GN","JRTCKXETXF","P3QQE7WDZQXMW6GN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00003 per Count for Global Endpoint Message in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0000300000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"USE1-Recipients-MultiRegnEP","Send",,"Global Endpoint Message","Any","us-east-1","Amazon Simple Email Service"
"TFPG3JKV9WZMNFD9","JRTCKXETXF","TFPG3JKV9WZMNFD9.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD9.0E-5 per ReceivedChunk for Mail Manager Processed email in US East (N. Virginia)","2025-04-01","0","Inf","ReceivedChunk","0.0000900000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-ReceivedChunk","Processing",,"Full Message Chunk",,"us-east-1","Amazon Simple Email Service"
"TGDBT84U342JGTRA","JRTCKXETXF","TGDBT84U342JGTRA.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD2 per GB for data acceptance into archive  in US East (N. Virginia)","2025-04-01","0","Inf","GB","2.0000000000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-ArchiveIngestedSize-Byte","ArchiveIngestion",,"Archive Ingestion",,"us-east-1","Amazon Simple Email Service"
"UHEHNNAQCR8YR9EP","JRTCKXETXF","UHEHNNAQCR8YR9EP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per dedicated IP in US-East-1","2025-04-01","0","Inf","Mo","24.9500000000","USD",,"Sending Email","AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"DIP-Hours","Lease",,"Dedicated IPs (USE1)","Any","us-east-1","Amazon Simple Email Service"
"VJ54VJ64JJHZ4XX6","JRTCKXETXF","VJ54VJ64JJHZ4XX6.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail sent to the Mailbox Simulator","2025-04-01","0","Inf","Count","0.0001000000","USD",,"Sending Email","AmazonSES","Charged for each email sent to SES Mailbox Simulator","US East (N. Virginia)","AWS Region","Other",,,"Recipients-MailboxSim","Send",,"Message Body","Amazon SES Mailbox Simulator","us-east-1","Amazon Simple Email Service"
"XQXFNCPPEKTABJAF","JRTCKXETXF","XQXFNCPPEKTABJAF.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.000125 per Count for Message processed by Abusix Add on in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0001250000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-AddOnExecution-ABUSIX_MAIL_INTELLIGENCE","Processing",,"Message Body Abusix",,"us-east-1","Amazon Simple Email Service"
"YAV8BD26RD4RWDAW","JRTCKXETXF","YAV8BD26RD4RWDAW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000415 per Count for USE1-AddOnExecution-VADE_ADVANCED_EMAIL_SECURITY in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0004150000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-AddOnExecution-VADE_ADVANCED_EMAIL_SECURITY","Processing",,"Message Body Vade",,"us-east-1","Amazon Simple Email Service"
"Z5XFNYGW5AD98PUN","JRTCKXETXF","Z5XFNYGW5AD98PUN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per email received in USE1","2025-04-01","0","Inf","Count","0.0001000000","USD",,"Receiving Email","AmazonSES","Charged for each received e-mail communication","US East (N. Virginia)","AWS Region","Other",,,"Message","Receive",,,"Amazon SES","us-east-1","Amazon Simple Email Service"
