"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-12-11T15:42:14Z"
"Version","20241211154214"
"OfferCode","AmazonIVSChat"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Message Type","Region Code","serviceName"
"DWMXZPVSFM9WUFWP","JRTCKXETXF","DWMXZPVSFM9WUFWP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00056 per messaging request in US East (N. Virginia)","2024-12-01","0","Inf","Units","0.0005600000","USD","Interactive Video Service - Live","AmazonIVSChat","US East (N. Virginia)","AWS Region","us-east-1-Messaging-Requests","","Requests","us-east-1","Amazon IVS Chat"
"QZ6KSEQRVFUVR49T","JRTCKXETXF","QZ6KSEQRVFUVR49T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000008 per messaging delivery in US East (N. Virginia)","2024-12-01","0","Inf","Units","0.0000080000","USD","Interactive Video Service - Live","AmazonIVSChat","US East (N. Virginia)","AWS Region","us-east-1-Messaging-Deliveries","","Deliveries","us-east-1","Amazon IVS Chat"
