"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-04-20T16:41:03Z"
"Version","20230420164103"
"OfferCode","AmazonMonitron"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"EDSSWZT5BTGFNZ36","JRTCKXETXF","EDSSWZT5BTGFNZ36.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.167 per Sensor-Month for Monitron Service in US East (N. Virginia)","2023-04-01","0","Inf","Sensor-Month","4.1670000000","USD","Machine Learning","AmazonMonitron","US East (N. Virginia)","AWS Region","Monitron","Monitron service","USE1-MonitronService","MonitronService","us-east-1","Amazon Monitron"
