"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2021-11-19T23:44:39Z"
"Version","20211119234439"
"OfferCode","AmazonChimeCallMeAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Country","PrimaryPlaceOfUse","Region Code","serviceName","ToCountry"
"DM2CTKF6RGDHQV5S","JRTCKXETXF","DM2CTKF6RGDHQV5S.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Poland","2021-06-01","0","Inf","callme-minutes","0.1189800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-PL-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Poland"
"YB5GGXGPM5J536P3","JRTCKXETXF","YB5GGXGPM5J536P3.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to France","2021-06-01","0","Inf","callme-minutes","0.0692000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-FR-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","France"
"QCMCWJDNAEE8PW2F","JRTCKXETXF","QCMCWJDNAEE8PW2F.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Puerto Rico","2021-06-01","0","Inf","callme-minutes","0.0060000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-PR-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Puerto Rico"
"9D9QES6CDGK8SJST","JRTCKXETXF","9D9QES6CDGK8SJST.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Lithuania","2021-06-01","0","Inf","callme-minutes","0.1214800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-LT-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Lithuania"
"C3DZZ8SQE9NVUPXP","JRTCKXETXF","C3DZZ8SQE9NVUPXP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Japan","2021-06-01","0","Inf","callme-minutes","0.0648000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-JP-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Japan"
"HKVQYGCJGVGJ88PZ","JRTCKXETXF","HKVQYGCJGVGJ88PZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Canada","2021-06-01","0","Inf","callme-minutes","0.0054000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-CA-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Canada"
"MKREBHPHP6Q6G3ZY","JRTCKXETXF","MKREBHPHP6Q6G3ZY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Portugal","2021-06-01","0","Inf","callme-minutes","0.0894800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-PT-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Portugal"
"DRMG59C4TXX6MWSN","JRTCKXETXF","DRMG59C4TXX6MWSN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Argentina","2021-06-01","0","Inf","callme-minutes","0.4271100000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-AR-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Argentina"
"M4VT3FX8KB52JURB","JRTCKXETXF","M4VT3FX8KB52JURB.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Switzerland","2021-06-01","0","Inf","callme-minutes","0.1926000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-CH-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Switzerland"
"5EZPH4AAUK6ANM58","JRTCKXETXF","5EZPH4AAUK6ANM58.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Spain","2021-06-01","0","Inf","callme-minutes","0.0712200000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-ES-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Spain"
"9PX8Q7R5A4VB5CXH","JRTCKXETXF","9PX8Q7R5A4VB5CXH.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Panama","2021-06-01","0","Inf","callme-minutes","0.3336800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-PA-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Panama"
"CEJ6CUH42YBDK7YP","JRTCKXETXF","CEJ6CUH42YBDK7YP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Finland","2021-06-01","0","Inf","callme-minutes","0.0546800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-FI-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Finland"
"FU5NKAVFGEUWPVFQ","JRTCKXETXF","FU5NKAVFGEUWPVFQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Malta","2021-06-01","0","Inf","callme-minutes","0.0197700000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-MT-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Malta"
"4Q3JAWFX9THHJ6CK","JRTCKXETXF","4Q3JAWFX9THHJ6CK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to New Zealand","2021-06-01","0","Inf","callme-minutes","0.0614100000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-NZ-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","New Zealand"
"QKX8S7B87AMH4PAS","JRTCKXETXF","QKX8S7B87AMH4PAS.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Czech Republic","2021-06-01","0","Inf","callme-minutes","0.1433600000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-CZ-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Czech Republic"
"USM4Z6DHKEZU3B63","JRTCKXETXF","USM4Z6DHKEZU3B63.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Cyprus","2021-06-01","0","Inf","callme-minutes","0.2170700000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-CY-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Cyprus"
"82MYWH7JA8K89B79","JRTCKXETXF","82MYWH7JA8K89B79.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to South Africa","2021-06-01","0","Inf","callme-minutes","0.0273250000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-ZA-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","South Africa"
"7PES6N6Y83AJCKPQ","JRTCKXETXF","7PES6N6Y83AJCKPQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Luxembourg","2021-06-01","0","Inf","callme-minutes","0.0674600000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-LU-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Luxembourg"
"UYHMT6S3SXKAZUKE","JRTCKXETXF","UYHMT6S3SXKAZUKE.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Italy","2021-06-01","0","Inf","callme-minutes","0.0842000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-IT-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Italy"
"6R2KJ2FW2TCMW5XQ","JRTCKXETXF","6R2KJ2FW2TCMW5XQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Colombia","2021-06-01","0","Inf","callme-minutes","0.0656000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-CO-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Colombia"
"G2CP46U6WCNQ4T6Z","JRTCKXETXF","G2CP46U6WCNQ4T6Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Greece","2021-06-01","0","Inf","callme-minutes","0.2566900000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-GR-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Greece"
"KFYV5GS3GXVS29V3","JRTCKXETXF","KFYV5GS3GXVS29V3.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Latvia","2021-06-01","0","Inf","callme-minutes","0.1834000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-LV-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Latvia"
"2D98R9JKZWTXQVBV","JRTCKXETXF","2D98R9JKZWTXQVBV.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Turkey","2021-06-01","0","Inf","callme-minutes","0.4301800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-TR-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Turkey"
"Q3D9WAC35W2F7BJ5","JRTCKXETXF","Q3D9WAC35W2F7BJ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Hungary","2021-06-01","0","Inf","callme-minutes","0.0920000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-HU-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Hungary"
"G44G54QTSV5FRWAN","JRTCKXETXF","G44G54QTSV5FRWAN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Belgium","2021-06-01","0","Inf","callme-minutes","0.1575000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-BE-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Belgium"
"Q7VHT4UN8KQ8Z6DY","JRTCKXETXF","Q7VHT4UN8KQ8Z6DY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Norway","2021-06-01","0","Inf","callme-minutes","0.0253200000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-NO-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Norway"
"32CB8WBSNKYDN57U","JRTCKXETXF","32CB8WBSNKYDN57U.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Hong Kong","2021-06-01","0","Inf","callme-minutes","0.0789600000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-HK-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Hong Kong"
"297CS9WNZYNUWB82","JRTCKXETXF","297CS9WNZYNUWB82.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to United States of America","2021-06-01","0","Inf","callme-minutes","0.0048000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-US-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","United States of America"
"EH8QKYPYJZX4P3MP","JRTCKXETXF","EH8QKYPYJZX4P3MP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Netherlands","2021-06-01","0","Inf","callme-minutes","0.1272600000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-NL-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Netherlands"
