"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-10T16:15:23Z"
"Version","20230110161523"
"OfferCode","AmazonSumerian"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Event Type","Offer","Region Code","serviceName"
"4SBU54W47BNYN28H","JRTCKXETXF","4SBU54W47BNYN28H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.38 per GB per month","2019-05-01","0","Inf","GB","0.3800000000","USD","AR & VR","AmazonSumerian","US East (N. Virginia)","AWS Region","USE1-Binary-Data-Transfer-Bytes","LoadBinaryInPublishedScene","Publishing","Basic Publishing","us-east-1","Amazon Sumerian"
"P3KC2KUQA6CA22HC","JRTCKXETXF","P3KC2KUQA6CA22HC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.38 per GB per month","2019-05-01","0","Inf","GB","0.3800000000","USD","AR & VR","AmazonSumerian","US East (N. Virginia)","AWS Region","USE1-Binary-Data-Transfer-Bytes","LoadBinaryInDraftScene","Editing","Basic Publishing","us-east-1","Amazon Sumerian"
"TJKYQEE9W2TVUVHW","JRTCKXETXF","TJKYQEE9W2TVUVHW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06 per GB per month","2019-05-01","0","Inf","GB-mo","0.0600000000","USD","AR & VR","AmazonSumerian","US East (N. Virginia)","AWS Region","USE1-Binary-Size-In-Bytes","BinaryStorage","Storage","Basic Publishing","us-east-1","Amazon Sumerian"
