"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-29T17:49:36Z"
"Version","20250429174936"
"OfferCode","AmazonNeptune"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Physical Processor","Clock Speed","Memory","Storage","Network Performance","Processor Architecture","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","License Model","Deployment Option","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Dedicated EBS Throughput","Enhanced Networking Supported","From Region Code","m-NCU","Normalization Size Factor","Pricing Unit","Processor Features","Region Code","serviceName","To Region Code"
"3DK9V94WBZ93H69P","JRTCKXETXF","3DK9V94WBZ93H69P.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD1.4904 per Hrs for InstanceUsageIOOptimized:db.r8g.2xl:CreateDBInstance:0022 in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","1.4904000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r8g.2xlarge","Yes","Memory optimized","8","AWS Graviton4",,"64 GiB","EBS Only","up to 15","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.r8g.2xl","CreateDBInstance:0022",,,,,"16",,,"us-east-1","Amazon Neptune",
"3H6C88QC8HKBVGET","JRTCKXETXF","3H6C88QC8HKBVGET.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB of Data Transfer from US East (N. Virginia) to EU (Ireland)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AmazonNeptune",,,,,,,,,,,,,,,,,,,,,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","EU (Ireland)","AWS Region","USE1-EU-AWS-Out-Bytes","",,,"us-east-1",,,,,,"Amazon Neptune","eu-west-1"
"3HJKSDND7MANCRUD","JRTCKXETXF","3HJKSDND7MANCRUD.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 5.909 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","5.9090000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.x2g.4xlarge","Yes","Memory optimized","16","AWS Graviton2",,"256 GiB","1 x 950 NVMe SSD","10 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.x2g.4xlarge","CreateDBInstance:0022",,,,,"43.2",,,"us-east-1","Amazon Neptune",
"3J7WZ6FU9TK8SSRG","JRTCKXETXF","3J7WZ6FU9TK8SSRG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.04 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","9.0400000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.x2iedn.4xlarge","Yes","Memory optimized","16","Intel Xeon Family",,"512 GiB","1 x 475 NVMe SSD","upto 25 gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.x2iedn.4xl","CreateDBInstance:0022",,,,,"32",,,"us-east-1","Amazon Neptune",
"42MTJHUBDAF7BJWB","JRTCKXETXF","42MTJHUBDAF7BJWB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.5451 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","9.5451000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r5d.12xlarge","Yes","Memory optimized","48","Intel Xeon Platinum 8175",,"384 GiB","2 x 900 NVMe SSD","10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r5d.12xl","CreateDBInstance:0022",,,,,"96",,,"us-east-1","Amazon Neptune",
"43QCS9DNP6R6KVSV","JRTCKXETXF","43QCS9DNP6R6KVSV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.7954 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","0.7954000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r5d.xlarge","Yes","Memory optimized","4","Intel Xeon Platinum 8175",,"32 GiB","1 x 150 NVMe SSD","Up to 10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r5d.xl","CreateDBInstance:0022",,,,,"8",,,"us-east-1","Amazon Neptune",
"44HCNMK7TT4B3YFD","JRTCKXETXF","44HCNMK7TT4B3YFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 1.879 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","1.8790000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r5.2xlarge","Yes","Memory optimized","8","Intel Xeon Platinum 8175",,"64 GiB","EBS Only","Up to 10 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.r5.2xl","CreateDBInstance:0022",,,,,"21.6",,,"us-east-1","Amazon Neptune",
"49J73N4RC3HB3B8P","JRTCKXETXF","49J73N4RC3HB3B8P.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.276 per Hrs for InstanceUsage:db.r8g.large:CreateDBInstance:0022 in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","0.2760000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r8g.large","Yes","Memory optimized","2","AWS Graviton4",,"16 GiB","EBS Only","up to 12.5","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r8g.large","CreateDBInstance:0022",,,,,"4",,,"us-east-1","Amazon Neptune",
"4MUBJYM8VJQB2GXE","JRTCKXETXF","4MUBJYM8VJQB2GXE.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 2.028 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","2.0280000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r6gd.2xlarge","Yes","Memory optimized","8","AWS Graviton2",,"64 GiB","1 x 475 NVMe SSD","Up to 10 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.r6gd.2xl","CreateDBInstance:0022",,,,,"21.6",,,"us-east-1","Amazon Neptune",
"4PJQSVWS5D7JG4FD","JRTCKXETXF","4PJQSVWS5D7JG4FD.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 5.909 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","5.9090000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.x2gd.4xlarge","Yes","Memory optimized","16","AWS Graviton2",,"256 GiB","1 x 950 NVMe SSD","Up to 10 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.x2gd.4xl","CreateDBInstance:0022",,,,,"43.2",,,"us-east-1","Amazon Neptune",
"4SY57PAT4PRYUZ5H","JRTCKXETXF","4SY57PAT4PRYUZ5H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per GB of Data Transfer from US East (N. Virginia) to US West (N. California)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonNeptune",,,,,,,,,,,,,,,,,,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","US West (N. California)","AWS Region","USE1-USW1-AWS-In-Bytes","",,,"us-east-1",,,,,,"Amazon Neptune","us-west-1"
"55MTSQVC8WTH77PY","JRTCKXETXF","55MTSQVC8WTH77PY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021 per GB / month (Amazon Neptune)","2025-03-01","0","Inf","GB-Mo","0.0210000000","USD","Storage Snapshot","AmazonNeptune","US East (N. Virginia)","AWS Region",,,,,,,,,,,"AmazonS3",,,,,,,,,,,,,,,"BackupUsage","CreateDBInstance:0022",,,,,,,,"us-east-1","Amazon Neptune",
"59WE338VE9ECESG5","JRTCKXETXF","59WE338VE9ECESG5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per GB of Data Transfer from US East (N. Virginia) to EU (Ireland)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonNeptune",,,,,,,,,,,,,,,,,,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","EU (Ireland)","AWS Region","USE1-EU-AWS-In-Bytes","",,,"us-east-1",,,,,,"Amazon Neptune","eu-west-1"
"5AS335694V2WA4JX","JRTCKXETXF","5AS335694V2WA4JX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per GB of Data Transfer from US West (N. California) to US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonNeptune",,,,,,,,,,,,,,,,,,,,,,,"InterRegion Inbound","US West (N. California)","AWS Region","US East (N. Virginia)","AWS Region","USW1-USE1-AWS-In-Bytes","",,,"us-west-1",,,,,,"Amazon Neptune","us-east-1"
"5BZQWTCD7EAR4XUF","JRTCKXETXF","5BZQWTCD7EAR4XUF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$30.72 per Hrs for MemoryOptimizedGraphUsage:1024-m-NCU in us-east-1","2025-03-01","0","Inf","Hrs","30.7200000000","USD","Neptune Memory Optimized Graph","AmazonNeptune","US East (N. Virginia)","AWS Region","r6i.32xlarge",,,,,,,,,,,,,,,,,,,,,,,,,"USE1-MemoryOptimizedGraphUsage:1024-m-NCU","CreateGraph",,,,"1024",,,,"us-east-1","Amazon Neptune",
