"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-27T11:50:17Z"
"Version","20230127115017"
"OfferCode","mobileanalytics"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","Included Events","Region Code","serviceName"
"HVG2S4GDXS575D3S","JRTCKXETXF","HVG2S4GDXS575D3S.JRTCKXETXF.8DQQFJNTGA","OnDemand","First 100,000,000 Amazon Mobile Analytics events per month are free","2014-08-01","0","100000000","Events","0.0000000000","USD","AWSMobile-Analytics","mobileanalytics","Amazon Mobile Analytics events recorded per month","US East (N. Virginia)","AWS Region","EventsRecorded","PutEvents","First 100M events recorded per month","us-east-1","Amazon Mobile Analytics"
"HVG2S4GDXS575D3S","JRTCKXETXF","HVG2S4GDXS575D3S.JRTCKXETXF.F83EQNDM5J","OnDemand","$1.00 per 1,000,000 Amazon Mobile Analytics events per month thereafter","2014-08-01","100000000","Inf","Events","0.0000010000","USD","AWSMobile-Analytics","mobileanalytics","Amazon Mobile Analytics events recorded per month","US East (N. Virginia)","AWS Region","EventsRecorded","PutEvents","First 100M events recorded per month","us-east-1","Amazon Mobile Analytics"
