"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-06T19:30:35Z"
"Version","20250506193035"
"OfferCode","AmazonAppStream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Operating System","License Model","usageType","operation","Instance Function","Memory (GiB)","Multi Session","OS License Model","Region Code","serviceName","Video Memory (GiB)"
"6YPJQRQ564QPRQXY","JRTCKXETXF","6YPJQRQ564QPRQXY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.374 per hour for a Linux stream.memory.4xlarge ImageBuilder instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.3740000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.4xlarge","Memory optimized","16","Amazon Linux",,"USE1-stream.memory.4xlarge-al-ib","Streaming:001","ImageBuilder","122",,"None","us-east-1","Amazon AppStream","N/A"
"6ZABW7JJ6QHAYDEE","JRTCKXETXF","6ZABW7JJ6QHAYDEE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.698 per hour for a Linux stream.graphics-pro.16xlarge Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","5.6980000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-pro.16xlarge","Graphics Pro","64","Amazon Linux",,"USE1-graphics-pro.16xlarge-al-fl","Streaming:001","Fleet","488",,"None","us-east-1","Amazon AppStream","32"
"6ZG9EWCF8KMSJ3UR","JRTCKXETXF","6ZG9EWCF8KMSJ3UR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.844 per hour for Red Hat Enterprise Linux ImageBuilder stream.compute.4xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","1.8440000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.4xlarge","Compute optimized","16","Red Hat Enterprise Linux",,"USE1-stream.compute.4xlarge-rh-ib","Streaming:001","ImageBuilder","30","false","License Included","us-east-1","Amazon AppStream","N/A"
"6ZTC9GEUMP3QJADJ","JRTCKXETXF","6ZTC9GEUMP3QJADJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.827 per hour for Red Hat Enterprise Linux FleetInstance stream.graphics.g4dn.8xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","4.8270000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.8xlarge","Graphics","32","Red Hat Enterprise Linux",,"USE1-stream.graphics.g4dn.8xlarge-rh-fl","Streaming:001","Fleet","128","false","License Included","us-east-1","Amazon AppStream","16"
"74J5XPSXAWXYJHQM","JRTCKXETXF","74J5XPSXAWXYJHQM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.118 per hour for Red Hat Enterprise Linux FleetInstance stream.graphics.g5.8xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","6.1180000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.8xlarge","Graphics G5","32","Red Hat Enterprise Linux",,"USE1-stream.graphics.g5.8xlarge-rh-fl","Streaming:001","Fleet","128","false","License Included","us-east-1","Amazon AppStream","24"
"74JZNV3YWMTM2SB6","JRTCKXETXF","74JZNV3YWMTM2SB6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.424 per hour for a Linux stream.graphics-pro.4xlarge Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.4240000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-pro.4xlarge","Graphics Pro","16","Amazon Linux",,"USE1-graphics-pro.4xlarge-al-fl","Streaming:001","Fleet","122",,"None","us-east-1","Amazon AppStream","8"
"79XVB9H4RMETGXMJ","JRTCKXETXF","79XVB9H4RMETGXMJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.565 per hour for Rocky Linux Fleet Instance stream.memory.z1d.2xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","1.5650000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.2xlarge","Memory optimized","8","Rocky Linux",,"USE1-stream.memory.z1d.2xlarge-rl-fl","Streaming:001","Fleet","64","false","License Included","us-east-1","Amazon AppStream","N/A"
"7ASA7GYXNFCNZG4E","JRTCKXETXF","7ASA7GYXNFCNZG4E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.861 per hour for Red Hat Enterprise Linux ImageBuilder stream.memory.z1d.xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.8610000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.xlarge","Memory optimized","4","Red Hat Enterprise Linux",,"USE1-stream.memory.z1d.xlarge-rh-ib","Streaming:001","ImageBuilder","32","false","License Included","us-east-1","Amazon AppStream","N/A"
"7AYEU8P2FADP6TMR","JRTCKXETXF","7AYEU8P2FADP6TMR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1 per hour for running a stream.memory.2xlarge Fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.0000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.2xlarge","Memory optimized","8","Windows",,"USE1-stream.memory.2xlarge-fl","Streaming:001","Fleet","61","true","License Included","us-east-1","Amazon AppStream","N/A"
"7BH8AF5TPDK73NDJ","JRTCKXETXF","7BH8AF5TPDK73NDJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.696 per hour for Rocky Linux Fleet Instance stream.memory.z1d.6xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","4.6970000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.6xlarge","Memory optimized","24","Rocky Linux",,"USE1-stream.memory.z1d.6xlarge-rl-fl","Streaming:001","Fleet","192","false","License Included","us-east-1","Amazon AppStream","N/A"
"7C5CJ47X34TPT6R2","JRTCKXETXF","7C5CJ47X34TPT6R2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4 per hour for running a stream.compute.8xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","4.0000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.8xlarge","Compute optimized","32","Windows",,"USE1-stream.compute.8xlarge-ib","Streaming:001","ImageBuilder","60",,"License Included","us-east-1","Amazon AppStream","N/A"
"7G8WMXSRXXETCKNB","JRTCKXETXF","7G8WMXSRXXETCKNB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.11 per hour for ImageBuilder-stream.graphics.g5.12xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","11.1100000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.12xlarge","Graphics G5","48","Windows",,"USE1-stream.graphics.g5.12xlarge-ib","Streaming:001","ImageBuilder","192",,"License Included","us-east-1","Amazon AppStream","96"
"7HBWCEHF7UMYSUNV","JRTCKXETXF","7HBWCEHF7UMYSUNV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1 per hour for running a stream.compute.2xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.0000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.2xlarge","Compute optimized","8","Windows",,"USE1-stream.compute.2xlarge-ib","Streaming:001","ImageBuilder","15",,"License Included","us-east-1","Amazon AppStream","N/A"
"7K3AZEGBKHRSEYVW","JRTCKXETXF","7K3AZEGBKHRSEYVW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.42/user/month Multi-Session  RDS SAL User fee in AWS region US East (N. Virginia)","2025-04-01","0","Inf","Month","6.4200000000","USD","User Fees","AmazonAppStream","US East (N. Virginia)","AWS Region",,,,"Windows","AS2 Provided","USE1-Win-User-Multi-Session","RDS-CAL",,,,,"us-east-1","Amazon AppStream",
"7NFR7JXN9NMJ3VMT","JRTCKXETXF","7NFR7JXN9NMJ3VMT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1 per hour for Multi-Session Fleet-stream.graphics.g4dn.xlarge in US East (N. Virginia) ","2025-04-01","0","Inf","hour","1.0000000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.xlarge",,"4","Windows",,"USE1-stream.graphics.g4dn.xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","16"
"7RJGSUTZT5CR9NJ5","JRTCKXETXF","7RJGSUTZT5CR9NJ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.18 per hour for a Linux stream.graphics.g5.8xlarge Fleet instance in US East (N. Virginia)","2025-04-01","0","Inf","hour","5.1800000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.8xlarge","Graphics G5","32","Amazon Linux",,"USE1-stream.graphics.g5.8xlarge-al-fl","Streaming:001","Fleet","128","false","None","us-east-1","Amazon AppStream","24"
"7WS5RHSMU73B6ZKM","JRTCKXETXF","7WS5RHSMU73B6ZKM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.749 per hour for a Linux stream.memory.8xlarge ImageBuilder instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.7490000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.8xlarge","Memory optimized","32","Amazon Linux",,"USE1-stream.memory.8xlarge-al-ib","Streaming:001","ImageBuilder","244",,"None","us-east-1","Amazon AppStream","N/A"
"7ZBB2HMVUKX4CCUG","JRTCKXETXF","7ZBB2HMVUKX4CCUG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.58 per hour for a Windows stream.standard.xlarge ElasticFleet instance in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.5800000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.xlarge","General purpose","4","Windows",,"USE1-stream.standard.xlarge-elfl","Streaming:001","ElasticFleet","16",,"License Included","us-east-1","Amazon AppStream","N/A"
"7ZZ827U8G4YNC7Z3","JRTCKXETXF","7ZZ827U8G4YNC7Z3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2 per hour for running a stream.standard.large ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.2000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.large","General purpose","2","Windows",,"USE1-stream.standard.large-ib","Streaming:001","ImageBuilder","8",,"License Included","us-east-1","Amazon AppStream","N/A"
"88SASSGKF3JSE2JQ","JRTCKXETXF","88SASSGKF3JSE2JQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.78 per hour for a Linux stream.graphics.g5.16xlarge Image Builder instance in US East (N. Virginia)","2025-04-01","0","Inf","hour","7.7800000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.16xlarge","Graphics G5","64","Amazon Linux",,"USE1-stream.graphics.g5.16xlarge-al-ib","Streaming:001","ImageBuilder","256",,"None","us-east-1","Amazon AppStream","24"
"8AWM2APEMNKVERQ4","JRTCKXETXF","8AWM2APEMNKVERQ4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.057 per hour for Rocky Linux ImageBuilder stream.graphics.g5.2xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","2.0580000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.2xlarge","Graphics G5","8","Rocky Linux",,"USE1-stream.graphics.g5.2xlarge-rl-ib","Streaming:001","ImageBuilder","32","false","License Included","us-east-1","Amazon AppStream","24"
"8D2GPFZJZ7WP68NJ","JRTCKXETXF","8D2GPFZJZ7WP68NJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.5 per hour for running a stream.memory.xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.5000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.xlarge","Memory optimized","4","Windows",,"USE1-stream.memory.xlarge-ib","Streaming:001","ImageBuilder","30.5",,"License Included","us-east-1","Amazon AppStream","N/A"
"8FNZE5XJVMJ8T77B","JRTCKXETXF","8FNZE5XJVMJ8T77B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.15 per hour for a  stream.standard.medium Elastic fleet instance in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.1500000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.medium","General purpose","2","Windows",,"USE1-stream.standard.medium-elfl","Streaming:001","ElasticFleet","4",,"License Included","us-east-1","Amazon AppStream","N/A"
"8JEAP8U3T95Y37WF","JRTCKXETXF","8JEAP8U3T95Y37WF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.28 per hour for Multi-Session Fleet-stream.graphics.g5.16xlarge in US East (N. Virginia) ","2025-04-01","0","Inf","hour","10.2800000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.16xlarge",,"64","Windows",,"USE1-stream.graphics.g5.16xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","24"
"8Q4M2CJFAU6HY5B6","JRTCKXETXF","8Q4M2CJFAU6HY5B6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.648 per hour for Red Hat Enterprise Linux ImageBuilder stream.compute.8xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","3.6480000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.8xlarge","Compute optimized","32","Red Hat Enterprise Linux",,"USE1-stream.compute.8xlarge-rh-ib","Streaming:001","ImageBuilder","60","false","License Included","us-east-1","Amazon AppStream","N/A"
"8SEAWTQ2VSUMDDTN","JRTCKXETXF","8SEAWTQ2VSUMDDTN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.383 per hour for Rocky Linux ImageBuilder stream.compute.xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.3830000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.xlarge","Compute optimized","4","Rocky Linux",,"USE1-stream.compute.xlarge-rl-ib","Streaming:001","ImageBuilder","7.5","false","License Included","us-east-1","Amazon AppStream","N/A"
"8SQUWPGVXJCX2Y26","JRTCKXETXF","8SQUWPGVXJCX2Y26.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.191 per hour for Rocky Linux Fleet Instance stream.memory.large in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.1920000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.large","Memory optimized","2","Rocky Linux",,"USE1-stream.memory.large-rl-fl","Streaming:001","Fleet","15.3","false","License Included","us-east-1","Amazon AppStream","N/A"
"8TSSXZGEGPSPR3BV","JRTCKXETXF","8TSSXZGEGPSPR3BV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.52 per hour for a Linux stream.graphics.g5.xlarge Image Builder instance in US East (N. Virginia)","2025-04-01","0","Inf","hour","1.5200000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.xlarge","Graphics G5","4","Amazon Linux",,"USE1-stream.graphics.g5.xlarge-al-ib","Streaming:001","ImageBuilder","16",,"None","us-east-1","Amazon AppStream","24"
"8UJPVM3EDRK92NQD","JRTCKXETXF","8UJPVM3EDRK92NQD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.118 per hour for Red Hat Enterprise Linux ImageBuilder stream.graphics.g5.8xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","6.1180000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.8xlarge","Graphics G5","32","Red Hat Enterprise Linux",,"USE1-stream.graphics.g5.8xlarge-rh-ib","Streaming:001","ImageBuilder","128","false","License Included","us-east-1","Amazon AppStream","24"
"8Y76HS27AKV663ES","JRTCKXETXF","8Y76HS27AKV663ES.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.061 per hour for Rocky Linux ImageBuilder stream.memory.8xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","3.0620000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.8xlarge","Memory optimized","32","Rocky Linux",,"USE1-stream.memory.8xlarge-rl-ib","Streaming:001","ImageBuilder","244","false","License Included","us-east-1","Amazon AppStream","N/A"
"9AHT9RCWQHZZYE9C","JRTCKXETXF","9AHT9RCWQHZZYE9C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.575 per hour for Red Hat Enterprise Linux ImageBuilder stream.graphics.g4dn.4xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","2.5750000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.4xlarge","Graphics","16","Red Hat Enterprise Linux",,"USE1-stream.graphics.g4dn.4xlarge-rh-ib","Streaming:001","ImageBuilder","64","false","License Included","us-east-1","Amazon AppStream","16"
"9C6NMSFJA6SYFDFF","JRTCKXETXF","9C6NMSFJA6SYFDFF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$18.21 per hour for ImageBuilder-stream.graphics.g5.24xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","18.2100000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.24xlarge","Graphics G5","96","Windows",,"USE1-stream.graphics.g5.24xlarge-ib","Streaming:001","ImageBuilder","384",,"License Included","us-east-1","Amazon AppStream","96"
"9F87DXRBF94TUCYN","JRTCKXETXF","9F87DXRBF94TUCYN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.05 per hour for running a stream.graphics-pro.4xlarge Image Builder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.0500000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-pro.4xlarge","Graphics Pro","16","Windows",,"USE1-graphics-pro.4xlarge-ib","Streaming:001","ImageBuilder","122",,"License Included","us-east-1","Amazon AppStream","8"
"9HGK8CATXZEA5ZY7","JRTCKXETXF","9HGK8CATXZEA5ZY7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.343 per hour for Rocky Linux ImageBuilder stream.graphics.g4dn.2xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","1.3440000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.2xlarge","Graphics","8","Rocky Linux",,"USE1-stream.graphics.g4dn.2xlarge-rl-ib","Streaming:001","ImageBuilder","32","false","License Included","us-east-1","Amazon AppStream","16"
"9MPFHU3RE3J3KMYX","JRTCKXETXF","9MPFHU3RE3J3KMYX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.231 per hour for Red Hat Enterprise Linux FleetInstance stream.memory.large in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.2310000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.large","Memory optimized","2","Red Hat Enterprise Linux",,"USE1-stream.memory.large-rh-fl","Streaming:001","Fleet","15.3","false","License Included","us-east-1","Amazon AppStream","N/A"
"9NPHTFHFAH25U24T","JRTCKXETXF","9NPHTFHFAH25U24T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.706 per hour for Rocky Linux Fleet Instance stream.standard.2xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.7060000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.2xlarge","General purpose","8","Rocky Linux",,"USE1-stream.standard.2xlarge-rl-fl","Streaming:001","Fleet","32","false","License Included","us-east-1","Amazon AppStream","N/A"
"9NW2MDSW23862E5E","JRTCKXETXF","9NW2MDSW23862E5E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.25 per hour for stream.memory.large Multi-Session Fleet instance in AWS region US East (N. Virginia) ","2025-04-01","0","Inf","hour","0.2500000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.large",,"2","Windows",,"USE1-stream.memory.large-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","N/A"
"9PGJW52MPAPJQRCH","JRTCKXETXF","9PGJW52MPAPJQRCH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.265 per hour for a Linux stream.graphics.g4dn.2xlarge ImageBuilder instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.2650000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.2xlarge","Graphics","8","Amazon Linux",,"USE1-stream.graphics.g4dn.2xlarge-al-ib","Streaming:001","ImageBuilder","32",,"None","us-east-1","Amazon AppStream","16"
"9RAHP3PGMNQQSTG4","JRTCKXETXF","9RAHP3PGMNQQSTG4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2 per hour for stream.memory.4xlarge Multi-Session Fleet instance in AWS region US East (N. Virginia) ","2025-04-01","0","Inf","hour","2.0000000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.4xlarge",,"16","Windows",,"USE1-stream.memory.4xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","N/A"
"9RZR7HN94W9HPB84","JRTCKXETXF","9RZR7HN94W9HPB84.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.231 per hour for Red Hat Enterprise Linux ImageBuilder stream.compute.large in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.2310000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.large","Compute optimized","2","Red Hat Enterprise Linux",,"USE1-stream.compute.large-rh-ib","Streaming:001","ImageBuilder","3.75","false","License Included","us-east-1","Amazon AppStream","N/A"
"9U2SP2T5J6E9C7KG","JRTCKXETXF","9U2SP2T5J6E9C7KG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.90 per hour for running a stream.memory.z1d.xlarge Fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.9000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.xlarge","Memory optimized","4","Windows",,"USE1-stream.memory.z1d.xlarge-fl","Streaming:001","Fleet","32","true","License Included","us-east-1","Amazon AppStream","N/A"
"9Y4BW7Y2F4Q26S85","JRTCKXETXF","9Y4BW7Y2F4Q26S85.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1 per hour for running a stream.standard.medium ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.1000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.medium","General purpose","2","Windows",,"USE1-stream.standard.medium-ib","Streaming:001","ImageBuilder","4",,"License Included","us-east-1","Amazon AppStream","N/A"
"9YCRZSTFJTSBKJNN","JRTCKXETXF","9YCRZSTFJTSBKJNN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.4 per hour for Rocky Linux ImageBuilder stream.graphics.g4dn.16xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","8.4010000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.16xlarge","Graphics","64","Rocky Linux",,"USE1-stream.graphics.g4dn.16xlarge-rl-ib","Streaming:001","ImageBuilder","256","false","License Included","us-east-1","Amazon AppStream","16"
"A2SUGK8APRBANBQE","JRTCKXETXF","A2SUGK8APRBANBQE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.392 per hour for Rocky Linux ImageBuilder stream.memory.z1d.12xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","9.3920000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.12xlarge","Memory optimized","48","Rocky Linux",,"USE1-stream.memory.z1d.12xlarge-rl-ib","Streaming:001","ImageBuilder","384","false","License Included","us-east-1","Amazon AppStream","N/A"
"A5UVUAQWWFBF2EFK","JRTCKXETXF","A5UVUAQWWFBF2EFK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.53 per hour for Rocky Linux ImageBuilder stream.compute.4xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","1.5310000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.4xlarge","Compute optimized","16","Rocky Linux",,"USE1-stream.compute.4xlarge-rl-ib","Streaming:001","ImageBuilder","30","false","License Included","us-east-1","Amazon AppStream","N/A"
"A6DWXD949HDCEZKR","JRTCKXETXF","A6DWXD949HDCEZKR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.861 per hour for Red Hat Enterprise Linux FleetInstance stream.memory.z1d.xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.8610000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.xlarge","Memory optimized","4","Red Hat Enterprise Linux",,"USE1-stream.memory.z1d.xlarge-rh-fl","Streaming:001","Fleet","32","false","License Included","us-east-1","Amazon AppStream","N/A"
"AC5SAYTW2STG69KW","JRTCKXETXF","AC5SAYTW2STG69KW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.98 per hour for a Linux stream.graphics.g5.2xlarge Image Builder instance in US East (N. Virginia)","2025-04-01","0","Inf","hour","1.9800000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.2xlarge","Graphics G5","8","Amazon Linux",,"USE1-stream.graphics.g5.2xlarge-al-ib","Streaming:001","ImageBuilder","32",,"None","us-east-1","Amazon AppStream","24"
"AESWYR73UEJTWTM4","JRTCKXETXF","AESWYR73UEJTWTM4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2 per hour for running a stream.memory.4xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.0000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.4xlarge","Memory optimized","16","Windows",,"USE1-stream.memory.4xlarge-ib","Streaming:001","ImageBuilder","122",,"License Included","us-east-1","Amazon AppStream","N/A"
"AG2MNVWBRD8CCG9G","JRTCKXETXF","AG2MNVWBRD8CCG9G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.14 per hour for Multi-Session Fleet-stream.graphics.g4dn.8xlarge in US East (N. Virginia) ","2025-04-01","0","Inf","hour","5.1400000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.8xlarge",,"32","Windows",,"USE1-stream.graphics.g4dn.8xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","16"
"AJFURKA2XKRJ3REQ","JRTCKXETXF","AJFURKA2XKRJ3REQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per hour for a Linux stream.standard.small Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.0590000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.small","General purpose","1","Amazon Linux",,"USE1-stream.standard.small-al-fl","Streaming:001","Fleet","2",,"None","us-east-1","Amazon AppStream","N/A"
