"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-06T19:30:35Z"
"Version","20250506193035"
"OfferCode","AmazonAppStream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Operating System","License Model","usageType","operation","Instance Function","Memory (GiB)","Multi Session","OS License Model","Region Code","serviceName","Video Memory (GiB)"
"3UHMYBPH5Y2TB6JJ","JRTCKXETXF","3UHMYBPH5Y2TB6JJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.41 per hour for Fleet-stream.graphics.g5.4xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","3.4100000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.4xlarge","Graphics G5","16","Windows",,"USE1-stream.graphics.g5.4xlarge-fl","Streaming:001","Fleet","64","true","License Included","us-east-1","Amazon AppStream","24"
"3VW28B65V36TZDMZ","JRTCKXETXF","3VW28B65V36TZDMZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.944 per hour for Rocky Linux Fleet Instance stream.compute.8xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","2.9440000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.8xlarge","Compute optimized","32","Rocky Linux",,"USE1-stream.compute.8xlarge-rl-fl","Streaming:001","Fleet","60","false","License Included","us-east-1","Amazon AppStream","N/A"
"426BZQ3APHKA4JHT","JRTCKXETXF","426BZQ3APHKA4JHT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.071 per hour for Red Hat Enterprise Linux FleetInstance stream.standard.small in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.0710000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.small","General purpose","1","Red Hat Enterprise Linux",,"USE1-stream.standard.small-rh-fl","Streaming:001","Fleet","2","false","License Included","us-east-1","Amazon AppStream","N/A"
"44RZ6JW3KSYJNK46","JRTCKXETXF","44RZ6JW3KSYJNK46.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.29 per hour for Fleet-stream.graphics.g5.2xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","2.2900000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.2xlarge","Graphics G5","8","Windows",,"USE1-stream.graphics.g5.2xlarge-fl","Streaming:001","Fleet","32","true","License Included","us-east-1","Amazon AppStream","24"
"44Z4B2CM7UPD8CJX","JRTCKXETXF","44Z4B2CM7UPD8CJX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.25 per hour for running a stream.compute.large Fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.2500000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.large","Compute optimized","2","Windows",,"USE1-stream.compute.large-fl","Streaming:001","Fleet","3.75","true","License Included","us-east-1","Amazon AppStream","N/A"
"46DGK2X7Z5RKE6VP","JRTCKXETXF","46DGK2X7Z5RKE6VP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00/user/month Multi-Session  RDS CAL BYOL User fee in AWS region US East (N. Virginia)","2025-04-01","0","Inf","Month","0.0000000000","USD","User Fees","AmazonAppStream","US East (N. Virginia)","AWS Region",,,,"Windows","BYOL","USE1-Win-BYOL-User-Multi-Session","RDS-CAL",,,,,"us-east-1","Amazon AppStream",
"4AVQ7QF3MJP8Q93M","JRTCKXETXF","4AVQ7QF3MJP8Q93M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.096 per hour for Red Hat Enterprise Linux ImageBuilder stream.standard.medium in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.0960000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.medium","General purpose","2","Red Hat Enterprise Linux",,"USE1-stream.standard.medium-rh-ib","Streaming:001","ImageBuilder","4","false","License Included","us-east-1","Amazon AppStream","N/A"
"4B2GQWTVDHP4QV7Z","JRTCKXETXF","4B2GQWTVDHP4QV7Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.191 per hour for Rocky Linux Fleet Instance stream.compute.large in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.1920000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.large","Compute optimized","2","Rocky Linux",,"USE1-stream.compute.large-rl-fl","Streaming:001","Fleet","3.75","false","License Included","us-east-1","Amazon AppStream","N/A"
"4J89A9QDS5SUN52U","JRTCKXETXF","4J89A9QDS5SUN52U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.15 per hour for a AppBlockBuilder-stream.standard.medium instance in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.1500000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.medium","General purpose","2","Windows",,"USE1-stream.standard.medium-abb","Streaming:001","AppBlockBuilder","4",,"License Included","us-east-1","Amazon AppStream","N/A"
"4P7BP7AFPMKE2DQT","JRTCKXETXF","4P7BP7AFPMKE2DQT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.922 per hour for Red Hat Enterprise Linux ImageBuilder stream.compute.2xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.9220000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.2xlarge","Compute optimized","8","Red Hat Enterprise Linux",,"USE1-stream.compute.2xlarge-rh-ib","Streaming:001","ImageBuilder","15","false","License Included","us-east-1","Amazon AppStream","N/A"
"4RBQJ25YW64YD3QE","JRTCKXETXF","4RBQJ25YW64YD3QE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.19 per user per month for RDS SAL User Fees in AWS region US East (N. Virginia)","2025-04-01","0","Inf","users","4.1900000000","USD","User Fees","AmazonAppStream","US East (N. Virginia)","AWS Region",,,,"Windows","AppStream provided","USE1-Win-User","RDS CAL",,,,,"us-east-1","Amazon AppStream",
"4XCBEJ9DMW6P96ZR","JRTCKXETXF","4XCBEJ9DMW6P96ZR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.883 per hour for Rocky Linux ImageBuilder stream.graphics.g4dn.xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.8830000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.xlarge","Graphics","4","Rocky Linux",,"USE1-stream.graphics.g4dn.xlarge-rl-ib","Streaming:001","ImageBuilder","16","false","License Included","us-east-1","Amazon AppStream","16"
"53S23GX3TE5KT8Z2","JRTCKXETXF","53S23GX3TE5KT8Z2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.29 per hour for a  stream.standard.large Elastic fleet instance in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.2900000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.large","General purpose","2","Windows",,"USE1-stream.standard.large-elfl","Streaming:001","ElasticFleet","8",,"License Included","us-east-1","Amazon AppStream","N/A"
"54Z26VEQ3XH5FRCM","JRTCKXETXF","54Z26VEQ3XH5FRCM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.2 per hour for running a stream.graphics-pro.16xlarge Image Builder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","8.2000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-pro.16xlarge","Graphics Pro","64","Windows",,"USE1-graphics-pro.16xlarge-ib","Streaming:001","ImageBuilder","488",,"License Included","us-east-1","Amazon AppStream","32"
"57KRDX44JWB6WSZQ","JRTCKXETXF","57KRDX44JWB6WSZQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.25 per hour for running a stream.memory.large ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.2500000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.large","Memory optimized","2","Windows",,"USE1-stream.memory.large-ib","Streaming:001","ImageBuilder","15.3",,"License Included","us-east-1","Amazon AppStream","N/A"
"5CA66F5K9TA62AR6","JRTCKXETXF","5CA66F5K9TA62AR6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.64 per hour for Red Hat Enterprise Linux FleetInstance stream.graphics.g5.xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","1.6400000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.xlarge","Graphics G5","4","Red Hat Enterprise Linux",,"USE1-stream.graphics.g5.xlarge-rh-fl","Streaming:001","Fleet","16","false","License Included","us-east-1","Amazon AppStream","24"
"5NRJJBJZ36T3XFU8","JRTCKXETXF","5NRJJBJZ36T3XFU8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.063 per hour for Rocky Linux ImageBuilder stream.standard.small in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.0630000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.small","General purpose","1","Rocky Linux",,"USE1-stream.standard.small-rl-ib","Streaming:001","ImageBuilder","2","false","License Included","us-east-1","Amazon AppStream","N/A"
"5NSFBGHBPMSEKR6G","JRTCKXETXF","5NSFBGHBPMSEKR6G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.40 per hour for running a stream.memory.z1d.6xlarge Fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","5.4000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.6xlarge","Memory optimized","24","Windows",,"USE1-stream.memory.z1d.6xlarge-fl","Streaming:001","Fleet","192","true","License Included","us-east-1","Amazon AppStream","N/A"
"5PBQEDT5677RFUNH","JRTCKXETXF","5PBQEDT5677RFUNH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.025 per hour for a stopped On-Demand fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.0250000000","USD","Stopped Instance","AmazonAppStream","US East (N. Virginia)","AWS Region",,,,,,"USE1-StoppedInstance-fl","StoppedInstance","StoppedFleetInstance",,,,"us-east-1","Amazon AppStream",
