"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-08T17:57:50Z"
"Version","20250408175750"
"OfferCode","AmazonTimestream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Instance Type","vCPU","Memory","Storage","Network Performance","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","License Model","Deployment Option","usageType","operation","disableActivationConfirmationEmail","Normalization Size Factor","Region Code","serviceName"
"7GC65EHDNA7F29AM","JRTCKXETXF","7GC65EHDNA7F29AM.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.518 per TCU-hour in - US East (N. Virginia)","2025-04-01","0","Inf","TCU-hour","0.5180000000","USD","Compute","AmazonTimestream","Query TCU-hours","US East (N. Virginia)","AWS Region",,,,,,,,,,,,,,"USE1-QueryTCU","",,,"us-east-1","Amazon Timestream"
"7TXZ4RADTY5VWB9Z","JRTCKXETXF","7TXZ4RADTY5VWB9Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 5.738 per Instance-Hour for ClusterNode db.Influx.12xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","5.7380000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.12xlarge","48","384 GiB","InfluxDb Compatible","Up to 20 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.12xlarge","Compute:001",,"96","us-east-1","Amazon Timestream"
"87RHKMACE7GABWPG","JRTCKXETXF","87RHKMACE7GABWPG.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 7.65 per Instance-Hour for SIngleAZ db.Influx.16xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","7.6500000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.16xlarge","64","512 GiB","InfluxDb Compatible","Up to 25 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.16xlarge","Compute:001",,"128","us-east-1","Amazon Timestream"
"8ESKWVBZM35GNFEE","JRTCKXETXF","8ESKWVBZM35GNFEE.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.7 per GB-Month for MultiAZ InfluxIOIncludedT2 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.7000000000","USD","Influx Optimized Storage","AmazonTimestream","MultiAZ Influx IOPS Included (12K IOPS)","US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 12k IOPS","400 GB","16 TB","1","InfluxDB",,"Multi-AZ","USE1-MultiAZ-InfluxDBStorage-InfluxIOIncludedT2","Storage:001",,,"us-east-1","Amazon Timestream"
"8GXDNQEVE9VP5BRK","JRTCKXETXF","8GXDNQEVE9VP5BRK.JRTCKXETXF.6YS6EN2CT7","OnDemand","price per GB-Month of magnetic storage in Timestream - US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.0300000000","USD","Database Storage","AmazonTimestream","Timestream Magnetic Store","US East (N. Virginia)","AWS Region",,,,,,,,,,,,,,"USE1-MagneticStore-ByteHrs","","true",,"us-east-1","Amazon Timestream"
"8KXB3JHSM5UB6MGH","JRTCKXETXF","8KXB3JHSM5UB6MGH.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 7.65 per Instance-Hour for MultiAZ db.Influx.8xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","7.6500000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.8xlarge","32","256 GiB","InfluxDb Compatible","Up to 12 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.8xlarge","Compute:001",,"128","us-east-1","Amazon Timestream"
"AKZRRMU6H3M9QNZG","JRTCKXETXF","AKZRRMU6H3M9QNZG.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.10 per GB-Month for ClusterNode InfluxIOIncludedT1 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.1000000000","USD","Influx Optimized Storage","AmazonTimestream",,"US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 3K IOPS",,,"1","InfluxDB",,"Cluster","USE1-ClusterNode-InfluxDBStorage-InfluxIOIncludedT1","Storage:001",,,"us-east-1","Amazon Timestream"
"CUA586CMZQ6H2AYP","JRTCKXETXF","CUA586CMZQ6H2AYP.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 11.475 per Instance-Hour for MultiAZ db.Influx.12xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","11.4750000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.12xlarge","48","384 GiB","InfluxDb Compatible","Up to 20 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.12xlarge","Compute:001",,"192","us-east-1","Amazon Timestream"
"DXXXKU6WD7MSR5A9","JRTCKXETXF","DXXXKU6WD7MSR5A9.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.20 per GB-Month for MultiAZ InfluxIOIncludedT1 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.2000000000","USD","Influx Optimized Storage","AmazonTimestream","MultiAZ Influx IOPS Included (3K IOPS)","US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 3K IOPS","20 GB","16 TB","1","InfluxDB",,"Multi-AZ","USE1-MultiAZ-InfluxDBStorage-InfluxIOIncludedT1","Storage:001",,,"us-east-1","Amazon Timestream"
"EZ8NGN4PPZYUZSJQ","JRTCKXETXF","EZ8NGN4PPZYUZSJQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.35 per GB-Month for SingleAZ InfluxIOIncludedT2 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.3500000000","USD","Influx Optimized Storage","AmazonTimestream","SingleAZ Influx IOPS Included (12K IOPS)","US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 12k IOPS","400 GB","16 TB","1","InfluxDB",,"Single-AZ","USE1-SingleAZ-InfluxDBStorage-InfluxIOIncludedT2","Storage:001",,,"us-east-1","Amazon Timestream"
"G83RQTFJ477Y6R3S","JRTCKXETXF","G83RQTFJ477Y6R3S.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 5.738 per Instance-Hour for SIngleAZ db.Influx.12xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","5.7380000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.12xlarge","48","384 GiB","InfluxDb Compatible","Up to 20 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.12xlarge","Compute:001",,"96","us-east-1","Amazon Timestream"
"GP384XH3PTATMV3A","JRTCKXETXF","GP384XH3PTATMV3A.JRTCKXETXF.6YS6EN2CT7","OnDemand","price per GB-Hour of memory storage in Timestream - US East (N. Virginia)","2025-04-01","0","Inf","GB-Hours","0.0360000000","USD","Database Storage","AmazonTimestream","Timestream Memory Store","US East (N. Virginia)","AWS Region",,,,,,,,,,,,,,"USE1-MemoryStore-ByteHrs","",,,"us-east-1","Amazon Timestream"
"K275HESDMGSMUG5Y","JRTCKXETXF","K275HESDMGSMUG5Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.956 per Instance-Hour for SIngleAZ db.Influx.2xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.9560000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.2xlarge","8","64 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.2xlarge","Compute:001",,"16","us-east-1","Amazon Timestream"
