"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-25T11:28:32Z"
"Version","20240325112832"
"OfferCode","AmazonLex"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Input Mode","Learning Mode","Output Mode","Region Code","serviceName","Supported Modes"
"2GCGZFQK9AG5YKDE","JRTCKXETXF","2GCGZFQK9AG5YKDE.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0065 per Speech Interval for nl-NL-SpeechToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0065000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Str","Processes speech to speech requests (nl-NL)","USE1-nl-NL-SpeechToSpeech-Str","StartConversation","Speech",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"2J79UHHMWCSRCNW2","JRTCKXETXF","2J79UHHMWCSRCNW2.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processed speech to speech request in us-east-1 for en-US","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech","Processes speech to speech requests","USE1-en-US-SpeechToSpeech-Req","PostContent","Speech",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"2NE3DFFCRZZZTM3A","JRTCKXETXF","2NE3DFFCRZZZTM3A.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD7.5E-4 per Text Request for es-419-TextToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req","Processes text to text requests (es-419)","USE1-es-419-TextToText-Req","RecognizeUtterance","Text",,"Text","us-east-1","Amazon Lex","Speech and Text"
"2Q4DART226EBM83M","JRTCKXETXF","2Q4DART226EBM83M.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per Speech Request for en-GB-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req","Processes speech to text requests (en-GB)","USE1-en-GB-SpeechToText-Req","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
"2QGJBY2EB2G4YQEP","JRTCKXETXF","2QGJBY2EB2G4YQEP.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0065 per Speech Interval for no-NO-SpeechToText-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0065000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Str","Processes speech to text requests (no-NO)","USE1-no-NO-SpeechToText-Str","StartConversation","Speech",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"2RN7J9VVWH4M8T8R","JRTCKXETXF","2RN7J9VVWH4M8T8R.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for hi-IN-TextToText-Req : RecognizeText in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req-GR","Processes Text to Text requests only (hi-IN)","USE1-hi-IN-TextToText-Req-GR","RecognizeText","Text",,"Text","us-east-1","Amazon Lex","Text Only"
"2S4RYJ7Y55KSX92S","JRTCKXETXF","2S4RYJ7Y55KSX92S.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.006 per Speech Request for ca-ES-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0060000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req-GR","Processes speech to text requests (pt-br)","USE1-pt-BR-SpeechToText-Req-GR","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
"2SCJHC4B3R3ZEBR7","JRTCKXETXF","2SCJHC4B3R3ZEBR7.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per Speech Request for es-ES-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req","Processes speech to text requests (es-ES)","USE1-es-ES-SpeechToText-Req","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
"2WTRYC9RHUB9QHJZ","JRTCKXETXF","2WTRYC9RHUB9QHJZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.006 per Speech Request for pt-PT-SpeechToSpeech-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0060000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Req-GR","Processes speech to speech requests (pt-pt)","USE1-pt-PT-SpeechToSpeech-Req-GR","RecognizeUtterance","Speech",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"2YYM48JYSGA44XUV","JRTCKXETXF","2YYM48JYSGA44XUV.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per Speech Request for pt-PT-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req","Processes speech to text requests (pt-pt)","USE1-pt-PT-SpeechToText-Req","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
"2ZVKKQJTU6FMBB8H","JRTCKXETXF","2ZVKKQJTU6FMBB8H.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD7.5E-4 per Text Request for zh-CN-TextToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req","Processes text to text requests (zh-CN)","USE1-zh-CN-TextToText-Req","RecognizeUtterance","Text",,"Text","us-east-1","Amazon Lex","Speech and Text"
"333U7ZNNSM64UCSA","JRTCKXETXF","333U7ZNNSM64UCSA.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD7.5E-4 per Text Request for ca-ES-TextToText-Req : RecognizeText in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req","Processes Text to Text requests only (ca-ES)","USE1-ca-ES-TextToText-Req","RecognizeText","Text",,"Text","us-east-1","Amazon Lex","Text Only"
"34NTF6AKCKUD3V9D","JRTCKXETXF","34NTF6AKCKUD3V9D.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for en-AU-TextToSpeech-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Req-GR","Processes text to speech requests (en-AU)","USE1-en-AU-TextToSpeech-Req-GR","RecognizeUtterance","Text",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"358ERBU99G4EGYZE","JRTCKXETXF","358ERBU99G4EGYZE.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD7.5E-4 per Text Request for fi-FI-TextToSpeech-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Req","Processes text to speech requests (fi-FI)","USE1-fi-FI-TextToSpeech-Req","RecognizeUtterance","Text",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"36A25MYZYH3CH6GD","JRTCKXETXF","36A25MYZYH3CH6GD.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.003 per DTMF Request for it-IT-DTMFToText-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0030000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Text-Str-GR","Processes DTMF to text requests (it-IT)","USE1-it-IT-DTMFToText-Str-GR","StartConversation","DTMF",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"36XG6KCYNYZ83D7H","JRTCKXETXF","36XG6KCYNYZ83D7H.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.003 per DTMF Request for en-US-DTMFToText-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0030000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Text-Str-GR","Processes DTMF to text requests (en-US)","USE1-en-US-DTMFToText-Str-GR","StartConversation","DTMF",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"379UKA2R6UJ733X5","JRTCKXETXF","379UKA2R6UJ733X5.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0094 per Speech Interval for pt-PT-SpeechToSpeech-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0094000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Str-GR","Processes speech to speech requests (pt-pt)","USE1-pt-PT-SpeechToSpeech-Str-GR","StartConversation","Speech",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"37Q75TQXJB4QKSNX","JRTCKXETXF","37Q75TQXJB4QKSNX.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for fr-FR-TextToText-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req-GR","Processes text to text requests (fr-FR)","USE1-fr-FR-TextToText-Req-GR","RecognizeUtterance","Text",,"Text","us-east-1","Amazon Lex","Speech and Text"
"38P8JGHNF42S5M2W","JRTCKXETXF","38P8JGHNF42S5M2W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per minute for en-US-botdesign:StartBotRecommendation in US East (N. Virginia)","2024-01-01","0","Inf","minutes","0.5000000000","USD","Amazon Lex","AmazonLex","US East (N. Virginia)","AWS Region","auto-chatbot-design","Automates chatbot design from conversation transcripts (en-US)","USE1-en-US-botdesign","StartBotRecommendation",,"Chatbot Design",,"us-east-1","Amazon Lex",
"38QCEFF8C59SRTMY","JRTCKXETXF","38QCEFF8C59SRTMY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processed text to speech request in us-east-1 for en-AU","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech","Processes text to speech requests (en-AU)","USE1-en-AU-TextToSpeech-Req","PostContent","Text",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"38RS6GPS7R77GP5X","JRTCKXETXF","38RS6GPS7R77GP5X.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0094 per Speech Interval for pl-PL-SpeechToSpeech-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0094000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Str-GR","Processes speech to speech requests (pl-PL)","USE1-pl-PL-SpeechToSpeech-Str-GR","StartConversation","Speech",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"38URMFBUMGMVTQZZ","JRTCKXETXF","38URMFBUMGMVTQZZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0065 per Speech Interval for ca-ES-SpeechToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0065000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Str","Processes speech to speech requests (ca-es)","USE1-ca-ES-SpeechToSpeech-Str","StartConversation","Speech",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"392AHEBMTMBTZ4N9","JRTCKXETXF","392AHEBMTMBTZ4N9.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per Speech Request for en-ZA-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req","Processes speech to text requests (en-ZA)","USE1-en-ZA-SpeechToText-Req","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
