"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-07-26T21:06:10Z"
"Version","20220726210610"
"OfferCode","AWSIoTAnalytics"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","usageType","operation","Region Code","serviceName"
"2P6U9ATJJ4UNQ2TU","JRTCKXETXF","2P6U9ATJJ4UNQ2TU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.20 per GB of data processed in pipelines in US East (N. Virginia)","2021-08-01","0","Inf","GB","0.2000000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - ProcessingByte","USE1-DataProcessing-Bytes","DataProcessing","us-east-1","AWS IoT Analytics"
"4NC92D4K24FT7RGY","JRTCKXETXF","4NC92D4K24FT7RGY.JRTCKXETXF.PGHJ3S3EYE","OnDemand","$0.023 per GB of raw storage for first 50TB per month in US East (N. Virginia)","2021-08-01","0","51200","GB-Mo","0.0230000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Raw Storage","USE1-RawStorage-ByteHrs","RawDataStorage","us-east-1","AWS IoT Analytics"
"4NC92D4K24FT7RGY","JRTCKXETXF","4NC92D4K24FT7RGY.JRTCKXETXF.D42MF2PVJS","OnDemand","$0.022 per GB of raw storage for next 450TB per month in US East (N. Virginia)","2021-08-01","51200","512000","GB-Mo","0.0220000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Raw Storage","USE1-RawStorage-ByteHrs","RawDataStorage","us-east-1","AWS IoT Analytics"
"4NC92D4K24FT7RGY","JRTCKXETXF","4NC92D4K24FT7RGY.JRTCKXETXF.PXJDJ3YRG3","OnDemand","$0.021 per GB of raw storage for over 500TB per month in US East (N. Virginia)","2021-08-01","512000","Inf","GB-Mo","0.0210000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Raw Storage","USE1-RawStorage-ByteHrs","RawDataStorage","us-east-1","AWS IoT Analytics"
"5JEYUGRHKS6H8P5Z","JRTCKXETXF","5JEYUGRHKS6H8P5Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.50 per TB of scanned data in US East (N. Virginia)","2021-08-01","0","Inf","TB","6.5000000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Scanning","USE1-DataScanned-TB","CreateDatasetContent","us-east-1","AWS IoT Analytics"
"5YM6QPJJPXSMNC2J","JRTCKXETXF","5YM6QPJJPXSMNC2J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.72 per ACU-Hour for 2-AnalysisComputeHourCreateDatasetContent in US East (N. Virginia)","2021-08-01","0","Inf","ACU-Hour","0.7200000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Custom Analysis Execution - 2-ACU","USE1-2-AnalysisComputeHour","CreateDatasetContent","us-east-1","AWS IoT Analytics"
"Q3E98SW2GVTQTRT5","JRTCKXETXF","Q3E98SW2GVTQTRT5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.36 per ACU-Hour for 1-AnalysisComputeHourCreateDatasetContent in US East (N. Virginia)","2021-08-01","0","Inf","ACU-Hour","0.3600000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Custom Analysis Execution - 1-ACU","USE1-1-AnalysisComputeHour","CreateDatasetContent","us-east-1","AWS IoT Analytics"
"RPJ2SQMV96V8GRW9","JRTCKXETXF","RPJ2SQMV96V8GRW9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB of processed data stored per month in US East (N. Virginia)","2021-08-01","0","Inf","GB-Mo","0.0300000000","USD","IoTAnalytics","AWSIoTAnalytics","US East (N. Virginia)","AWS Region","IoTAnalytics - Processed Storage","USE1-ProcessedStorage-ByteHrs","ProcessedDataStorage","us-east-1","AWS IoT Analytics"
