"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-11-06T22:20:26Z"
"Version","20241106222026"
"OfferCode","AWSElementalMediaPackage"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Transfer Type","usageType","operation","Region Code","serviceName"
"7J5HKNHX6VY4D3C7","JRTCKXETXF","7J5HKNHX6VY4D3C7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB of Ingest","2024-11-01","0","Inf","GB","0.0300000000","USD","Packaging Data Transfer","AWSElementalMediaPackage","US East (N. Virginia)","AWS Region","Ingest","USE1-EMP-ingest-bytes","","us-east-1","AWS Elemental MediaPackage"
"KQREGH5WYYKQFXQR","JRTCKXETXF","KQREGH5WYYKQFXQR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per GB Origination/Packaging","2024-11-01","0","Inf","GB","0.0500000000","USD","Packaging Data Transfer","AWSElementalMediaPackage","US East (N. Virginia)","AWS Region","Origination-Packaging","USE1-EMP-origin-packaging-bytes","","us-east-1","AWS Elemental MediaPackage"
"ZHYJ7HMAR3A2DBEM","JRTCKXETXF","ZHYJ7HMAR3A2DBEM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per GB VOD Origination/Packaging","2024-11-01","0","Inf","GB","0.0500000000","USD","Packaging Data Transfer","AWSElementalMediaPackage","US East (N. Virginia)","AWS Region","VOD-Origination-Packaging","USE1-EMP-vod-origin-pkg-bytes","","us-east-1","AWS Elemental MediaPackage"
