"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-07-08T18:35:36Z"
"Version","20240708183536"
"OfferCode","AmazonCodeWhisperer"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Region Code","serviceName","Tier"
"RF3SEJ8VUXYEA9BQ","JRTCKXETXF","RF3SEJ8VUXYEA9BQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Monthly charge for CodeWhisperer Professional tier","2024-07-01","0","Inf","UsersPerMonth","19.0000000000","USD","Developer Tools","AmazonCodeWhisperer","US East (N. Virginia)","AWS Region","USE1-CodeWhisperer-Professional","","us-east-1","Amazon CodeWhisperer","Professional"
