"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-02-17T19:49:44Z"
"Version","20250217194944"
"OfferCode","AWSElementalMediaConvert"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","AddOn Feature","MinuteState","Region Code","serviceName","Tier","Transcoding Result","Video Codec","Video Frame Rate","Video Quality Setting","Video Resolution"
"3YQZRKXK7PK6FKZ9","JRTCKXETXF","3YQZRKXK7PK6FKZ9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10368/min - US East (N. Virginia) - HD, VP8, >60 fps and <=120 fps, Pro Tier","2025-02-01","0","Inf","minutes","0.1036800000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-VP8-HD-MHQ-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","VP8",">60 fps and <=120 fps","Multi-pass HQ","HD"
"43EETTAY85C239QU","JRTCKXETXF","43EETTAY85C239QU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03/min - US East (N. Virginia) - HD, AVC/H.264, >30 fps and <=60 fps, Single pass HQ, Pro Tier","2025-02-01","0","Inf","minutes","0.0300000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVC-HD-SHQ-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC/H.264",">30 fps and <=60 fps","Single pass HQ","HD"
"47PX9BV7RC7CKA5Z","JRTCKXETXF","47PX9BV7RC7CKA5Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0525/min - US East (N. Virginia) - HD, MPEG2, >30 fps and <=60 fps, Multi-pass, Pro Tier","2025-02-01","0","Inf","minutes","0.0525000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-MP2-HD-M-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","MPEG2",">30 fps and <=60 fps","Multi-pass","HD"
"4PBU6MCY6Z54BM5A","JRTCKXETXF","4PBU6MCY6Z54BM5A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.063/min - US East (N. Virginia) - HD, AVC/H.264, >60 fps and <=120 fps, Multi-pass HQ, Pro Tier","2025-02-01","0","Inf","minutes","0.0630000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVC-HD-MHQ-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC/H.264",">60 fps and <=120 fps","Multi-pass HQ","HD"
"4TGRKMSBAMDC85V3","JRTCKXETXF","4TGRKMSBAMDC85V3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.12/min - US East (N. Virginia) - 4K, VP9, >60 fps and <=120 fps, Basic Tier","2025-02-01","0","Inf","minutes","0.1200000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-B-VP9-4K-M-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Basic","Success","VP9",">60 fps and <=120 fps","Multi-pass","4K"
"4UYK8QUA4CTAXKK4","JRTCKXETXF","4UYK8QUA4CTAXKK4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.072/min - US East (N. Virginia) - 4K, AVC/H.264, >60 fps and <=120 fps, Single pass, Pro Tier","2025-02-01","0","Inf","minutes","0.0720000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVC-4K-S-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC/H.264",">60 fps and <=120 fps","Single pass","4K"
"4W9K3T5BBVNCPHXW","JRTCKXETXF","4W9K3T5BBVNCPHXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.036/min - US East (N. Virginia) - SD, HEVC/H.265, >60 fps and <=120 fps, Single pass, Pro Tier","2025-02-01","0","Inf","minutes","0.0360000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-HEVC-SD-S-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","HEVC/H.265",">60 fps and <=120 fps","Single pass","SD"
"4Z3AXD2UMMKGRKU2","JRTCKXETXF","4Z3AXD2UMMKGRKU2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03/min - US East (N. Virginia) - SD, Apple ProRes, >30 fps and <=60 fps, Pro Tier","2025-02-01","0","Inf","minutes","0.0300000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-PR-SD-NA-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","Apple ProRes",">30 fps and <=60 fps","NA","SD"
"54B4H5AKMBH4UWZ3","JRTCKXETXF","54B4H5AKMBH4UWZ3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.536 per minute for 4K, AV1, >60 fps and <=120 fps, Single pass HQ, Pro tier in US East (N. Virginia)","2025-02-01","0","Inf","minutes","1.5360000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AV1-4K-SHQ-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AV1",">60 fps and <=120 fps","Single pass HQ","4K"
"54PXCPZ6K63V8384","JRTCKXETXF","54PXCPZ6K63V8384.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.105/min - US East (N. Virginia) - 4K, AVC/H.264, >30 fps and <=60 fps, Multi-pass HQ, Pro Tier","2025-02-01","0","Inf","minutes","0.1050000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVC-4K-MHQ-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC/H.264",">30 fps and <=60 fps","Multi-pass HQ","4K"
