"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-10-18T16:17:01Z"
"Version","20231018161701"
"OfferCode","IoTTwinMaker"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","usageType","operation","Region Code","serviceName","Tiers"
"RPESWHBBJCK79DY9","JRTCKXETXF","RPESWHBBJCK79DY9.JRTCKXETXF.5TBGNY4DHA","OnDemand","60 million API Calls for IoTTwinMaker-UnifiedDataAccess included in bundle Tier2 in US East (N. Virginia)","2023-10-01","0","60000000","API Calls","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier2-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier2"
"RPESWHBBJCK79DY9","JRTCKXETXF","RPESWHBBJCK79DY9.JRTCKXETXF.D2VQG4WZUB","OnDemand","$1.50 per million API Calls for IoTTwinMaker-UnifiedDataAccess in US East (N. Virginia)","2023-10-01","60000000","Inf","API Calls","0.0000015000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier2-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier2"
"V3TD5VG3W9YSKCZP","JRTCKXETXF","V3TD5VG3W9YSKCZP.JRTCKXETXF.RWABBEAG3U","OnDemand","14.3 million Queries executed for IoTTwinMaker-Queries included in bundle Tier3 in US East (N. Virginia)","2023-10-01","0","14300000","Queries","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier3-Queries","","us-east-1","AWS IoT TwinMaker","Tier3"
"V3TD5VG3W9YSKCZP","JRTCKXETXF","V3TD5VG3W9YSKCZP.JRTCKXETXF.4386YHGGU8","OnDemand","$0.50 per 10K Queries executed for IoTTwinMaker-Queries in US East (N. Virginia)","2023-10-01","14300000","Inf","Queries","0.0000500000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier3-Queries","","us-east-1","AWS IoT TwinMaker","Tier3"
"V6TMF7Z9BK3U3TUZ","JRTCKXETXF","V6TMF7Z9BK3U3TUZ.JRTCKXETXF.6AJBPD7BF2","OnDemand","95 million API Calls for IoTTwinMaker-UnifiedDataAccess included in bundle Tier3 in US East (N. Virginia)","2023-10-01","0","95000000","API Calls","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier3-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier3"
"V6TMF7Z9BK3U3TUZ","JRTCKXETXF","V6TMF7Z9BK3U3TUZ.JRTCKXETXF.95MU8MEFEQ","OnDemand","$1.50 per million API Calls for IoTTwinMaker-UnifiedDataAccess in US East (N. Virginia)","2023-10-01","95000000","Inf","API Calls","0.0000015000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier3-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier3"
"WKR95C8TE5J6B7NS","JRTCKXETXF","WKR95C8TE5J6B7NS.JRTCKXETXF.YVW5GKSDQR","OnDemand","160 million API Calls for IoTTwinMaker-UnifiedDataAccess included in bundle Tier4 in US East (N. Virginia)","2023-10-01","0","160000000","API Calls","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier4-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier4"
"WKR95C8TE5J6B7NS","JRTCKXETXF","WKR95C8TE5J6B7NS.JRTCKXETXF.P732QGRMK3","OnDemand","$1.50 per million API Calls for IoTTwinMaker-UnifiedDataAccess in US East (N. Virginia)","2023-10-01","160000000","Inf","API Calls","0.0000015000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier4-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier4"
"WPE4B8CNBR99JZSP","JRTCKXETXF","WPE4B8CNBR99JZSP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per entity per month for IoTTwinMaker-Entities in US East (N. Virginia)","2023-10-01","0","Inf","Month","0.0500000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Entity","USE1-IoTTwinMaker-Entities","","us-east-1","AWS IoT TwinMaker",
"Y9HQ7JSFPN3ZPGPD","JRTCKXETXF","Y9HQ7JSFPN3ZPGPD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$220 per month for IoTTwinMaker bundle Tier1 in US East (N. Virginia)","2023-10-01","0","Inf","Month","220.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Entity","USE1-IoTTwinMaker-BaseTier1-Entities","","us-east-1","AWS IoT TwinMaker","Tier1"
"ZHV3BGGWN39F5PS6","JRTCKXETXF","ZHV3BGGWN39F5PS6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 10K Queries executed for IoTTwinMaker-Queries in US East (N. Virginia)","2023-10-01","0","Inf","Queries","0.0000500000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-Queries","","us-east-1","AWS IoT TwinMaker",
