"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-19T17:22:41Z"
"Version","20240319172241"
"OfferCode","AmazonManagedBlockchain"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","Framework Type","Region Code","serviceName","Size"
"BVW8SACRE2VNVQ3Q","JRTCKXETXF","BVW8SACRE2VNVQ3Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.272 per hour for Node:bc.c5.xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.2720000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.xlarge","USE1-Node:bc.c5.xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"DPARQ5UYPDF45CZF","JRTCKXETXF","DPARQ5UYPDF45CZF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000016 per Request for Access-Public-L:Public-Bitcoin-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000160000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Access-Public-L","Public-Bitcoin-Mainnet","Bitcoin-Mainnet-Access","us-east-1","Amazon Managed Blockchain","L"
"DZ962ADNAG2ATF3S","JRTCKXETXF","DZ962ADNAG2ATF3S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.544 per hour for Hyperledger Fabric - Standard Edition bc.c5.2xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.5440000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.2xlarge","USE1-Node:bc.c5.2xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"E7DFRPMKVPGK5CRB","JRTCKXETXF","E7DFRPMKVPGK5CRB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.267 per hour for Node:bc.t3.xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.2670000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.xlarge","USE1-Node:bc.t3.xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"EMA6ZM3RZ8SGBRGM","JRTCKXETXF","EMA6ZM3RZ8SGBRGM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000016 per Request for Access-Public-L:Public-Bitcoin-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000160000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Access-Public-L","Public-Bitcoin-Testnet","Bitcoin-Testnet-Access","us-east-1","Amazon Managed Blockchain","L"
"HX449J37V3EH3A37","JRTCKXETXF","HX449J37V3EH3A37.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for Hyperledger Fabric - Starter Edition data written in US East (N. Virginia)","2024-02-01","0","Inf","GB","0.1000000000","USD","Blockchain Data Written","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Data-Written-To-Network","Fabric:Starter","Hyperledger Fabric - Starter","us-east-1","Amazon Managed Blockchain",
"J7GWMXK2A4PGEXR8","JRTCKXETXF","J7GWMXK2A4PGEXR8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.229 per hour for Hyperledger Fabric - Standard Edition bc.m5.4xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","1.2290000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.4xlarge","USE1-Node:bc.m5.4xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"JKYCWGX55JTS7W8U","JRTCKXETXF","JKYCWGX55JTS7W8U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.034 per hour for Hyperledger Fabric - Starter Edition bc.t3.small node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.0340000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.small","USE1-Node:bc.t3.small","Fabric:Starter","Hyperledger Fabric - Starter","us-east-1","Amazon Managed Blockchain",
"JSG47H6YXDWMT77R","JRTCKXETXF","JSG47H6YXDWMT77R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000009 per Request for Query-Public-M:Public-Ethereum-Sepolia-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000090000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-M","Public-Ethereum-Sepolia-Testnet","Ethereum-Sepolia-Testnet-Query","us-east-1","Amazon Managed Blockchain","M"
"KJCBH8NXBADZEJK2","JRTCKXETXF","KJCBH8NXBADZEJK2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.229 per hour for Node:bc.m5.4xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","1.2290000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.4xlarge","USE1-Node:bc.m5.4xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
