"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-04-24T17:46:46Z"
"Version","20230424174646"
"OfferCode","AmazonECRPublic"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Region Code","serviceName","StorageType"
"MTW3F93VFDTANFDU","JRTCKXETXF","MTW3F93VFDTANFDU.JRTCKXETXF.ZRBZXHZTV5","OnDemand","50 GB-Mo Free storage in US East (N. Virginia)","2023-04-01","0","50","GB-Mo","0.0000000000","USD","EC2 Container Registry","AmazonECRPublic","US East (N. Virginia)","AWS Region","USE1-TimedStorage-ByteHrs","","us-east-1","Amazon Elastic Container Registry Public","S3"
"MTW3F93VFDTANFDU","JRTCKXETXF","MTW3F93VFDTANFDU.JRTCKXETXF.HVPRRUAXWE","OnDemand","$0.1 per GB-Mo for TimedStorage-ByteHrs in US East (N. Virginia)","2023-04-01","50","Inf","GB-Mo","0.1000000000","USD","EC2 Container Registry","AmazonECRPublic","US East (N. Virginia)","AWS Region","USE1-TimedStorage-ByteHrs","","us-east-1","Amazon Elastic Container Registry Public","S3"
