"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-11-25T15:07:20Z"
"Version","20241125150720"
"OfferCode","AWSBCMPricingCalculator"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","usageType","operation","Estimate Type","Region Code","serviceName"
"85K95Z9RQYR93HGQ","A429C66SYZ","85K95Z9RQYR93HGQ.A429C66SYZ.V7GB4D473V","OnDemand","$0.00 per CreateBillEstimate API operation","2024-11-01","0","5","Estimate","0.0000000000","USD",,"API Request","AWSBCMPricingCalculator","Any","AWS Region","Global-BillEstimate","CreateBillEstimate","Bill Estimate","","AWS Pricing Calculator"
"NWWVTUHSYMVRCWZP","JRTCKXETXF","NWWVTUHSYMVRCWZP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.00 per CreateBillEstimate API operation","2024-11-01","0","Inf","Estimate","2.0000000000","USD","85K95Z9RQYR93HGQ","API Request","AWSBCMPricingCalculator","US East (N. Virginia)","AWS Region","USE1-BillEstimate","CreateBillEstimate","Bill Estimate","us-east-1","AWS Pricing Calculator"
