"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-24T18:36:43Z"
"Version","20250324183643"
"OfferCode","AWSMediaConnect"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Flow Type","From Region Code","Region Code","Reserved Tier","serviceName","To Region Code"
"6ADAUYG2NXCD4N96","JRTCKXETXF","6ADAUYG2NXCD4N96.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6/hour of 1080p Active CDI/JPEG-XS Flow usage in US East (N. Virginia)","2025-03-01","0","Inf","Hours","6.0000000000","USD","Compute Instance","AWSMediaConnect","US East (N. Virginia)","AWS Region",,,,,,"USE1-Usage-Hours","RunningFlow-CDI-1080p","CDI-RunningFlow-1080p",,"us-east-1",,"AWS Elemental MediaConnect",
"6D399E3B2AHEG7JG","JRTCKXETXF","6D399E3B2AHEG7JG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Melbourne) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.1400000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Melbourne)","AWS Region","InterRegion Outbound","Asia Pacific (Melbourne)","AWS Region","US East (N. Virginia)","AWS Region","APS6-USE1-AWS-Out-Bytes","DataProcessed",,"ap-southeast-4","ap-southeast-4",,"AWS Elemental MediaConnect","us-east-1"
"6J64N8FPJEN6RP8A","JRTCKXETXF","6J64N8FPJEN6RP8A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to EU (Stockholm)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Outbound","US East (N. Virginia)","AWS Region","EU (Stockholm)","AWS Region","USE1-EUN1-AWS-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","eu-north-1"
"6T8VY4QGFZEEUG32","JRTCKXETXF","6T8VY4QGFZEEUG32.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.474/hour Reserved Outbound Bandwidth at 500Mbps US East (N. Virginia)","2025-03-01","0","Inf","Hrs","6.4740000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound Reserved","US East (N. Virginia)","AWS Region","External","Other","Reserved-DataTransfer-Out-Hours","DataProcessedReserved500Mbps1Yr",,"us-east-1","us-east-1","500 Mbps","AWS Elemental MediaConnect",""
"77EKFRQ24YBW52QN","JRTCKXETXF","77EKFRQ24YBW52QN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Hyderabad) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Hyderabad)","AWS Region","InterRegion Inbound","Asia Pacific (Hyderabad)","AWS Region","US East (N. Virginia)","AWS Region","APS5-USE1-AWS-In-Bytes","DataProcessed",,"ap-south-2","ap-south-2",,"AWS Elemental MediaConnect","us-east-1"
"7DBDJ99M6J6QBW74","JRTCKXETXF","7DBDJ99M6J6QBW74.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from US East (Ohio)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","US East (Ohio)","AWS Region","USE1-USE2-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","us-east-2"
"7T9ZYE3Z6BDJDCR6","JRTCKXETXF","7T9ZYE3Z6BDJDCR6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Hyderabad)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Hyderabad)","AWS Region","USE1-APS5-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-south-2"
"89SUT6BQUVJ88HKB","JRTCKXETXF","89SUT6BQUVJ88HKB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Canada (Central)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Canada (Central)","AWS Region","USE1-CAN1-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ca-central-1"
"8HQ2NXPTDVFY3RUG","JRTCKXETXF","8HQ2NXPTDVFY3RUG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Africa (Cape Town)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","Africa (Cape Town)","AWS Region","InterRegion Inbound","Africa (Cape Town)","AWS Region","US East (N. Virginia)","AWS Region","USE1-AFS1-AWS-In-Bytes","DataProcessed",,"af-south-1","af-south-1",,"AWS Elemental MediaConnect","us-east-1"
"8Q8EGZGRCRQVRBGP","JRTCKXETXF","8Q8EGZGRCRQVRBGP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Mumbai)","AWS Region","InterRegion Inbound","Asia Pacific (Mumbai)","AWS Region","US East (N. Virginia)","AWS Region","APS3-USE1-AWS-In-Bytes","DataProcessed",,"ap-south-1","ap-south-1",,"AWS Elemental MediaConnect","us-east-1"
"9CDSW3ERC444989F","JRTCKXETXF","9CDSW3ERC444989F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Melbourne) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Melbourne)","AWS Region","InterRegion Inbound","Asia Pacific (Melbourne)","AWS Region","US East (N. Virginia)","AWS Region","APS6-USE1-AWS-In-Bytes","DataProcessed",,"ap-southeast-4","ap-southeast-4",,"AWS Elemental MediaConnect","us-east-1"
"9E4YKBCY3R2H2Z3T","JRTCKXETXF","9E4YKBCY3R2H2Z3T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","US West (N. California)","AWS Region","InterRegion Outbound","US West (N. California)","AWS Region","US East (N. Virginia)","AWS Region","USW1-USE1-AWS-Out-Bytes","DataProcessed",,"us-west-1","us-west-1",,"AWS Elemental MediaConnect","us-east-1"
"9HDW7B9SN5GC9V85","JRTCKXETXF","9HDW7B9SN5GC9V85.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.13/hour of 720p CDI Output usage in US East (N. Virginia)","2025-03-01","0","Inf","Hours","0.1300000000","USD","Compute Instance","AWSMediaConnect","US East (N. Virginia)","AWS Region",,,,,,"USE1-Usage-Hours","RunningOutput-CDI-720p","CDI-RunningOutput-CDI-720p",,"us-east-1",,"AWS Elemental MediaConnect",
"9JAS2ZWF7AXVVSPS","JRTCKXETXF","9JAS2ZWF7AXVVSPS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Singapore)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Singapore)","AWS Region","USE1-APS1-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-southeast-1"
"9WNASGMTQM6PDSB5","JRTCKXETXF","9WNASGMTQM6PDSB5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.5/hour of 480p Active CDI/JPEG-XS Flow usage in US East (N. Virginia)","2025-03-01","0","Inf","Hours","1.5000000000","USD","Compute Instance","AWSMediaConnect","US East (N. Virginia)","AWS Region",,,,,,"USE1-Usage-Hours","RunningFlow-CDI-480p","CDI-RunningFlow-480p",,"us-east-1",,"AWS Elemental MediaConnect",
"A3EVEM7BVMR5Y6WX","JRTCKXETXF","A3EVEM7BVMR5Y6WX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Sydney)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Outbound","US East (N. Virginia)","AWS Region","Asia Pacific (Sydney)","AWS Region","USE1-APS2-AWS-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-southeast-2"
"A422JVYU4MN5BNC2","JRTCKXETXF","A422JVYU4MN5BNC2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.086 per GB - Asia Pacific (Mumbai) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0860000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Mumbai)","AWS Region","InterRegion Outbound","Asia Pacific (Mumbai)","AWS Region","US East (N. Virginia)","AWS Region","APS3-USE1-AWS-Out-Bytes","DataProcessed",,"ap-south-1","ap-south-1",,"AWS Elemental MediaConnect","us-east-1"
"AF3FTWTGMHGNF229","JRTCKXETXF","AF3FTWTGMHGNF229.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Osaka) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0900000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Osaka)","AWS Region","InterRegion Outbound","Asia Pacific (Osaka)","AWS Region","US East (N. Virginia)","AWS Region","APN3-USE1-AWS-Out-Bytes","DataProcessed",,"ap-northeast-3","ap-northeast-3",,"AWS Elemental MediaConnect","us-east-1"
"AJVAWRG4PYCRR5K7","JRTCKXETXF","AJVAWRG4PYCRR5K7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Ireland) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","EU (Ireland)","AWS Region","InterRegion Inbound","EU (Ireland)","AWS Region","US East (N. Virginia)","AWS Region","EU-USE1-AWS-In-Bytes","DataProcessed",,"eu-west-1","eu-west-1",,"AWS Elemental MediaConnect","us-east-1"
"AQTKTDM46CH9CGJ4","JRTCKXETXF","AQTKTDM46CH9CGJ4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$12/hour of 2160p Active CDI/JPEG-XS Flow usage in US East (N. Virginia)","2025-03-01","0","Inf","Hours","12.0000000000","USD","Compute Instance","AWSMediaConnect","US East (N. Virginia)","AWS Region",,,,,,"USE1-Usage-Hours","RunningFlow-CDI-2160p","CDI-RunningFlow-2160p",,"us-east-1",,"AWS Elemental MediaConnect",
"ARFXPJMR7AADX8JA","JRTCKXETXF","ARFXPJMR7AADX8JA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","EU (Ireland)","AWS Region","InterRegion Outbound","EU (Ireland)","AWS Region","US East (N. Virginia)","AWS Region","EU-USE1-AWS-Out-Bytes","DataProcessed",,"eu-west-1","eu-west-1",,"AWS Elemental MediaConnect","us-east-1"
"B8E6YHZSACZ754QB","JRTCKXETXF","B8E6YHZSACZ754QB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to EU (Ireland)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Outbound","US East (N. Virginia)","AWS Region","EU (Ireland)","AWS Region","USE1-EU-AWS-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","eu-west-1"
"BBNVBMNDPTF3BHNN","JRTCKXETXF","BBNVBMNDPTF3BHNN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.13/hour of 1080i JPEG-XS Output usage in US East (N. Virginia)","2025-03-01","0","Inf","Hours","0.1300000000","USD","Compute Instance","AWSMediaConnect","US East (N. Virginia)","AWS Region",,,,,,"USE1-Usage-Hours","RunningOutput-JPEG-XS-1080i","CDI-RunningOutput-JPEG-XS-1080i",,"us-east-1",,"AWS Elemental MediaConnect",
"BGJBXYWPF23ZNJHT","JRTCKXETXF","BGJBXYWPF23ZNJHT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.022 per GB - Canada (Central) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0220000000","USD","Data Transfer","AWSMediaConnect","Canada (Central)","AWS Region","InterRegion Outbound","Canada (Central)","AWS Region","US East (N. Virginia)","AWS Region","CAN1-USE1-AWS-Out-Bytes","DataProcessed",,"ca-central-1","ca-central-1",,"AWS Elemental MediaConnect","us-east-1"
"C6WHJFCBG99A7F3J","JRTCKXETXF","C6WHJFCBG99A7F3J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from EU (Germany)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","EU (Frankfurt)","AWS Region","USE1-EUC1-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","eu-central-1"
"C7V3TPW8WU3H3BUD","JRTCKXETXF","C7V3TPW8WU3H3BUD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (London) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","EU (London)","AWS Region","InterRegion Inbound","EU (London)","AWS Region","US East (N. Virginia)","AWS Region","EUW2-USE1-AWS-In-Bytes","DataProcessed",,"eu-west-2","eu-west-2",,"AWS Elemental MediaConnect","us-east-1"
"CSZVSHJNXPGQRJDT","JRTCKXETXF","CSZVSHJNXPGQRJDT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Middle East (UAE)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Middle East (UAE)","AWS Region","USE1-MEC1-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","me-central-1"
"DCJGVAR2AGUGVNWP","JRTCKXETXF","DCJGVAR2AGUGVNWP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Osaka)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Osaka)","AWS Region","USE1-APN3-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-northeast-3"
