"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-11-12T20:33:39Z"
"Version","20241112203339"
"OfferCode","AWSFIS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Action","Region Code","Report Type","serviceName"
"3GBATKSWGM9RXAZS","JRTCKXETXF","3GBATKSWGM9RXAZS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per minutes for ActionMinute in US East (N. Virginia)","2024-10-01","0","Inf","minutes","0.1000000000","USD","Developer Tools","AWSFIS","US East (N. Virginia)","AWS Region","USE1-ActionMinute","ActionMinute","Action","us-east-1",,"AWS Fault Injection Simulator"
"9Z2DSQMTB3W5HQ9X","JRTCKXETXF","9Z2DSQMTB3W5HQ9X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per minutes for ActionMinuteAccount in US East (N. Virginia)","2024-10-01","0","Inf","minutes","0.1000000000","USD","Developer Tools","AWSFIS","US East (N. Virginia)","AWS Region","USE1-ActionMinuteAccount","ActionMinuteAccount","Multi-Account Action","us-east-1",,"AWS Fault Injection Simulator"
"WHSNQ43U5DRENM5F","JRTCKXETXF","WHSNQ43U5DRENM5F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5 per experiment report in US East (N. Virginia)","2024-10-01","0","Inf","Report","5.0000000000","USD","Developer Tools","AWSFIS","US East (N. Virginia)","AWS Region","USE1-ExperimentReport","",,"us-east-1","Experiment Report","AWS Fault Injection Simulator"
