"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-03-11T17:14:13Z"
"Version","20220311171413"
"OfferCode","AmazonChimeDialInAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Calling Type","Country","PrimaryPlaceOfUse","Region Code","serviceName","Transaction Type"
"4TKZ3CQ8RX36BUG3","JRTCKXETXF","4TKZ3CQ8RX36BUG3.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for India","2022-03-01","0","Inf","Minute","0.1210000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-IN-tollfree-inbound-mins","","Toll Free","India","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"4YH5HVPPA5XJFSGK","JRTCKXETXF","4YH5HVPPA5XJFSGK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Turkey","2022-03-01","0","Inf","Minute","0.0909720000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-TR-tollfree-inbound-mins","","Toll Free","Turkey","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"55SAJBJ674RPYZFX","JRTCKXETXF","55SAJBJ674RPYZFX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Switzerland","2022-03-01","0","Inf","Minute","0.0032210000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-CH-toll-inbound-mins","","Toll","Switzerland","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5BGV5GBYPZ8B7AUQ","JRTCKXETXF","5BGV5GBYPZ8B7AUQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Malta","2022-03-01","0","Inf","Minute","0.1606000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-MT-tollfree-inbound-mins","","Toll Free","Malta","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5DJY4ZXTJQXFBB7J","JRTCKXETXF","5DJY4ZXTJQXFBB7J.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Grenada","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-GD-toll-inbound-mins","","Toll","Grenada","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5SPWD2WENDPR5BEZ","JRTCKXETXF","5SPWD2WENDPR5BEZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Antigua and Barbuda","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-AG-toll-inbound-mins","","Toll","Antigua and Barbuda","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5U869U9Q8DK8SJ5T","JRTCKXETXF","5U869U9Q8DK8SJ5T.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Saint Kitts and Nevis","2022-03-01","0","Inf","Minute","0.0119100000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-KN-tollfree-inbound-mins","","Toll Free","Saint Kitts and Nevis","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5USJYE2K64KJSXGS","JRTCKXETXF","5USJYE2K64KJSXGS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per minutes for US-toll-inbound-onnet-mins in US East (N. Virginia)","2022-03-01","0","Inf","minutes","0.0000000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-US-toll-inbound-onnet-mins","","Toll-OnNet","United States of America","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5VP49QSMKHP2UPJQ","JRTCKXETXF","5VP49QSMKHP2UPJQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Saint Kitts and Nevis","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-KN-toll-inbound-mins","","Toll","Saint Kitts and Nevis","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"5ZAZ7D72WR9SDEPU","JRTCKXETXF","5ZAZ7D72WR9SDEPU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Turks and Caicos Islands","2022-03-01","0","Inf","Minute","0.0119100000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-TC-tollfree-inbound-mins","","Toll Free","Turks and Caicos Islands","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
