"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-04T15:45:17Z"
"Version","20250404154517"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"CDX93M2QU52N49WM","JRTCKXETXF","CDX93M2QU52N49WM.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD 2.5E-5 per Unit for DetectTgtSentiment:DetectTgtSentiment in US East (N. Virginia)","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Sentiment Analysis","comprehend","US East (N. Virginia)","AWS Region","Comprehend-TargetedSentiment","Process Targeted Sentiment text request","USE1-DetectTgtSentiment","DetectTgtSentiment","DetectTgtSentiment","us-east-1","Amazon Comprehend"
"FJ9KDMJ22CPTEC6M","JRTCKXETXF","FJ9KDMJ22CPTEC6M.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Custom Classification model training request in us-east-1","2025-04-01","0","Inf","seconds","0.0008330000","USD","Custom Classification","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Classification","Processes Custom Classification model training request","USE1-DocClassifier-Time","DocClassifier","DocClassifier-Time","us-east-1","Amazon Comprehend"
"FTR9HG2GAGAQMSMR","JRTCKXETXF","FTR9HG2GAGAQMSMR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Custom Classification model storage request in us-east-1","2025-04-01","0","Inf","Unit","0.5000000000","USD","Custom Classification","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Classification","Processes Custom Classification model storage request","USE1-DocClassifier-Storage","DocClassifier","DocClassifier-Storage","us-east-1","Amazon Comprehend"
"G2J38HSXVWRMXYA7","JRTCKXETXF","G2J38HSXVWRMXYA7.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Custom Classification text request in us-east-1","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Classification","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Classification","Processes Custom Classification text request","USE1-DocClassification-Custom","DocClassification","DocClassification-Custom","us-east-1","Amazon Comprehend"
"GWJ52K8D56DQ2BE9","JRTCKXETXF","GWJ52K8D56DQ2BE9.JRTCKXETXF.HWDSBTNJX9","OnDemand","Processes Entity Analysis text requests in us-east-1 - Upto 10M","2025-04-01","0","10000000","Unit","0.0001000000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-EntityAnalysis","Processes Entity Analysis text request","USE1-DetectEntities","DetectEntities","DetectEntities","us-east-1","Amazon Comprehend"
"GWJ52K8D56DQ2BE9","JRTCKXETXF","GWJ52K8D56DQ2BE9.JRTCKXETXF.UH4R86KK5B","OnDemand","Processes Entity Analysis text requests in us-east-1 - Upto 50M","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-EntityAnalysis","Processes Entity Analysis text request","USE1-DetectEntities","DetectEntities","DetectEntities","us-east-1","Amazon Comprehend"
"GWJ52K8D56DQ2BE9","JRTCKXETXF","GWJ52K8D56DQ2BE9.JRTCKXETXF.ECJTRKSV3C","OnDemand","Processes Entity Analysis text requests in us-east-1 - Over 50M","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-EntityAnalysis","Processes Entity Analysis text request","USE1-DetectEntities","DetectEntities","DetectEntities","us-east-1","Amazon Comprehend"
"GZN9VE3RAQSRNCJU","JRTCKXETXF","GZN9VE3RAQSRNCJU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Custom Entity model training request in us-east-1","2025-04-01","0","Inf","seconds","0.0008330000","USD","Custom Entities","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Entities","Processes Custom Entity model training request","USE1-EntityRecognizer-Time","EntityRecognizer","EntityRecognizer-Time","us-east-1","Amazon Comprehend"
"H2WMRT64MQVZ6RJJ","JRTCKXETXF","H2WMRT64MQVZ6RJJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Custom Entity model storage request in us-east-1","2025-04-01","0","Inf","Unit","0.5000000000","USD","Custom Entities","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Entities","Processes Custom Entity model storage request","USE1-EntityRecognizer-Storage","EntityRecognizer","EntityRecognizer-Storage","us-east-1","Amazon Comprehend"
"JDC3NSUCSY8CJMQN","JRTCKXETXF","JDC3NSUCSY8CJMQN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0005 per Unit for Endpoint-Time:DocClassification in US East (N. Virginia)","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Classification","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Classification","Processes Sync custom classification text request","USE1-Endpoint-Time","DocClassification","Endpoint-Time","us-east-1","Amazon Comprehend"
