"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T22:14:35Z"
"Version","20250522221435"
"OfferCode","AmazonKinesisFirehose"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Group","usageType","operation","Region Code","serviceName","SourceType","TicketType"
"5WR47E348MKS6PJ3","JRTCKXETXF","5WR47E348MKS6PJ3.JRTCKXETXF.W36PUWTAP8","OnDemand","Tier 3 $0.032 per GB of data ingested","2025-05-01","1024000","Inf","GB","0.0320000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered to Apache Iceberg Tables","US East (N. Virginia)","AWS Region","Batch Processing","USE1-IcebergTablesBilledBytes","GetKinesisRecords","us-east-1","Amazon Kinesis Firehose",,
"672ZXFMAWFMXFU89","JRTCKXETXF","672ZXFMAWFMXFU89.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per thousand dynamically partitioned objects","2025-05-01","0","Inf","Objects","0.0000050000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per object dynamically partitioned","US East (N. Virginia)","AWS Region","Dynamic Partitioning","USE1-S3DeliveryObjectCount","DynamicPartitioning","us-east-1","Amazon Kinesis Firehose",,"1"
"7EYXASUNJEVDHMAB","JRTCKXETXF","7EYXASUNJEVDHMAB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.070 per JQ processing hour","2025-05-01","0","Inf","hours","0.0700000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per JQ processing hour","US East (N. Virginia)","AWS Region","Dynamic Partitioning","USE1-MetadataProcessingDuration","DynamicPartitioning","us-east-1","Amazon Kinesis Firehose",,"1"
"7FBBNJEEPEC6TFHX","JRTCKXETXF","7FBBNJEEPEC6TFHX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per GB of data ingested or delivered","2025-05-01","0","Inf","GB","0.0740000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered","US East (N. Virginia)","AWS Region","Batch Processing","USE1-KDS-no-rounding-BilledBytes","GetKinesisRecords","us-east-1","Amazon Kinesis Firehose",,
"9HMQK22ZQCCJWFF6","JRTCKXETXF","9HMQK22ZQCCJWFF6.JRTCKXETXF.HK3AFRJD7J","OnDemand","Tier 1 $0.029 per GB of data read from Kinesis Data Streams","2025-05-01","0","512000","GB","0.0290000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data read from Kinesis Streams","US East (N. Virginia)","AWS Region","Batch Processing","USE1-StreamsSourceBilledBytes","GetKinesisRecords","us-east-1","Amazon Kinesis Firehose",,"1"
"9HMQK22ZQCCJWFF6","JRTCKXETXF","9HMQK22ZQCCJWFF6.JRTCKXETXF.UWBZ2JUKT9","OnDemand","Tier 2 $0.025 per GB of data read from Kinesis Data Streams","2025-05-01","512000","2048000","GB","0.0250000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data read from Kinesis Streams","US East (N. Virginia)","AWS Region","Batch Processing","USE1-StreamsSourceBilledBytes","GetKinesisRecords","us-east-1","Amazon Kinesis Firehose",,"1"
"9HMQK22ZQCCJWFF6","JRTCKXETXF","9HMQK22ZQCCJWFF6.JRTCKXETXF.PERGK9UASF","OnDemand","Tier 3 $0.020 per GB of data read from Kinesis Data Streams","2025-05-01","2048000","Inf","GB","0.0200000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data read from Kinesis Streams","US East (N. Virginia)","AWS Region","Batch Processing","USE1-StreamsSourceBilledBytes","GetKinesisRecords","us-east-1","Amazon Kinesis Firehose",,"1"
"9QWTRBSJY5J6A9MX","JRTCKXETXF","9QWTRBSJY5J6A9MX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per GB of data ingested or delivered","2025-05-01","0","Inf","GB","0.0800000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-DirectPUT-no-rounding-BilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,
"B674W3KVY282C9AV","JRTCKXETXF","B674W3KVY282C9AV.JRTCKXETXF.HK3AFRJD7J","OnDemand","Tier 1 $0.029 per GB of data ingested","2025-05-01","0","512000","GB","0.0290000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Batch Processing","USE1-BilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose",,"1"
"B674W3KVY282C9AV","JRTCKXETXF","B674W3KVY282C9AV.JRTCKXETXF.UWBZ2JUKT9","OnDemand","Tier 2 $0.025 per GB of data ingested","2025-05-01","512000","2048000","GB","0.0250000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Batch Processing","USE1-BilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose",,"1"
