"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-09-18T15:06:03Z"
"Version","20240918150603"
"OfferCode","AmazonChimeFeatures"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","License Type","PrimaryPlaceOfUse","Region Code","serviceName","TransactionType"
"F27VUZR69RWXZMBA","JRTCKXETXF","F27VUZR69RWXZMBA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0023 per minute for Meeting ML Echo Reduction in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0023000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-MeetingML-EchoReduction-SDK-Minutes","","EchoReduction","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"GPZEDTVV4QGKUU94","JRTCKXETXF","GPZEDTVV4QGKUU94.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per minutes for Call-Recording in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0100000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Call-Recording","","Recording","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"H5QHUKESNWPB37BD","JRTCKXETXF","H5QHUKESNWPB37BD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0017 per minute per audio stream","2024-09-01","0","Inf","minutes","0.0017000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-AudioStream","","AudioStream","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"H7G92WFJ6QJXD9QV","JRTCKXETXF","H7G92WFJ6QJXD9QV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0007 per message sent with Amazon Chime Chat SDK.","2024-09-01","0","Inf","Messages","0.0007000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SDK-Messaging-Messages","","Messages","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"KHW7HYDUEX8GJ3WT","JRTCKXETXF","KHW7HYDUEX8GJ3WT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per minutes for Media-Pipelines-Compositing-Recording-HD in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0100000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-Compositing-Recording-HD","","Compositing-Recording-HD","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"MVEKUFBXM5U8S4RZ","JRTCKXETXF","MVEKUFBXM5U8S4RZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per minutes for Media-Pipelines-Compositing-Recording-FHD in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0125000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-Compositing-Recording-FHD","","Compositing-Recording-FHD","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"PK87UPPHM7JCFNWH","JRTCKXETXF","PK87UPPHM7JCFNWH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.023 per minutes for Call-Analytics in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0230000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Call-Analytics","","Analytics","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"RPQKRVFMJ2NUYNY3","JRTCKXETXF","RPQKRVFMJ2NUYNY3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000003 per system message sent with Amazon Chime Chat SDK.","2024-09-01","0","Inf","Messages","0.0000030000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SDK-Messaging-SystemMessages","","System","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"SBQJDMEVTB74V7MZ","JRTCKXETXF","SBQJDMEVTB74V7MZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per minutes for Media-Pipelines-Concatenation in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0020000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-Concatenation","","Concatenation","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"VMF7PHJNVB5NKN67","JRTCKXETXF","VMF7PHJNVB5NKN67.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0034 per minutes for active speaker audio and video capture in Media-Pipelines","2024-09-01","0","Inf","minutes","0.0034000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-ActiveSpeakerCapture","","ActiveSpeakerCapture","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"W6BQHTC73WD7R3RQ","JRTCKXETXF","W6BQHTC73WD7R3RQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0085 per minutes for Meetings-Replica-Minutes in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0085000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Meetings-Replica-Minutes","","ReplicaMeeting","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"WBR6CVJP4M5B7GKX","JRTCKXETXF","WBR6CVJP4M5B7GKX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0028 per minutes for SIP Media App Call Recording  in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0028000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SMA-CallRecording-Minutes","","CallRecording","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"XEFG8D7S32EJGMBQ","JRTCKXETXF","XEFG8D7S32EJGMBQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per minutes for Media-Pipelines-Live-Connector in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0020000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-Live-Connector","","Live-Connector","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"Z86ZC6Z3TJ2EVHUK","JRTCKXETXF","Z86ZC6Z3TJ2EVHUK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.017 per minutes for FHD Meetings-Replica-Minutes in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0170000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Meetings-Replica-HD-Minutes","","FHD ReplicaMeeting","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
