SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,License Type,Region Code,serviceName,Term
4XXPFXSSMCAEK2FY,JRTCKXETXF,4XXPFXSSMCAEK2FY.JRTCKXETXF.6YS6EN2CT7,OnDemand,EKS Anywhere Enterprise Subscription cluster license usage (3-year term) ,2025-05-01,0,Inf,licenses,1500.0000000000,USD,Compute,AmazonEKSAnywhere,US East (N. Virginia),Other,USE1-AmazonEKSAnywhereSubscription-monthly-36month:perCluster,,Cluster,us-east-1,Amazon EKS Anywhere,36month
TMHASPJR8STR27TN,JRTCKXETXF,TMHASPJR8STR27TN.JRTCKXETXF.6YS6EN2CT7,OnDemand,EKS Anywhere Enterprise Subscription cluster license usage (1-year term) ,2025-05-01,0,Inf,licenses,2000.0000000000,USD,Compute,AmazonEKSAnywhere,US East (N. Virginia),Other,USE1-AmazonEKSAnywhereSubscription-monthly-12month:perCluster,,Cluster,us-east-1,Amazon EKS Anywhere,12month
