SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,vCPU,Memory,Storage,Operating System,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Counts Against Quota,Data Transfer Quota,Engine,Free Overage,From Region Code,High Availability,IsFree,Overage Type,Power,Region Code,serviceName,Storage Capacity Quota,To Region Code
5EPB2V8S2JCDVZF9,JRTCKXETXF,5EPB2V8S2JCDVZF9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03225 / Hour of 4GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.0322500000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,4GB,80GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:4GB,Bundle:4GB,,4TB,,,,,,,,us-east-1,Amazon Lightsail,,
5FU39CCWRMEQ9ZYF,JRTCKXETXF,5FU39CCWRMEQ9ZYF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01881 / Hour of 1GB bundle Instance including public IPv4 address  (Windows),2025-04-01,0,Inf,Hrs,0.0188100000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,1GB,40GB,Windows,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:1GB_win,Bundle:1GB,,2TB,,,,,,,,us-east-1,Amazon Lightsail,,
5GS6DKUNXFKADSD7,JRTCKXETXF,5GS6DKUNXFKADSD7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 / GB data transfer out above the plan quota,2025-04-01,0,Inf,GB,0.0900000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-DataXfer-Out-Overage-Bytes,,Yes,,,No,us-east-1,,,Data Transfer,,,Amazon Lightsail,,
5MAQD3SYN4V88Q7R,JRTCKXETXF,5MAQD3SYN4V88Q7R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.00 / Storage Bundle:5GB in US East (N. Virginia),2025-04-01,0,Inf,Bundles,1.0000000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail object storage,Lightsail object storage bundle subscription fee,,,,,,USE1-Storage-BundleUsage:5GB,Storage-Bundle:5GB,,25GB,,,,,,,,us-east-1,Amazon Lightsail,5GB,
5VYBQX3EQXU6HMNJ,JRTCKXETXF,5VYBQX3EQXU6HMNJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.023 per GB Storage Capacity in US East (N. Virginia) above bundle quota (5GB Bundle),2025-04-01,0,Inf,GB-Mo,0.0230000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,USE1-Storage:5GB-StorageOverage-Bytes,Storage5GB-Storage-Overage,Yes,,,No,,,,Storage:5GB Storage Capacity,,us-east-1,Amazon Lightsail,,
64ZSEA597RH57QZY,JRTCKXETXF,64ZSEA597RH57QZY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0202 / Hour for Container Service Node of Power-Small(0.5CPU-1GB) - US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0201612900,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,0.5,1GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Small-0.5CPU-1GB,ContainerSvc:Small-0.5CPU-1GB,,500GB,,,,,No,,Small,us-east-1,Amazon Lightsail,,
655SBVDQXJJY4HNS,JRTCKXETXF,655SBVDQXJJY4HNS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1546 / Hour of 8GB Standard Database bundle,2025-04-01,0,Inf,Hrs,0.1545700000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,2,8GB,240GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:8GB,RelationalDatabase,,0.2TB,MySQL/PostgreSQL,,,No,,,,us-east-1,Amazon Lightsail,,
6PRZ7N7CQC2MUJKA,JRTCKXETXF,6PRZ7N7CQC2MUJKA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.76612 / Hour of 64GB IPv6 bundle Instance  (Windows),2025-04-01,0,Inf,Hrs,0.7661200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,16,64GB,1280GB,Windows,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:64GB_win_IPv6,Bundle:64GB_IPv6,,8TB,,,,,,,,us-east-1,Amazon Lightsail,,
6Y3KHJ48EQV4P7TX,JRTCKXETXF,6Y3KHJ48EQV4P7TX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.023 per GB Storage Capacity in US East (N. Virginia) above bundle quota (250GB Bundle),2025-04-01,0,Inf,GB-Mo,0.0230000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,USE1-Storage:250GB-StorageOverage-Bytes,Storage250GB-Storage-Overage,Yes,,,No,,,,Storage:250GB Storage Capacity,,us-east-1,Amazon Lightsail,,
8MCANU6KDPJKRGGY,JRTCKXETXF,8MCANU6KDPJKRGGY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB Storage Capacity in US East (N. Virginia) bundle quota (100GB Bundle),2025-04-01,0,Inf,GB-Mo,0.0000000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,USE1-Storage:100GB-TotalStorage-Bytes,Storage100GB-Storage-Capacity,Yes,,,Yes,,,,Storage:100GB Storage Capacity,,us-east-1,Amazon Lightsail,,
8MKXMM5AY7PABCR3,JRTCKXETXF,8MKXMM5AY7PABCR3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.22043 / Hour of 32GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.2204300000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,8,32GB,640GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:32GB,Bundle:32GB,,7TB,,,,,,,,us-east-1,Amazon Lightsail,,
8VNEVTS68WM6JZDX,JRTCKXETXF,8VNEVTS68WM6JZDX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 / GB - data transfer in,2025-04-01,0,Inf,GB,0.0000000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Inbound,Global,Other,US East (N. Virginia),AWS Region,USE1-TotalDataXfer-In-Bytes,,Yes,,,Yes,,,,Data Transfer,,,Amazon Lightsail,,us-east-1
92NYY8D7XE2WMZ63,JRTCKXETXF,92NYY8D7XE2WMZ63.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 / GB for data transfer-out of US East (N. Virginia) above bundle quota,2025-04-01,0,Inf,GB,0.0900000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-Storage:250GB-DataXfer-Out-Overage-Bytes,Storage250GB-DataXferOutOverage,Yes,,,No,us-east-1,,,Storage:250GB Data Transfer,,,Amazon Lightsail,,
97SWRN2CVQK5JEY3,JRTCKXETXF,97SWRN2CVQK5JEY3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10 / GB-Month of attached block storage - US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.1000000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,1GB,,Lightsail Block Storage,Amount of Lightsail block storage disk usage in GB-Month,,,,,,USE1-DiskUsage,,,,,,,,,,,us-east-1,Amazon Lightsail,,
AN2XXQRRVQ6EEWZX,JRTCKXETXF,AN2XXQRRVQ6EEWZX.JRTCKXETXF.8EEUB22XNJ,OnDemand,$0.00 / hour of Static IP address not attached to an instance (first hour free),2025-04-01,0,1,Hrs,0.0000000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail unused static IP,Number of unused Lightsail static IP hours,,,,,,USE1-UnusedStaticIP,,,,,,,,,,,us-east-1,Amazon Lightsail,,
AN2XXQRRVQ6EEWZX,JRTCKXETXF,AN2XXQRRVQ6EEWZX.JRTCKXETXF.JTU8TKNAMW,OnDemand,$0.005 / hour of Static IP address not attached to an instance,2025-04-01,1,Inf,Hrs,0.0050000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail unused static IP,Number of unused Lightsail static IP hours,,,,,,USE1-UnusedStaticIP,,,,,,,,,,,us-east-1,Amazon Lightsail,,
AY3XG56WNUTRZ9XT,JRTCKXETXF,AY3XG56WNUTRZ9XT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.21505 / Hour of 32GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.2150500000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,8,32GB,640GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:32GB_IPv6,Bundle:32GB_IPv6,,7TB,,,,,,,,us-east-1,Amazon Lightsail,,
BR87FKR963FJ9A6K,JRTCKXETXF,BR87FKR963FJ9A6K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0538 / Hour for Container Service Node of Power-Medium(1CPU-2GB) - US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0537634410,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,1,2GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Medium-1CPU-2GB,ContainerSvc:Medium-1CPU-2GB,,500GB,,,,,No,,Medium,us-east-1,Amazon Lightsail,,
BVZXMH7F4UF2SP8B,JRTCKXETXF,BVZXMH7F4UF2SP8B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0134 / Hour for Container Service Node of Power-Micro(0.25CPU-1GB) - US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0134408600,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,0.25,1GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Micro-0.25CPU-1GB,ContainerSvc:Micro-0.25CPU-1GB,,500GB,,,,,No,,Micro,us-east-1,Amazon Lightsail,,
D27UT4RVGWXEGAG4,JRTCKXETXF,D27UT4RVGWXEGAG4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1075 / Hour for Container Service Node of Power-Large(2CPU-4GB) - US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.1075268820,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,2,4GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Large-2CPU-4GB,ContainerSvc:Large-2CPU-4GB,,500GB,,,,,No,,Large,us-east-1,Amazon Lightsail,,
D34PEEARKYFU56RB,JRTCKXETXF,D34PEEARKYFU56RB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 / GB total data transfer-out of US East (N. Virginia) bundle quota,2025-04-01,0,Inf,GB,0.0000000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-Storage:250GB-TotalDataXfer-Out-Bytes,Storage250GB-DataXferOut,Yes,,,NA,us-east-1,,,Storage:250GB Data Transfer,,,Amazon Lightsail,,
D5MZDUQZCJE8NHT7,JRTCKXETXF,D5MZDUQZCJE8NHT7.JRTCKXETXF.TKQXKGP374,OnDemand,$0.0 / Hour for Container Service Node of Power-Micro(0.25CPU-1GB)-Free - US East (N. Virginia),2025-04-01,0,750,Hrs,0.0000000000,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,0.25,1GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Micro-0.25CPU-1GB-Free,ContainerSvc:Micro-0.25CPU-1GB,,500GB,,,,,Yes,,Micro (Free),us-east-1,Amazon Lightsail,,
D5MZDUQZCJE8NHT7,JRTCKXETXF,D5MZDUQZCJE8NHT7.JRTCKXETXF.9GF73R9NUV,OnDemand,$0.0134 / Hour for Container Service Node of Power-Micro(0.25CPU-1GB) - US East (N. Virginia),2025-04-01,750,Inf,Hrs,0.0134408600,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,0.25,1GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Micro-0.25CPU-1GB-Free,ContainerSvc:Micro-0.25CPU-1GB,,500GB,,,,,Yes,,Micro (Free),us-east-1,Amazon Lightsail,,
D6RY8Q3T2RREEHFK,JRTCKXETXF,D6RY8Q3T2RREEHFK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1613 / Hour of 4GB High Availability Database bundle,2025-04-01,0,Inf,Hrs,0.1612900000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,2,4GB,120GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:4GB_ha,RelationalDatabase,,0.1TB,MySQL/PostgreSQL,,,Yes,,,,us-east-1,Amazon Lightsail,,
DBTECGU9CKTY5GMR,JRTCKXETXF,DBTECGU9CKTY5GMR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 / CDN Bundle: 50GB Free Trial,2025-04-01,0,Inf,Bundles,0.0000000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail CDN,Lightsail CDN bundle subscription fee,,,,,,CDN-BundleUsage:50GB_FreeTrial,CDN-Bundle:50GB_FreeTrial,,50GB (Free Trial),,,,,,,,us-east-1,Amazon Lightsail,,
DMZY72E2CJ9H9369,JRTCKXETXF,DMZY72E2CJ9H9369.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 / GB for data transfer-out of US East (N. Virginia) above bundle quota,2025-04-01,0,Inf,GB,0.0900000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-Storage:25GB-DataXfer-Out-Overage-Bytes,Storage25GB-DataXferOutOverage,Yes,,,No,us-east-1,,,Storage:25GB Data Transfer,,,Amazon Lightsail,,
DN522PS4B8M4APHK,JRTCKXETXF,DN522PS4B8M4APHK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.00 / CDN Bundle: 200GB,2025-04-01,0,Inf,Bundles,10.0000000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail CDN,Lightsail CDN bundle subscription fee,,,,,,CDN-BundleUsage:200GB,CDN-Bundle:200GB,,200GB,,,,,,,,us-east-1,Amazon Lightsail,,
DRJSEK3R67SHGCRW,JRTCKXETXF,DRJSEK3R67SHGCRW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.32258 / Hour of 32GB IPv6 bundle Instance  (Windows) ,2025-04-01,0,Inf,Hrs,0.3225800000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,8,32GB,640GB,Windows,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:32GB_win_IPv6,Bundle:32GB_IPv6,,7TB,,,,,,,,us-east-1,Amazon Lightsail,,
E879UPK2DS9QFPPA,JRTCKXETXF,E879UPK2DS9QFPPA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 / GB - data transfer out for US East (N. Virginia),2025-04-01,0,Inf,GB,0.0000000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-TotalDataXfer-Out-Bytes,,NA,,,NA,us-east-1,,,Data Transfer,,,Amazon Lightsail,,
F9SGT3WUS6CVDXGD,JRTCKXETXF,F9SGT3WUS6CVDXGD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 / GB data transfer out to free destinations,2025-04-01,0,Inf,GB,0.0000000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,US East (N. Virginia),AWS Region,USE1-DataXfer-Out-Other-Bytes,,Yes,,,Yes,us-east-1,,,Data Transfer,,,Amazon Lightsail,,us-east-1
FGD6JZKDW23KD7KR,JRTCKXETXF,FGD6JZKDW23KD7KR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.11290 / Hour of 16GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.1129000000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,4,16GB,320GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:16GB,Bundle:16GB,,6TB,,,,,,,,us-east-1,Amazon Lightsail,,
FUZFBMNEZVN47WEC,JRTCKXETXF,FUZFBMNEZVN47WEC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05913 / Hour of 8GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.0591300000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,8GB,160GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:8GB,Bundle:8GB,,5TB,,,,,,,,us-east-1,Amazon Lightsail,,
GAUXVS6NEKG2HFEG,JRTCKXETXF,GAUXVS6NEKG2HFEG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10752 / Hour of 16GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.1075200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,4,16GB,320GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:16GB_IPv6,Bundle:16GB_IPv6,,6TB,,,,,,,,us-east-1,Amazon Lightsail,,
GFWU6DQ7MD3BW34C,JRTCKXETXF,GFWU6DQ7MD3BW34C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 / GB-Month of snapshot data stored - US East (Northern Virginia),2025-04-01,0,Inf,GB-Mo,0.0500000000,USD,Lightsail Snapshot,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Instance Snapshot,Number of Lightsail Instance snapshot in GB-Month,,,,,,USE1-InstanceSnapshot,,,,,,,,,,,us-east-1,Amazon Lightsail,,
GMJNB4RY4WC6XHGN,JRTCKXETXF,GMJNB4RY4WC6XHGN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0242 / Hour of Load Balancer usage - US East (Northern Virginia),2025-04-01,0,Inf,Hrs,0.0241935480,USD,Lightsail Load Balancing,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Load Balancer,Number of Lightsail Load Balancer hours,,,,,,USE1-LoadBalancerUsage,LoadBalancer,,,,,,,,,,us-east-1,Amazon Lightsail,,
HN9EZG8DJEXXDVPK,JRTCKXETXF,HN9EZG8DJEXXDVPK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00470 / Hour of 0.5GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.0047000000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,0.5GB,20GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:0.5GB_IPv6,Bundle:0.5GB_IPv6,,1TB,,,,,,,,us-east-1,Amazon Lightsail,,
K6VEWRR5HVAWHMJY,JRTCKXETXF,K6VEWRR5HVAWHMJY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.51612 / Hour of 64GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.5161200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,16,64GB,1280GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:64GB,Bundle:64GB,,8TB,,,,,,,,us-east-1,Amazon Lightsail,,
