SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,vCPU,Memory,Storage,Operating System,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Counts Against Quota,Data Transfer Quota,Engine,Free Overage,From Region Code,High Availability,IsFree,Overage Type,Power,Region Code,serviceName,Storage Capacity Quota,To Region Code
SABDBQQU9BJWZ2NX,JRTCKXETXF,SABDBQQU9BJWZ2NX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01075 / Hour of 0.5GB IPv6 bundle Instance (Windows) ,2025-04-01,0,Inf,Hrs,0.0107500000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,0.5GB,30GB,Windows,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:0.5GB_win_IPv6,Bundle:0.5GB_IPv6,,1TB,,,,,,,,us-east-1,Amazon Lightsail,,
SH428PJK6ZQ2J5K2,JRTCKXETXF,SH428PJK6ZQ2J5K2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0403 / Hour of 2GB Standard Database bundle,2025-04-01,0,Inf,Hrs,0.0403200000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,1,2GB,80GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:2GB,RelationalDatabase,,0.1TB,MySQL/PostgreSQL,,,No,,,,us-east-1,Amazon Lightsail,,
SQU8NCXXE2JXX6HE,JRTCKXETXF,SQU8NCXXE2JXX6HE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0202 / Hour of 1GB Standard Database bundle,2025-04-01,0,Inf,Hrs,0.0201600000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,1,1GB,40GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:1GB,RelationalDatabase,,0.1TB,MySQL/PostgreSQL,,,No,,,,us-east-1,Amazon Lightsail,,
SXK3RNCY7A9RBGUN,JRTCKXETXF,SXK3RNCY7A9RBGUN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01276 / Hour of 0.5GB bundle Instance including public IPv4 address (Windows),2025-04-01,0,Inf,Hrs,0.0127600000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,0.5GB,30GB,Windows,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:0.5GB_win,Bundle:0.5GB,,1TB,,,,,,,,us-east-1,Amazon Lightsail,,
T7MQ998NVHH4A5SP,JRTCKXETXF,T7MQ998NVHH4A5SP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.2151 / Hour for Container Service Node of Power-XLarge(4CPU-8GB) - US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.2150537630,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,4,8GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:XLarge-4CPU-8GB,ContainerSvc:XLarge-4CPU-8GB,,500GB,,,,,No,,XLarge,us-east-1,Amazon Lightsail,,
TQGBMHHFTYH64T5X,JRTCKXETXF,TQGBMHHFTYH64T5X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5.00 / Storage Bundle:250GB in US East (N. Virginia),2025-04-01,0,Inf,Bundles,5.0000000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail object storage,Lightsail object storage bundle subscription fee,,,,,,USE1-Storage-BundleUsage:250GB,Storage-Bundle:250GB,,500GB,,,,,,,,us-east-1,Amazon Lightsail,250GB,
TQJ5MK8JDSQV9C2W,JRTCKXETXF,TQJ5MK8JDSQV9C2W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01612 / Hour of 2GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.0161200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,2GB,60GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:2GB,Bundle:2GB,,3TB,,,,,,,,us-east-1,Amazon Lightsail,,
TVRJUC9D5VVSWH8Q,JRTCKXETXF,TVRJUC9D5VVSWH8Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0094 / Hour for Container Service Node of Power-Nano(0.25CPU-0.5GB) - US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0094086020,USD,Lightsail Containers,AmazonLightsail,US East (N. Virginia),AWS Region,0.25,0.5GB,NA,Linux,Lightsail Container,Number of Lightsail Container Service hours,,,,,,USE1-ContainerSvcUsage:Nano-0.25CPU-0.5GB,ContainerSvc:Nano-0.25CPU-0.5GB,,500GB,,,,,No,,Nano,us-east-1,Amazon Lightsail,,
U889FW8J4XS8752T,JRTCKXETXF,U889FW8J4XS8752T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00672 / Hour of 0.5GB bundle Instance including public IPv4 address,2025-04-01,0,Inf,Hrs,0.0067200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,0.5GB,20GB,Linux,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:0.5GB,Bundle:0.5GB,,1TB,,,,,,,,us-east-1,Amazon Lightsail,,
U8MHZFACH23PGJ6S,JRTCKXETXF,U8MHZFACH23PGJ6S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0403 / Hour of 1GB High Availability Database bundle,2025-04-01,0,Inf,Hrs,0.0403200000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,1,1GB,40GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:1GB_ha,RelationalDatabase,,0.1TB,MySQL/PostgreSQL,,,Yes,,,,us-east-1,Amazon Lightsail,,
