SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Region Code,serviceName
D3YZXYDYCJWNY8AA,JRTCKXETXF,D3YZXYDYCJWNY8AA.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of InferSNOMEDCT-Batch at USD 0.0075 per Unit,2022-10-01,0,1000000,Units,0.0075000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,ComprehendMedical-InferSNOMEDCT,USE1-ComprehendMedical-Batching-IAD-Prod,SNOMEDCTInference,us-east-1,Comprehend Medical
D3YZXYDYCJWNY8AA,JRTCKXETXF,D3YZXYDYCJWNY8AA.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of InferSNOMEDCT-Batch at USD 0.00375 per Unit,2022-10-01,1000000,2000000,Units,0.0037500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,ComprehendMedical-InferSNOMEDCT,USE1-ComprehendMedical-Batching-IAD-Prod,SNOMEDCTInference,us-east-1,Comprehend Medical
D3YZXYDYCJWNY8AA,JRTCKXETXF,D3YZXYDYCJWNY8AA.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of InferSNOMEDCT-Batch at USD 0.00075 per Unit,2022-10-01,2000000,Inf,Units,0.0007500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,ComprehendMedical-InferSNOMEDCT,USE1-ComprehendMedical-Batching-IAD-Prod,SNOMEDCTInference,us-east-1,Comprehend Medical
J76STS5EC7H3A28Z,JRTCKXETXF,J76STS5EC7H3A28Z.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of InferICD10CM-Batch at USD 0.0005 per Unit,2022-10-01,0,1000000,Units,0.0005000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-ComprehendMedical-Batching-IAD-Prod,ICD10CMInference,us-east-1,Comprehend Medical
J76STS5EC7H3A28Z,JRTCKXETXF,J76STS5EC7H3A28Z.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of InferICD10CM-Batch at USD 0.0005 per Unit,2022-10-01,1000000,2000000,Units,0.0005000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-ComprehendMedical-Batching-IAD-Prod,ICD10CMInference,us-east-1,Comprehend Medical
J76STS5EC7H3A28Z,JRTCKXETXF,J76STS5EC7H3A28Z.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of InferICD10CM-Batch at USD 0.00025 per Unit,2022-10-01,2000000,Inf,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-ComprehendMedical-Batching-IAD-Prod,ICD10CMInference,us-east-1,Comprehend Medical
JWGJEKPG4TTWNCDN,JRTCKXETXF,JWGJEKPG4TTWNCDN.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of DetectEntities-Sync at USD 0.01 per Unit,2022-10-01,0,1000000,Unit,0.0100000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectEntities,USE1-DetectEntities,DetectEntities,us-east-1,Comprehend Medical
JWGJEKPG4TTWNCDN,JRTCKXETXF,JWGJEKPG4TTWNCDN.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of DetectEntities-Sync at USD 0.005 per Unit,2022-10-01,1000000,2000000,Unit,0.0050000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectEntities,USE1-DetectEntities,DetectEntities,us-east-1,Comprehend Medical
JWGJEKPG4TTWNCDN,JRTCKXETXF,JWGJEKPG4TTWNCDN.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of DetectEntities-Sync at USD 0.001 per Unit,2022-10-01,2000000,Inf,Unit,0.0010000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectEntities,USE1-DetectEntities,DetectEntities,us-east-1,Comprehend Medical
N9TD7F9XBB6CF8FN,JRTCKXETXF,N9TD7F9XBB6CF8FN.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of DetectEntities-Batch at USD 0.01 per Unit,2022-10-01,0,1000000,Units,0.0100000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectEntities,USE1-ComprehendMedical-Batching-IAD-Prod,EntitiesDetection,us-east-1,Comprehend Medical
N9TD7F9XBB6CF8FN,JRTCKXETXF,N9TD7F9XBB6CF8FN.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of DetectEntities-Batch at USD 0.005 per Unit,2022-10-01,1000000,2000000,Units,0.0050000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectEntities,USE1-ComprehendMedical-Batching-IAD-Prod,EntitiesDetection,us-east-1,Comprehend Medical
N9TD7F9XBB6CF8FN,JRTCKXETXF,N9TD7F9XBB6CF8FN.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of DetectEntities-Batch at USD 0.001 per Unit,2022-10-01,2000000,Inf,Units,0.0010000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectEntities,USE1-ComprehendMedical-Batching-IAD-Prod,EntitiesDetection,us-east-1,Comprehend Medical
QAE3GJXECFM8ZG6C,JRTCKXETXF,QAE3GJXECFM8ZG6C.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of InferSNOMEDCT-Sync at USD 0.0075 per Unit,2022-10-01,0,1000000,Units,0.0075000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,ComprehendMedical-InferSNOMEDCT,USE1-InferSNOMEDCT,InferSNOMEDCT,us-east-1,Comprehend Medical
QAE3GJXECFM8ZG6C,JRTCKXETXF,QAE3GJXECFM8ZG6C.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of InferSNOMEDCT-Sync at USD 0.00375 per Unit,2022-10-01,1000000,2000000,Units,0.0037500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,ComprehendMedical-InferSNOMEDCT,USE1-InferSNOMEDCT,InferSNOMEDCT,us-east-1,Comprehend Medical
QAE3GJXECFM8ZG6C,JRTCKXETXF,QAE3GJXECFM8ZG6C.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of InferSNOMEDCT-Sync at USD 0.00075 per Unit,2022-10-01,2000000,Inf,Units,0.0007500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,ComprehendMedical-InferSNOMEDCT,USE1-InferSNOMEDCT,InferSNOMEDCT,us-east-1,Comprehend Medical
UNWZCSFZ3K736HVW,JRTCKXETXF,UNWZCSFZ3K736HVW.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of InferRxNorm-Sync at USD 0.00025 per Unit,2022-10-01,0,1000000,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-InferRxNorm,InferRxNorm,us-east-1,Comprehend Medical
UNWZCSFZ3K736HVW,JRTCKXETXF,UNWZCSFZ3K736HVW.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of InferRxNorm-Sync at USD 0.00025 per Unit,2022-10-01,1000000,2000000,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-InferRxNorm,InferRxNorm,us-east-1,Comprehend Medical
UNWZCSFZ3K736HVW,JRTCKXETXF,UNWZCSFZ3K736HVW.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of InferRxNorm-Sync at USD 0.00025 per Unit,2022-10-01,2000000,Inf,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-InferRxNorm,InferRxNorm,us-east-1,Comprehend Medical
