SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,1-Year Price,3-Year Price,Device Description,Extra Day Fee,Free Days,From Region Code,Job Fee,Job-N-Shipp,PlatoSnowballType,Region Code,Release Type,serviceName,Snowball Type,To Region Code
QYJBBC2EMNJFQFZ4,JRTCKXETXF,QYJBBC2EMNJFQFZ4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$29,200 per Job per year for Snowball Edge Compute Optimized with 52 vCPU,2025-01-01,0,Inf,job,29200.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-CO-52vCPU-1YearFee,,,,,,,,,Yearly_52,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,SBE Compute Optimized,
RTHUXBCQ3N4QCZPW,JRTCKXETXF,RTHUXBCQ3N4QCZPW.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Edge Storage Optimized 210TB Service and Ship Fee - Us-east-1 - N.Vriginia,2025-01-01,0,Inf,job,1.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-SO-V35S-Service-Ship,,,,Snowball Edge Storage Optimized 210TB - Data Transfer Only,250,15,,3200,Monthly,Snowball Edge SO,us-east-1,Full Launch,AWS Import/Export Snowball,Edge_V3_5S,
RW3P3C5YP8GA2Z6X,JRTCKXETXF,RW3P3C5YP8GA2Z6X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$9885 per job per month for Snowball Edge Storage Optimized 210TB - Us-east-1 - N.Vriginia,2025-01-01,0,Inf,job,9885.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-SO-V35S-MonthlyFee,,,,Snowball Edge Storage Optimized 210TB-Monthly,0,0,,9885,MonthlyE_104,Snowball Edge SO,us-east-1,Full Launch,AWS Import/Export Snowball,Edge_V3_5S,
XBNTN4NJT47GT2Y2,JRTCKXETXF,XBNTN4NJT47GT2Y2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Edge Storage Optimized up to 100TB Service and Ship Fee-us-east-1-iAD,2025-01-01,0,Inf,job,1.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-SO-Service-Ship-100TB,,,,Snowball Edge Storage Optimized up to 100TB Data Transfer,250,15,,1800,Combined,Snowball Edge SO - 210TB,us-east-1,Full Launch,AWS Import/Export Snowball,Edge_V3_5S,
XMGWYJPSY4UA5TXB,JRTCKXETXF,XMGWYJPSY4UA5TXB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$37,960 per Job per year for Snowball Edge Compute Optimized with 104 vCPU,2025-01-01,0,Inf,job,37960.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-CO-104vCPU-1YearFee,,,,,,,,,Yearly_104,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,SBE Compute Optimized,
XNHC9UKSU3PRB3FC,JRTCKXETXF,XNHC9UKSU3PRB3FC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Edge Compute Optimized Service and Ship Fee - US-East-1 - N. Virginia,2025-01-01,0,Inf,Jobs,1.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,IAD-SBE-compute-Service-Ship,,29200,60225,Snowball Edge Compute Optimized with EC2 Compute Instances,125,10,,1250,Combined,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,SBE Compute Optimized,
XSQVRGAX4CQBGCCJ,JRTCKXETXF,XSQVRGAX4CQBGCCJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3,875 per Job per month for Snowball Edge Compute Optimized with 52 vCPU,2025-01-01,0,Inf,job,3875.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-CO-52vCPU-MonthlyFee,,,,,,,,,Monthly_52,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,SBE Compute Optimized,
XZ3WKPQ8XBSUVG2M,JRTCKXETXF,XZ3WKPQ8XBSUVG2M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.12 per GB per year for S3 compatible storage on Snow,2025-01-01,0,Inf,GB,0.1200000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-S3SnowEdgeCompute-1YearFee,,,,,,,,,Annual,does not apply,us-east-1,Full Launch,AWS Import/Export Snowball,does not apply,
Z95QBM4S64FB937W,JRTCKXETXF,Z95QBM4S64FB937W.JRTCKXETXF.6YS6EN2CT7,OnDemand,Replacement job fee for Snowball Edge Compute Optimized,2025-01-01,0,Inf,Jobs,1.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-Compute-ReplaceJobFee,,,,,,,,1250,Replacement,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,SBE Compute Optimized,
ZQSRBYK7MXAJGWHZ,JRTCKXETXF,ZQSRBYK7MXAJGWHZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Service and Ship Fee - US-East-1 - N. Virginia,2025-01-01,0,Inf,job,1.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,Snowball-Service-Fee-N-Shipping,,,,,,,,,Combined,Snowball Edge SO,us-east-1,Full Launch,AWS Import/Export Snowball,Standard,
