SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Region Code,serviceName
KJ5H65YWPQW93V8U,JRTCKXETXF,KJ5H65YWPQW93V8U.JRTCKXETXF.6YS6EN2CT7,OnDemand,Cognito Sync operation,2017-08-01,0,Inf,CognitoSyncOp-Mo,0.0000150000,USD,Sync Operation,AmazonCognitoSync,US East (N. Virginia),AWS Region,CognitoSyncOperation,CognitoSync,us-east-1,Amazon Cognito Sync
U4JWJQJGSMPCZ46F,JRTCKXETXF,U4JWJQJGSMPCZ46F.JRTCKXETXF.6YS6EN2CT7,OnDemand,Cognito Sync store space,2017-08-01,0,Inf,GB-Mo,0.1500000000,USD,Sync Storage,AmazonCognitoSync,US East (N. Virginia),AWS Region,TimedStorage-ByteHrs,CognitoStorage,us-east-1,Amazon Cognito Sync
