SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Memory,Network Performance,Storage Media,Transfer Type,usageType,operation,Engine,Normalization Size Factor,Region Code,serviceName,SSD,Type
2BFCDBVMCWFACUWC,JRTCKXETXF,2BFCDBVMCWFACUWC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.021 per additional GB-month of backup storage exceeding free allocation in US East (N. Virginia) for Valkey,2025-03-01,0,Inf,GB-Mo,0.0210000000,USD,,,,,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,,,,,,,Amazon S3,,USE1-SnapshotUsage:Valkey,CreateSnapshot,Valkey,,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,38NPMPTW36,38QAM5PCMHW9GW4X.38NPMPTW36.6YS6EN2CT7,Reserved,AmazonMemoryDB,db.r7g.2xlarge reserved instance applied,2025-03-26,0,Inf,Hrs,0.2960000000,USD,,3yr,Partial Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,38NPMPTW36,38QAM5PCMHW9GW4X.38NPMPTW36.2TG2D8R56U,Reserved,Upfront Fee,2025-03-26,,,Quantity,7770.47,USD,,3yr,Partial Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,4NA7Y494T4,38QAM5PCMHW9GW4X.4NA7Y494T4.6YS6EN2CT7,Reserved,AmazonMemoryDB,db.r7g.2xlarge reserved instance applied,2025-03-26,0,Inf,Hrs,0.8380000000,USD,,1yr,No Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,6QCMYABX3D,38QAM5PCMHW9GW4X.6QCMYABX3D.6YS6EN2CT7,Reserved,AmazonMemoryDB,db.r7g.2xlarge reserved instance applied,2025-03-26,0,Inf,Hrs,0.0000000000,USD,,1yr,All Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,6QCMYABX3D,38QAM5PCMHW9GW4X.6QCMYABX3D.2TG2D8R56U,Reserved,Upfront Fee,2025-03-26,,,Quantity,6907.085,USD,,1yr,All Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,BPH4J8HBKS,38QAM5PCMHW9GW4X.BPH4J8HBKS.6YS6EN2CT7,Reserved,AmazonMemoryDB,db.r7g.2xlarge reserved instance applied,2025-03-26,0,Inf,Hrs,0.6410000000,USD,,3yr,No Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,HU7G6KETJZ,38QAM5PCMHW9GW4X.HU7G6KETJZ.6YS6EN2CT7,Reserved,AmazonMemoryDB,db.r7g.2xlarge reserved instance applied,2025-03-26,0,Inf,Hrs,0.4000000000,USD,,1yr,Partial Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,HU7G6KETJZ,38QAM5PCMHW9GW4X.HU7G6KETJZ.2TG2D8R56U,Reserved,Upfront Fee,2025-03-26,,,Quantity,3507.504,USD,,1yr,Partial Upfront,standard,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
38QAM5PCMHW9GW4X,JRTCKXETXF,38QAM5PCMHW9GW4X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.232 per Memory optimized r7g.2xlarge node hour in US East (N. Virginia),2025-03-01,0,Inf,Hrs,1.2320000000,USD,,,,,Amazon MemoryDB,AmazonMemoryDB,US East (N. Virginia),AWS Region,db.r7g.2xlarge,Yes,Memory optimized,8,52.82,Up to 15,,,USE1-NodeUsage:db.r7g.2xlarge,CreateCluster,Redis,16,us-east-1,Amazon MemoryDB,,
