SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Data Type,Region Code,serviceName
39YMM87R7C62S2FB,JRTCKXETXF,39YMM87R7C62S2FB.JRTCKXETXF.JXGPBPHWFF,OnDemand,USD 2.00 per GB for the first 1,000GB / month of data analyzed US East (N.Virginia) region,2023-09-01,0,1000,GB,2.0000000000,USD,Amazon Detective,AmazonDetective,US East (N. Virginia),AWS Region,USE1-PaidDataAnalyzed-Bytes,,Data-Paid,us-east-1,Amazon Detective
39YMM87R7C62S2FB,JRTCKXETXF,39YMM87R7C62S2FB.JRTCKXETXF.AXSXEJHBB3,OnDemand,USD 1.00 per GB for the next 4,000GB / month of data analyzed US East (N.Virginia) region,2023-09-01,1000,5000,GB,1.0000000000,USD,Amazon Detective,AmazonDetective,US East (N. Virginia),AWS Region,USE1-PaidDataAnalyzed-Bytes,,Data-Paid,us-east-1,Amazon Detective
39YMM87R7C62S2FB,JRTCKXETXF,39YMM87R7C62S2FB.JRTCKXETXF.7A9VFYDHVN,OnDemand,USD 0.50 per GB for the next 5,000GB / month of data analyzed US East (N.Virginia) region,2023-09-01,5000,10000,GB,0.5000000000,USD,Amazon Detective,AmazonDetective,US East (N. Virginia),AWS Region,USE1-PaidDataAnalyzed-Bytes,,Data-Paid,us-east-1,Amazon Detective
39YMM87R7C62S2FB,JRTCKXETXF,39YMM87R7C62S2FB.JRTCKXETXF.B536CJ4M58,OnDemand,USD 0.25 per GB over 10,000GB / month of data analyzed US East (N.Virginia) region,2023-09-01,10000,Inf,GB,0.2500000000,USD,Amazon Detective,AmazonDetective,US East (N. Virginia),AWS Region,USE1-PaidDataAnalyzed-Bytes,,Data-Paid,us-east-1,Amazon Detective
MVF27FZY26RSQWDP,JRTCKXETXF,MVF27FZY26RSQWDP.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.00 per GB of data analyzed (free trial) US East (N.Virginia) region,2023-09-01,0,Inf,GB,0.0000000000,USD,Amazon Detective,AmazonDetective,US East (N. Virginia),AWS Region,USE1-FreeDataAnalyzed-Bytes,,Data-Free,us-east-1,Amazon Detective
RFQESDTGDQ675AGA,JRTCKXETXF,RFQESDTGDQ675AGA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB of log data analyzed (Preview) US East (N.Virginia) region,2023-09-01,0,Inf,GB,0.0000000000,USD,Amazon Detective,AmazonDetective,US East (N. Virginia),AWS Region,USE1-PreviewLogsAnalyzed-Bytes,,Logs,us-east-1,Amazon Detective
