SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Current generation,Deployment option,usageType,operation,Cache Type,File cache type,File system type,Region Code,Request type,serviceName,Storage tier,Storage type,Throughput capacity
NBVNX9DNZ5P2CX4F,JRTCKXETXF,NBVNX9DNZ5P2CX4F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00040 per 1,000 read requests to ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000004000,USD,Request,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:CPoolStdRd,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,Read,Amazon FSx,,,
NEQFBB7RR8GSD2VB,JRTCKXETXF,NEQFBB7RR8GSD2VB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.52 per MBps-Month for provisioned Single-AZ (HA) OpenZFS throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.5200000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA_2,USE1-ThroughputCapacity.SAZ_HA2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
NXJD8KBTG7YXFF7F,JRTCKXETXF,NXJD8KBTG7YXFF7F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.250 per GB-Month of provisioned ONTAP Multi-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.2500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:SSD,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,SSD,N/A
PDUXG84BSR7J6HU9,JRTCKXETXF,PDUXG84BSR7J6HU9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.190 per GB-Month of provisioned persistent Lustre storage with 100 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,No,Persistent,USE1-Storage.SSD.100,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,100
PHVZ44MVC6KSTAB3,JRTCKXETXF,PHVZ44MVC6KSTAB3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0050 per 1,000 write requests to OpenZFS Intelligent-Tiering storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000050000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:INT_Write,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,Write,Amazon FSx,,,N/A
QCV7AHXZXX9UKQJ2,JRTCKXETXF,QCV7AHXZXX9UKQJ2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.200 per MBps-Month of provisioned ONTAP Multi-AZ throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,1.2000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ThroughputCapacity.MAZ,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
QPFC9SWZVYSK25J4,JRTCKXETXF,QPFC9SWZVYSK25J4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month for OpenZFS backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,N/A,USE1-BackupUsage,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
R7VCKBN9NJXDZVS2,JRTCKXETXF,R7VCKBN9NJXDZVS2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.125 per GB-Month of provisioned ONTAP Single-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1250000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-Storage.SAZ_2N:SSD,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,SSD,N/A
R8RSJK5X2HX72T26,JRTCKXETXF,R8RSJK5X2HX72T26.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.26 per MBps-Month for provisioned Single-AZ OpenZFS throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.2600000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2,USE1-ThroughputCapacity.SAZ2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
RG4Q72WKSZ9AK32M,JRTCKXETXF,RG4Q72WKSZ9AK32M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month of FSx for Lustre backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Persistent,USE1-BackupUsage,CreateFileSystem:Lustre,,,Lustre,us-east-1,,Amazon FSx,,,
