SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Description,Location,Location Type,Instance Type,Current Generation,vCPU,Memory,Storage,I/O,Storage Media,usageType,operation,ConcurrencyScalingFreeUsage,ECU,Payment Option,Pricing Unit,Region Code,serviceName,Term,Usage Family
PEBGRJVCPBYR69ZP,JRTCKXETXF,PEBGRJVCPBYR69ZP.JRTCKXETXF.6YS6EN2CT7,OnDemand,Redshift Cross Region Data Sharing transfer charges,2025-05-01,0,Inf,GB,0.0200000000,USD,,,,Redshift Inter Region Data Transfer,AmazonRedshift,Redshift Cross-Region Snapshot Copy Charges,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:InterRegionSnapshotCopy,,,,,,us-east-1,Amazon Redshift,,
QFBQQ3GEGTGEYNWP,JRTCKXETXF,QFBQQ3GEGTGEYNWP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Redshift Concurrency Scaling RA3.4XL Node-second - Free Usage,2025-05-01,0,Inf,seconds,0.0000000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.4xlarge,Yes,,,,,,CSFreeUsage:ra3.4xlarge,,Yes,,,,us-east-1,Amazon Redshift,,RA3
RG8F639ZXXB5WJ4P,JRTCKXETXF,RG8F639ZXXB5WJ4P.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00133 per Redshift Concurrency Scaling DC2.8XL Node-second,2025-05-01,0,Inf,seconds,0.0013300000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,dc2.8xlarge,Yes,,,,,,CS:dc2.8xlarge,,No,,,,us-east-1,Amazon Redshift,,Dense Compute
TEQS4F3DZW2FQ3W4,JRTCKXETXF,TEQS4F3DZW2FQ3W4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.293 per RPU for Redshift serverless capacity reservations usage in US East (N. Virginia),2025-05-01,0,Inf,RPU-Hr,0.2930000000,USD,,,,Serverless,AmazonRedshift,,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:ServerlessUsage-CR-1YR-NU,RunServerlessCompute:001,,,No Upfront,,us-east-1,Amazon Redshift,1 Year,
V3SQDWYU5P43BXJU,38NPMPTW36,V3SQDWYU5P43BXJU.38NPMPTW36.6YS6EN2CT7,Reserved,Redshift,ra3.16xlarge reserved instance applied,2025-05-12,0,Inf,Hrs,2.5754000000,USD,3yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,38NPMPTW36,V3SQDWYU5P43BXJU.38NPMPTW36.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,67681.5,USD,3yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,4NA7Y494T4,V3SQDWYU5P43BXJU.4NA7Y494T4.6YS6EN2CT7,Reserved,Redshift,ra3.16xlarge reserved instance applied,2025-05-12,0,Inf,Hrs,9.1280000000,USD,1yr,No Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,6QCMYABX3D,V3SQDWYU5P43BXJU.6QCMYABX3D.6YS6EN2CT7,Reserved,Redshift,ra3.16xlarge reserved instance applied,2025-05-12,0,Inf,Hrs,0.0000000000,USD,1yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,6QCMYABX3D,V3SQDWYU5P43BXJU.6QCMYABX3D.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,75392,USD,1yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,BPH4J8HBKS,V3SQDWYU5P43BXJU.BPH4J8HBKS.6YS6EN2CT7,Reserved,Redshift,ra3.16xlarge reserved instance applied,2025-05-12,0,Inf,Hrs,5.6724000000,USD,3yr,No Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,HU7G6KETJZ,V3SQDWYU5P43BXJU.HU7G6KETJZ.6YS6EN2CT7,Reserved,Redshift,ra3.16xlarge reserved instance applied,2025-05-12,0,Inf,Hrs,4.3683790000,USD,1yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,HU7G6KETJZ,V3SQDWYU5P43BXJU.HU7G6KETJZ.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,38267,USD,1yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,JRTCKXETXF,V3SQDWYU5P43BXJU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$13.04 per Redshift RA3.16XL Compute Node-hour (or partial hour),2025-05-01,0,Inf,Hrs,13.0400000000,USD,,,,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,NQ3QZPMQV9,V3SQDWYU5P43BXJU.NQ3QZPMQV9.6YS6EN2CT7,Reserved,Redshift,ra3.16xlarge reserved instance applied,2025-05-12,0,Inf,Hrs,0.0000000000,USD,3yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
V3SQDWYU5P43BXJU,NQ3QZPMQV9,V3SQDWYU5P43BXJU.NQ3QZPMQV9.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,128509,USD,3yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,48,384 GiB,64TB RMS,8.00 GB/s,,Node:ra3.16xlarge,RunComputeNode:0001,,148.5,,,us-east-1,Amazon Redshift,,RA3
VB9BENVE2UGTG6YK,JRTCKXETXF,VB9BENVE2UGTG6YK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00007 per Redshift Concurrency Scaling DC2.L Node-second,2025-05-01,0,Inf,seconds,0.0000700000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,dc2.large,Yes,,,,,,CS:dc2.large,,No,,,,us-east-1,Amazon Redshift,,Dense Compute
VCKA5ZPJGJYVAZ8B,JRTCKXETXF,VCKA5ZPJGJYVAZ8B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00189 per Redshift Concurrency Scaling DS2.8XL Node-second,2025-05-01,0,Inf,seconds,0.0018900000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ds2.8xlarge,Yes,,,,,,CS:ds2.8xlarge,,No,,,,us-east-1,Amazon Redshift,,Dense Storage
WMJBZZW5JG7U6TPH,JRTCKXETXF,WMJBZZW5JG7U6TPH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0003 per Redshift Concurrency Scaling RA3.XLPLUS Node-second,2025-05-01,0,Inf,seconds,0.0003000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.xlplus,Yes,,,,,,CS:ra3.xlplus,,No,,,,us-east-1,Amazon Redshift,,RA3
WS5KM3KFMCARWVWD,JRTCKXETXF,WS5KM3KFMCARWVWD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00024 per Redshift Concurrency Scaling DS2.XL Node-second,2025-05-01,0,Inf,seconds,0.0002400000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ds2.xlarge,Yes,,,,,,CS:ds2.xlarge,,No,,,,us-east-1,Amazon Redshift,,Dense Storage
WUPFACH4FBSJPBRP,JRTCKXETXF,WUPFACH4FBSJPBRP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5 per TB of data scanned,2025-05-01,0,Inf,Terabytes,5.0000000000,USD,,,,Redshift Data Scan,AmazonRedshift,Data scanned per query for each successful or cancelled query,US East (N. Virginia),AWS Region,,,,,,,,USE1-DataScanned,,,,,,us-east-1,Amazon Redshift,,
X7VUXVP7NERMPM9U,JRTCKXETXF,X7VUXVP7NERMPM9U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.024 per GB-Mo for RMS:ra3.16xlarge in US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0240000000,USD,,,,Redshift Managed Storage,AmazonRedshift,Storage charges with Redshift managed storage,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,,,,,,RMS:ra3.16xlarge,,,,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,38NPMPTW36,YQV5REMUWQM38HB9.38NPMPTW36.6YS6EN2CT7,Reserved,Redshift,ra3.large reserved instance applied,2025-05-12,0,Inf,Hrs,0.1072500000,USD,3yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,38NPMPTW36,YQV5REMUWQM38HB9.38NPMPTW36.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,2819,USD,3yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,4NA7Y494T4,YQV5REMUWQM38HB9.4NA7Y494T4.6YS6EN2CT7,Reserved,Redshift,ra3.large reserved instance applied,2025-05-12,0,Inf,Hrs,0.3801000000,USD,1yr,No Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,6QCMYABX3D,YQV5REMUWQM38HB9.6QCMYABX3D.6YS6EN2CT7,Reserved,Redshift,ra3.large reserved instance applied,2025-05-12,0,Inf,Hrs,0.0000000000,USD,1yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,6QCMYABX3D,YQV5REMUWQM38HB9.6QCMYABX3D.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,3141,USD,1yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,BPH4J8HBKS,YQV5REMUWQM38HB9.BPH4J8HBKS.6YS6EN2CT7,Reserved,Redshift,ra3.large reserved instance applied,2025-05-12,0,Inf,Hrs,0.2362500000,USD,3yr,No Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,HU7G6KETJZ,YQV5REMUWQM38HB9.HU7G6KETJZ.6YS6EN2CT7,Reserved,Redshift,ra3.large reserved instance applied,2025-05-12,0,Inf,Hrs,0.1820000000,USD,1yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,HU7G6KETJZ,YQV5REMUWQM38HB9.HU7G6KETJZ.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,1594,USD,1yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,JRTCKXETXF,YQV5REMUWQM38HB9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.543 per Redshift RA3.LARGE Compute Node-hour (or partial hour),2025-05-01,0,Inf,Hrs,0.5430000000,USD,,,,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,NQ3QZPMQV9,YQV5REMUWQM38HB9.NQ3QZPMQV9.6YS6EN2CT7,Reserved,Redshift,ra3.large reserved instance applied,2025-05-12,0,Inf,Hrs,0.0000000000,USD,3yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YQV5REMUWQM38HB9,NQ3QZPMQV9,YQV5REMUWQM38HB9.NQ3QZPMQV9.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,5348,USD,3yr,All Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.large,Yes,2,16 GiB,8TB RMS,0.325 GB/s,,Node:ra3.large,RunComputeNode:0001,,6.1875,,,us-east-1,Amazon Redshift,,RA3
YVF6CSKM7D9MR6YP,38NPMPTW36,YVF6CSKM7D9MR6YP.38NPMPTW36.6YS6EN2CT7,Reserved,Redshift,ra3.xlplus reserved instance applied,2025-05-12,0,Inf,Hrs,0.2144980000,USD,3yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.xlplus,Yes,4,32 GiB,32TB RMS,0.65 GB/s,,Node:ra3.xlplus,RunComputeNode:0001,,12.375,,,us-east-1,Amazon Redshift,,RA3
YVF6CSKM7D9MR6YP,38NPMPTW36,YVF6CSKM7D9MR6YP.38NPMPTW36.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,5637,USD,3yr,Partial Upfront,standard,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.xlplus,Yes,4,32 GiB,32TB RMS,0.65 GB/s,,Node:ra3.xlplus,RunComputeNode:0001,,12.375,,,us-east-1,Amazon Redshift,,RA3
