SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Region Code,serviceName
EQ6AXFAHUDC4GGFZ,JRTCKXETXF,EQ6AXFAHUDC4GGFZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0019,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0019,us-east-1,Amazon GuardDuty
EYKXHRMWJ48DFC37,JRTCKXETXF,EYKXHRMWJ48DFC37.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0005,USE1-PaidRDSACUMonitored,CreateDBInstance:0005,us-east-1,Amazon GuardDuty
FCYTDZZTVAJKFUAX,JRTCKXETXF,FCYTDZZTVAJKFUAX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0006,USE1-PaidRDSACUMonitored,CreateDBInstance:0006,us-east-1,Amazon GuardDuty
FK8RPMMWSQ2RYVNH,JRTCKXETXF,FK8RPMMWSQ2RYVNH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB of Lambda based VPC Flow Log & DNS log data analyzed in (free trial) US East (N.Virginia) region,2025-05-01,0,Inf,GB,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free Lambda Data Events Processed,USE1-FreeLambdaNetworkLogsAnalyzed-Bytes,,us-east-1,Amazon GuardDuty
FKWDBTMFANHDCQMP,JRTCKXETXF,FKWDBTMFANHDCQMP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0005,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0005,us-east-1,Amazon GuardDuty
FQVP8345G4ZVKBD5,JRTCKXETXF,FQVP8345G4ZVKBD5.JRTCKXETXF.C2QCTD4VXQ,OnDemand,$1.5 per vCPU for the first 500 vCPU / month monitored in US East (N. Virginia) region,2025-05-01,0,500,vCPU-Months,1.5000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid EKS vCPU Monitored,USE1-PaidEKSvCPUMonitored,,us-east-1,Amazon GuardDuty
FQVP8345G4ZVKBD5,JRTCKXETXF,FQVP8345G4ZVKBD5.JRTCKXETXF.JJUTPMMDBH,OnDemand,$0.75 per vCPU for the next 4500 vCPU / month monitored in US East (N. Virginia) region,2025-05-01,500,5000,vCPU-Months,0.7500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid EKS vCPU Monitored,USE1-PaidEKSvCPUMonitored,,us-east-1,Amazon GuardDuty
FQVP8345G4ZVKBD5,JRTCKXETXF,FQVP8345G4ZVKBD5.JRTCKXETXF.YKYQ4272N3,OnDemand,$0.25 per vCPU for above 5000 vCPU / month monitored in US East (N. Virginia) region,2025-05-01,5000,Inf,vCPU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid EKS vCPU Monitored,USE1-PaidEKSvCPUMonitored,,us-east-1,Amazon GuardDuty
FZCYBSCU36JGTK5U,JRTCKXETXF,FZCYBSCU36JGTK5U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0004,USE1-PaidRDSACUMonitored,CreateDBInstance:0004,us-east-1,Amazon GuardDuty
G2F6ZF2RVMK7JFDT,JRTCKXETXF,G2F6ZF2RVMK7JFDT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0020,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0020,us-east-1,Amazon GuardDuty
GTTY6CJPSAJF6RM4,JRTCKXETXF,GTTY6CJPSAJF6RM4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0019,USE1-PaidRDSACUMonitored,CreateDBInstance:0019,us-east-1,Amazon GuardDuty
GXUE66X7ZQ5H7FFV,JRTCKXETXF,GXUE66X7ZQ5H7FFV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per S3 Data Event analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,Events,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free S3 Data Events Processed,USE1-FreeS3DataEventsAnalyzed,,us-east-1,Amazon GuardDuty
HQGGC4M5XB99AFXD,JRTCKXETXF,HQGGC4M5XB99AFXD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance,USE1-PaidRDSACUMonitored,CreateDBInstance,us-east-1,Amazon GuardDuty
JWY56TTYR6QJB5AA,JRTCKXETXF,JWY56TTYR6QJB5AA.JRTCKXETXF.C2QCTD4VXQ,OnDemand,$1.5 per vCPU for the first 500 Fargate vCPU / month monitored in US East (N. Virginia) region,2025-05-01,0,500,vCPU-Months,1.5000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Fargate vCPU Monitored,USE1-PaidFargatevCPUMonitored,,us-east-1,Amazon GuardDuty
JWY56TTYR6QJB5AA,JRTCKXETXF,JWY56TTYR6QJB5AA.JRTCKXETXF.JJUTPMMDBH,OnDemand,$0.75 per vCPU for the next 4500 Fargate vCPU / month monitored in US East (N. Virginia) region,2025-05-01,500,5000,vCPU-Months,0.7500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Fargate vCPU Monitored,USE1-PaidFargatevCPUMonitored,,us-east-1,Amazon GuardDuty
JWY56TTYR6QJB5AA,JRTCKXETXF,JWY56TTYR6QJB5AA.JRTCKXETXF.YKYQ4272N3,OnDemand,$0.25 per vCPU for above 5000 Fargate vCPU / month monitored in US East (N. Virginia) region,2025-05-01,5000,Inf,vCPU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Fargate vCPU Monitored,USE1-PaidFargatevCPUMonitored,,us-east-1,Amazon GuardDuty
JZERNWQW4FG67BRC,JRTCKXETXF,JZERNWQW4FG67BRC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0018,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0018,us-east-1,Amazon GuardDuty
K37GPE4PRV45GHT8,JRTCKXETXF,K37GPE4PRV45GHT8.JRTCKXETXF.8DQQFJNTGA,OnDemand,$0.00000160 per Kubernetes Audit Log for the first 100000000 logs / month in US East (N. Virginia) region,2025-05-01,0,100000000,Events,0.0000016000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Kubernetes Audit Logs Events Processed,USE1-PaidKubernetesAuditLogsAnalyzed,,us-east-1,Amazon GuardDuty
K37GPE4PRV45GHT8,JRTCKXETXF,K37GPE4PRV45GHT8.JRTCKXETXF.9Z8W94EKTV,OnDemand,$0.00000080 per Kubernetes Audit Log for the next 100000000 logs / month in US East (N. Virginia) region,2025-05-01,100000000,200000000,Events,0.0000008000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Kubernetes Audit Logs Events Processed,USE1-PaidKubernetesAuditLogsAnalyzed,,us-east-1,Amazon GuardDuty
K37GPE4PRV45GHT8,JRTCKXETXF,K37GPE4PRV45GHT8.JRTCKXETXF.27HXR6XEUN,OnDemand,$0.00000020 per Kubernetes Audit Log over 200000000 logs / month in US East (N. Virginia) region,2025-05-01,200000000,Inf,Events,0.0000002000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Kubernetes Audit Logs Events Processed,USE1-PaidKubernetesAuditLogsAnalyzed,,us-east-1,Amazon GuardDuty
KH4J644BBQSAUDQB,JRTCKXETXF,KH4J644BBQSAUDQB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0020,USE1-PaidRDSACUMonitored,CreateDBInstance:0020,us-east-1,Amazon GuardDuty
KM3AH2Q87UZFX9MJ,JRTCKXETXF,KM3AH2Q87UZFX9MJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000004 per CloudTrail event analyzed in US East (N.Virginia) region,2025-05-01,0,Inf,Events,0.0000040000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid CloudTrail Events Processed,USE1-PaidEventsAnalyzed,,us-east-1,Amazon GuardDuty
