SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Free Tier,Mailbox Storage,Region Code,serviceName
8PKFR8SGFERTRYG2,JRTCKXETXF,8PKFR8SGFERTRYG2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per user per month under the free tier in the USE1 region,2016-03-01,0,Inf,User-Mo,0.0000000000,USD,Enterprise Applications,AmazonWorkMail,US East (N. Virginia),AWS Region,USE1-WorkMail-FreeTier-UserHrs,,Y,50GB,us-east-1,AmazonWorkMail
GJ2WD77XFX753GMU,JRTCKXETXF,GJ2WD77XFX753GMU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4 per user per month in the USE1 region,2016-03-01,0,Inf,User-Mo,4.0000000000,USD,Enterprise Applications,AmazonWorkMail,US East (N. Virginia),AWS Region,USE1-WorkMail-NormalTier-UserHrs,,N,50GB,us-east-1,AmazonWorkMail
