SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Region Code,Replication Type,serviceName
7F58PBM7CF6W2EG8,JRTCKXETXF,7F58PBM7CF6W2EG8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.042 per Replication-hour for MGN-Replication:Paid_replication in US East (N. Virginia),2023-08-01,0,Inf,Replication-hour,0.0420000000,USD,Server Migration,AWSApplicationMigrationSvc,US East (N. Virginia),AWS Region,USE1-MGN-Replication,Paid_replication,us-east-1,Normal,AWS Application Migration Service
NGXU2VZE2RTJFUZK,JRTCKXETXF,NGXU2VZE2RTJFUZK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Replication-hour for MGN-Replication:Free_replication in US East (N. Virginia),2023-08-01,0,Inf,Replication-hour,0.0000000000,USD,Server Migration,AWSApplicationMigrationSvc,US East (N. Virginia),AWS Region,USE1-MGN-Replication,Free_replication,us-east-1,Free,AWS Application Migration Service
