SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Instance Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,Engine Code,Database Engine,Group,Group Description,usageType,operation,Enhanced Networking Supported,Instance Type Family,Normalization Size Factor,Processor Features,Region Code,serviceName,Volume_Optimization
HRR85P5UQ9Q2SWRK,JRTCKXETXF,HRR85P5UQ9Q2SWRK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.432 per db.r4.8xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,4.4320000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.8xlarge,Yes,Memory optimized,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,,10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r4.8xlarge,CreateDBInstance:0023,Yes,R4,64,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
HYBVSFJZSKWFSZRG,JRTCKXETXF,HYBVSFJZSKWFSZRG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.216 per db.r5.4xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.2160000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.4xlarge,Yes,Memory optimized,16,Intel Xeon Platinum 8175,Up to 3.1 GHz,128 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.4xl,CreateDBInstance:0023,Yes,R5,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
JE5Q8E5DFG6SKYBG,JRTCKXETXF,JE5Q8E5DFG6SKYBG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.630604 per db.r6g.8xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,4.6306000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.8xlarge,Yes,Memory optimized,32,AWS Graviton2,Up to 3.1 GHz,256 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.8xl,CreateDBInstance:0023,,R6G,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
N8D5QCNAFXE798U4,JRTCKXETXF,N8D5QCNAFXE798U4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.41928 per db.r6g.16xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,8.4192800000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.16xlarge,Yes,Memory optimized,64,AWS Graviton2,Up to 3.1 GHz,512 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.16xl,CreateDBInstance:0023,,R6G,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
PCX9VFZPHMKX88AN,JRTCKXETXF,PCX9VFZPHMKX88AN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.31572 per db.r6g.4xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.3157000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.4xlarge,Yes,Memory optimized,16,AWS Graviton2,Up to 3.1 GHz,128 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.4xl,CreateDBInstance:0023,,R6G,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
PG5CXAKPCKBFXN7J,JRTCKXETXF,PG5CXAKPCKBFXN7J.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.4376 per db.r5.4xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.4376000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.4xlarge,Yes,Memory optimized,16,Intel Xeon Platinum 8175,Up to 3.1 GHz,128 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.4xl,CreateDBInstance:0023,,R5,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
PKCRH6WVN6ZUFPVV,JRTCKXETXF,PKCRH6WVN6ZUFPVV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.216 per db.r4.4xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.2160000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.4xlarge,Yes,Memory optimized,16,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,122 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r4.4xlarge,CreateDBInstance:0023,Yes,R4,32,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
PSH96V72HT3T57DY,JRTCKXETXF,PSH96V72HT3T57DY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.20964 per db.r6g.8xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,4.2096400000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.8xlarge,Yes,Memory optimized,32,AWS Graviton2,Up to 3.1 GHz,256 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.8xl,CreateDBInstance:0023,,R6G,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
PZUMR2PHC54BQ635,JRTCKXETXF,PZUMR2PHC54BQ635.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.021 per additional GB-month of backup storage exceeding free allocation for Amazon DocumentDB,2025-05-01,0,Inf,GB-Mo,0.0210000000,USD,Storage Snapshot,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,AmazonS3,,,,23,Amazon DocumentDB,,,BackupUsage,CreateDBInstance:0023,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
QBRRGYV6GX92SACK,JRTCKXETXF,QBRRGYV6GX92SACK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.021 per GB-Mo for Elastic Snapshot Usage in US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0210000000,USD,Storage Snapshot,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,AmazonS3,,,,23,Amazon DocumentDB,,,USE1-ElasticBackupUsage,CreateCluster,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
R4PCGPDJPG5YYX8M,JRTCKXETXF,R4PCGPDJPG5YYX8M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.87432 per db.r5.8xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,4.8743000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.8xlarge,Yes,Memory optimized,32,Intel Xeon Platinum 8175,Up to 3.1 GHz,256 GiB,,10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.8xl,CreateDBInstance:0023,,R5,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
RJRMK4Y6CAD77QZU,JRTCKXETXF,RJRMK4Y6CAD77QZU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6094 per db.r5.xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.6094000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.xlarge,Yes,Memory optimized,4,Intel Xeon Platinum 8175,Up to 3.1 GHz,32 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.xl,CreateDBInstance:0023,,R5,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
RXQNVSD9Q5KZUSUD,JRTCKXETXF,RXQNVSD9Q5KZUSUD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$9.261208 per db.r6g.16xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,9.2612000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.16xlarge,Yes,Memory optimized,64,AWS Graviton2,Up to 3.1 GHz,512 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.16xl,CreateDBInstance:0023,,R6G,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
SQQBYXVE6EGWP8VW,JRTCKXETXF,SQQBYXVE6EGWP8VW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.289465 per db.r6g.large IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.2895000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.large,Yes,Memory optimized,2,AWS Graviton2,Up to 3.1 GHz,16 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.large,CreateDBInstance:0023,,R6G,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
SR29TZ4RQ32WJVC6,JRTCKXETXF,SR29TZ4RQ32WJVC6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.2842 per db.r6gd.2xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.2842000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.2xlarge,Yes,Memory optimized,8,AWS Graviton2,Up to 3.1 GHz,64 GiB,1 x 474 NVMe SSD,Up to 10 Gigabit,64-bit,,NVMe SSD,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6gd.2xl,CreateDBInstance:0023,,R6GD,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
T8PR4UZMKWZJ6Z66,JRTCKXETXF,T8PR4UZMKWZJ6Z66.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.07566 per db.t4g.medium instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.0756600000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.t4g.medium,Yes,General purpose,2,AWS Graviton2,Up to 3.1 GHz,4 GiB,,Up to 5 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.t4g.medium,CreateDBInstance:0023,,T4G,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
TAFNG4MBRGEYMN6M,JRTCKXETXF,TAFNG4MBRGEYMN6M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10 per GB-month of consumed storage (Amazon DocumentDB),2025-05-01,0,Inf,GB-Mo,0.1000000000,USD,Database Storage,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,SSD,General Purpose,10 GB,128 TB,23,Amazon DocumentDB,,,StorageUsage,CreateDBInstance:0023,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
U32TJNSUHAYYMKK9,JRTCKXETXF,U32TJNSUHAYYMKK9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per vCPU-hour of T4G CPU credits,2025-05-01,0,Inf,vCPU-Hours,0.0900000000,USD,CPU Credits,AmazonDocDB,US East (N. Virginia),AWS Region,db.t4g.medium,,,,,,,,,,,,,,23,Amazon DocumentDB,,,CPUCredits:db.t4g,CreateDBInstance:0023,,T4G,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
VCQVD2H3HBRGAWTA,JRTCKXETXF,VCQVD2H3HBRGAWTA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$9.74864 per db.r5.16xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,9.7486000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.16xlarge,Yes,Memory optimized,64,Intel Xeon Platinum 8175,Up to 3.1 GHz,512 GiB,,20 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.16xl,CreateDBInstance:0023,,R5,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
VJ372DQT8D2K3V59,JRTCKXETXF,VJ372DQT8D2K3V59.JRTCKXETXF.6YS6EN2CT7,OnDemand,$9.7504 per db.r4.16xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,9.7504000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.16xlarge,Yes,Memory optimized,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,,20 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r4.16xl,CreateDBInstance:0023,,R4,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
VQRS8FEYGYSNKRRD,JRTCKXETXF,VQRS8FEYGYSNKRRD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per 1 million I/O requests (Amazon DocumentDB),2025-05-01,0,Inf,IOs,0.0000002000,USD,System Operation,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,23,Amazon DocumentDB,I/O Operation,Input/Output Operation,StorageIOUsage,CreateDBInstance:0023,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
WDADYAHDZDWN3SKF,JRTCKXETXF,WDADYAHDZDWN3SKF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.5683 per db.r6gd.4xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.5683000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.4xlarge,Yes,Memory optimized,16,AWS Graviton2,Up to 3.1 GHz,128 GiB,,Up to 10 Gigabit,64-bit,,NVMe SSD IO-Optimized,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6gd.4xl,CreateDBInstance:0023,,R6GD,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
WQH4ZUMVHPX7B3FY,JRTCKXETXF,WQH4ZUMVHPX7B3FY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6421 per db.r6gd.xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.6421000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.xlarge,Yes,Memory optimized,4,AWS Graviton2,Up to 3.1 GHz,32 GiB,,Up to 10 Gigabit,64-bit,,NVMe SSD IO-Optimized,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6gd.xl,CreateDBInstance:0023,,R6GD,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
WXEAWSYP6RBATCB3,JRTCKXETXF,WXEAWSYP6RBATCB3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.554 per db.r5.xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.5540000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.xlarge,Yes,Memory optimized,4,Intel Xeon Platinum 8175,Up to 3.1 GHz,32 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.xl,CreateDBInstance:0023,Yes,R5,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
X3XH22BFM2VEAX66,JRTCKXETXF,X3XH22BFM2VEAX66.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3047 per db.r5.large IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.3047000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.large,Yes,Memory optimized,2,Intel Xeon Platinum 8175,Up to 3.1 GHz,16 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.large,CreateDBInstance:0023,,R5,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
XSBQ4TEXP5ZUXUUK,JRTCKXETXF,XSBQ4TEXP5ZUXUUK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.108 per db.r5.2xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.1080000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.2xlarge,Yes,Memory optimized,8,Intel Xeon Platinum 8175,Up to 3.1 GHz,64 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.2xl,CreateDBInstance:0023,Yes,R5,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
Y7AD4944347CAFX2,JRTCKXETXF,Y7AD4944347CAFX2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.4376 per db.r4.4xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.4376000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.4xlarge,Yes,Memory optimized,16,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,122 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r4.4xlarge,CreateDBInstance:0023,,R4,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
YBB6MPZAASPX6YUK,JRTCKXETXF,YBB6MPZAASPX6YUK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.8752 per db.r4.8xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,4.8752000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.8xlarge,Yes,Memory optimized,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,,10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r4.8xlarge,CreateDBInstance:0023,,R4,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
YSBXKJMAJKG7E6QA,JRTCKXETXF,YSBXKJMAJKG7E6QA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$13.296 per db.r5.24xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,13.2960000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.24xlarge,Yes,Memory optimized,96,Intel Xeon Platinum 8175,Up to 3.1 GHz,768 GiB,,25 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.24xl,CreateDBInstance:0023,Yes,R5,192,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
ZM52MAM4R369WBBJ,JRTCKXETXF,ZM52MAM4R369WBBJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.705 per db.r6gd.12xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,7.7050000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.12xlarge,Yes,Memory optimized,48,AWS Graviton2,Up to 3.1 GHz,384 GiB,2 x 1425 NVMe SSD,20 Gigabit,64-bit,,NVMe SSD,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6gd.12xl,CreateDBInstance:0023,,R6GD,96,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
