SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Instance Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,Engine Code,Database Engine,Group,Group Description,usageType,operation,Enhanced Networking Supported,Instance Type Family,Normalization Size Factor,Processor Features,Region Code,serviceName,Volume_Optimization
772AQPZNUUFB9TKD,JRTCKXETXF,772AQPZNUUFB9TKD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.26315 per db.r6g.large instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.2631500000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.large,Yes,Memory optimized,2,AWS Graviton2,Up to 3.1 GHz,16 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.large,CreateDBInstance:0023,,R6G,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
7PT4MBD6CFQRWUEJ,JRTCKXETXF,7PT4MBD6CFQRWUEJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.083226 per db.t4g.medium IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.0832000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.t4g.medium,Yes,General purpose,2,AWS Graviton2,Up to 3.1 GHz,4 GiB,,Up to 5 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.t4g.medium,CreateDBInstance:0023,,T4G,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
7UWZRRH29TC2F39E,JRTCKXETXF,7UWZRRH29TC2F39E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5.1358 per db.r6gd.8xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,5.1358000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.8xlarge,Yes,Memory optimized,32,AWS Graviton2,Up to 3.1 GHz,256 GiB,,12 Gigabit,64-bit,,NVMe SSD IO-Optimized,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6gd.8xl,CreateDBInstance:0023,,R6GD,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
83WVBYB6R8HT2HQN,JRTCKXETXF,83WVBYB6R8HT2HQN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3 per GB-month of IO-Optimized consumed storage (Amazon DocumentDB),2025-05-01,0,Inf,GB-Mo,0.3000000000,USD,Database Storage,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,SSD,IO-Optimized-DocDB,10 GB,128 TB,23,Amazon DocumentDB,,,IO-OptimizedStorageUsage,CreateDBInstance:0023,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
8Q3GSGJ4NA86KR49,JRTCKXETXF,8Q3GSGJ4NA86KR49.JRTCKXETXF.6YS6EN2CT7,OnDemand,$6.3156 per db.r6g.12xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,6.3156000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.12xlarge,Yes,Memory optimized,48,AWS Graviton2,Up to 3.1 GHz,384 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.12xl,CreateDBInstance:0023,,R6G,96,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
95ZNBR8843DUAP4M,JRTCKXETXF,95ZNBR8843DUAP4M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.2715 per db.r6gd.16xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,10.2715000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.16xlarge,Yes,Memory optimized,64,AWS Graviton2,Up to 3.1 GHz,512 GiB,2 x 1900 NVMe SSD,25 Gigabit,64-bit,,NVMe SSD,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6gd.16xl,CreateDBInstance:0023,,R6GD,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
98MKSKR87CXGYFNJ,JRTCKXETXF,98MKSKR87CXGYFNJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0858 per db.t3.medium IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.0858000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.t3.medium,Yes,General purpose,2,Intel Skylake E5 2686 v5 (2.5 GHz),Up to 3.1 GHz,4 GiB,,Low to Moderate,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.t3.medium,CreateDBInstance:0023,,T3,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
9AY8597TAZC9NQAY,JRTCKXETXF,9AY8597TAZC9NQAY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.86 per db.r5.16xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,8.8624000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.16xlarge,Yes,Memory optimized,64,Intel Xeon Platinum 8175,Up to 3.1 GHz,512 GiB,,20 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.16xl,CreateDBInstance:0023,,R5,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
9CN8QFQRMTEPESBP,JRTCKXETXF,9CN8QFQRMTEPESBP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.277 per db.r5.large instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.2770000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.large,Yes,Memory optimized,2,Intel Xeon Platinum 8175,Up to 3.1 GHz,16 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.large,CreateDBInstance:0023,Yes,R5,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
9DMXQPUY9MGTU8UB,JRTCKXETXF,9DMXQPUY9MGTU8UB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.3128 per db.r5.12xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,7.3128000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.12xlarge,Yes,Memory optimized,48,Intel Xeon Platinum 8175,Up to 3.1 GHz,384 GiB,,10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.12xl,CreateDBInstance:0023,,R5,96,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
9EBZ55MN3MFWM2MJ,JRTCKXETXF,9EBZ55MN3MFWM2MJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.57893 per db.r6g.xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.5789000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.xlarge,Yes,Memory optimized,4,AWS Graviton2,Up to 3.1 GHz,32 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.xl,CreateDBInstance:0023,,R6G,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
A8ZEQECCN9QTG9DV,JRTCKXETXF,A8ZEQECCN9QTG9DV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6094 per db.r4.xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.6094000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.xlarge,Yes,Memory optimized,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,30.5 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r4.xlarge,CreateDBInstance:0023,,R4,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
AG36FZT77SBKDQMW,JRTCKXETXF,AG36FZT77SBKDQMW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.2842 per db.r6gd.2xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.2842000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.2xlarge,Yes,Memory optimized,8,AWS Graviton2,Up to 3.1 GHz,64 GiB,,Up to 10 Gigabit,64-bit,,NVMe SSD IO-Optimized,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6gd.2xl,CreateDBInstance:0023,,R6GD,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
APZE4J6QD9XTJBPJ,JRTCKXETXF,APZE4J6QD9XTJBPJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.108 per db.r4.2xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.1080000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.2xlarge,Yes,Memory optimized,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r4.2xlarge,CreateDBInstance:0023,Yes,R4,16,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
AT5KT6D4TF2X2ECW,JRTCKXETXF,AT5KT6D4TF2X2ECW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.132 per vCPU-hour for Elastic vCPU usage hour (or partial hour) in US East (N. Virginia),2025-05-01,0,Inf,vCPU-hour,0.1320000000,USD,Database Utilization,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,23,Amazon DocumentDB,,,USE1-ElasticCPUUsage,CreateCluster,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
BJMWHVW97MBKMEA8,JRTCKXETXF,BJMWHVW97MBKMEA8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.705 per db.r6gd.12xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,7.7050000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.12xlarge,Yes,Memory optimized,48,AWS Graviton2,Up to 3.1 GHz,384 GiB,,20 Gigabit,64-bit,,NVMe SSD IO-Optimized,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6gd.12xl,CreateDBInstance:0023,,R6GD,96,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
BS3QHFGQ6SPJ27UH,JRTCKXETXF,BS3QHFGQ6SPJ27UH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$6.94716 per db.r6g.12xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,6.9472000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.12xlarge,Yes,Memory optimized,48,AWS Graviton2,Up to 3.1 GHz,384 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.12xl,CreateDBInstance:0023,,R6G,96,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
DHZBYCMM2EC83TWW,JRTCKXETXF,DHZBYCMM2EC83TWW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.2188 per db.r5.2xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.2188000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.2xlarge,Yes,Memory optimized,8,Intel Xeon Platinum 8175,Up to 3.1 GHz,64 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.2xl,CreateDBInstance:0023,,R5,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
