SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,vCPU,Group,usageType,operation,Compute Family,Memory (GiB),Region Code,serviceName,Storage Family
FJZMCWC2U5VCEYAX,JRTCKXETXF,FJZMCWC2U5VCEYAX.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 1.632 per Express.m7g.2xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,1.6320000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,8,ExpressBroker,USE1-Express.m7g.2xlarge,RunBroker,express.m7g.2xlarge,32,us-east-1,Amazon Managed Streaming for Apache Kafka,
G2VJ35UVR5JWH4ZJ,JRTCKXETXF,G2VJ35UVR5JWH4ZJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.75 per cluster-hour for serverless cluster in US East (N.Virginia),2025-05-01,0,Inf,hours,0.7500000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Cluster-hours,US East (N. Virginia),AWS Region,,Serverless,USE1-KafkaServerless-ClusterHours,Serverless,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
KZMVE4VAUDK5RCCR,JRTCKXETXF,KZMVE4VAUDK5RCCR.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 1.632 per Kafka.m7g.4xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,1.6320000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,16,Broker,USE1-Kafka.m7g.4xlarge,RunBroker,m7g.4xlarge,64,us-east-1,Amazon Managed Streaming for Apache Kafka,
M3GPFWH4GVU6NVX2,JRTCKXETXF,M3GPFWH4GVU6NVX2.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 6.528 per Express.m7g.8xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,6.5280000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,32,ExpressBroker,USE1-Express.m7g.8xlarge,RunBroker,express.m7g.8xlarge,128,us-east-1,Amazon Managed Streaming for Apache Kafka,
MUGM8NSRT8XWD6TH,JRTCKXETXF,MUGM8NSRT8XWD6TH.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 4.896 per Kafka.m7g.12xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,4.8960000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,48,Broker,USE1-Kafka.m7g.12xlarge,RunBroker,m7g.12xlarge,192,us-east-1,Amazon Managed Streaming for Apache Kafka,
MZ6MRJ4P4ZCRNDFA,JRTCKXETXF,MZ6MRJ4P4ZCRNDFA.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.08 per MiBs/Month for provisioned storage throughput in US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.0800000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Throughput-hours,US East (N. Virginia),AWS Region,,Storage,USE1-Kafka.Throughput,RunVolume,,,us-east-1,Amazon Managed Streaming for Apache Kafka,General
NR4E2TGDUNJZTB8H,JRTCKXETXF,NR4E2TGDUNJZTB8H.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.204 per Kafka.m7g.large broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,0.2040000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,2,Broker,USE1-Kafka.m7g.large,RunBroker,m7g.large,8,us-east-1,Amazon Managed Streaming for Apache Kafka,
PGY7H95GSQZZZ5U3,JRTCKXETXF,PGY7H95GSQZZZ5U3.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.408 per Express.m7g.large broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,0.4080000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,2,ExpressBroker,USE1-Express.m7g.large,RunBroker,express.m7g.large,8,us-east-1,Amazon Managed Streaming for Apache Kafka,
Q9WTHNHGZ5CWMY3M,JRTCKXETXF,Q9WTHNHGZ5CWMY3M.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.1 per GB-Month for storage in US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1000000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,,US East (N. Virginia),AWS Region,,,USE1-Express.Storage,Storage,,,us-east-1,Amazon Managed Streaming for Apache Kafka,Express storage
QBYGMEMD4JK9GSSF,JRTCKXETXF,QBYGMEMD4JK9GSSF.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.01 per GB of data written to an Express broker in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0100000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Per-GB data ingressed,US East (N. Virginia),AWS Region,,ExpressIngress,USE1-Express.In-Bytes,Data-In,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
